issue_id,issue_no,title,body
750107788,11279,b'Surface.TrimWithEdgeLoops returns edge geometry with eccentricities',"b""If this issue is with Dynamo for Revit, please post your issue on the [Dynamo for Revit Issues page](https://github.com/DynamoDS/DynamoRevit/issues).\r\n\r\nIf this issue is **not** a bug report or improvement request, please check the [Dynamo forum](https://forum.dynamobim.com/), and start a thread there to discuss your issue.\r\n\r\n## Dynamo version\r\n\r\n2.7.0.9206\r\n\r\n## Operating system\r\n\r\nWindows 10\r\n\r\n## What did you do? \r\n\r\nAttempted to return trim surfaces using TrimWithEdgeLoops.\r\n\r\n## What did you expect to see?\r\n\r\nA series of trim surfaces with edges that mirror the curve tool used for the trim.\r\n\r\n## What did you see instead?\r\n\r\nSome surfaces had eccentricities along their edges (ie. a curve, originally with a smooth curvature gradient, returned a surface with an edge that was 'bumpy').\r\n"""
749312081,11277,b'Broken Link from Dynamo 2.6.1.8786',"b""# Issue Description\r\nPlease fill in the following information to help us reproduce the issue:\r\nClicking on Dynamo Dictionary links takes you to 404 page\r\n\r\n### What did you do?\r\nClicked on link\r\n\r\n### What did you expect to see?\r\nDynamo Dictionary\r\n\r\n### What did you see instead?\r\nError 404\r\n\r\n### What packages or external references (if any) were used?\r\nnothing\r\n\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.18363.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.6.1.8786`\r\n"""
749224316,11276,b'Crash report from Dynamo 2.3.0.5885',"b""# Issue Description\r\nPlease fill in the following information to help us reproduce the issue:\r\n\r\n### What did you do?\r\n(Fill in here)\r\n\r\n### What did you expect to see?\r\n(Fill in here)\r\n\r\n### What did you see instead?\r\n(Fill in here)\r\n\r\n### What packages or external references (if any) were used?\r\n(Fill in here)\r\n\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.19041.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.3.0.5885`\r\n"""
749107138,11275,b'Default Value for Optional Node Inputs',"b'## Dynamo version\r\n\r\n1.3 and 2.3\r\n\r\n## Operating system\r\n\r\nWindows 10\r\n\r\n## What did you do? \r\n\r\nNew nodes default to having Use Default Value turned on for all optional inputs. However, when packages are updated and existing nodes get additional optional inputs, graphs with these existing nodes do not update with Use Default Value turned on. This causes those nodes not to run and graphs to fail.\r\n\r\n## What did you expect to see?\r\n\r\nExisting instances of nodes should also default to Use Default Value when package updates introduce additional optional inputs.\r\n\r\n## What did you see instead?\r\n\r\nNodes get updated without turning on Use Default Value and end up not executing.\r\n'"
749024280,11273,b'Crash report from Dynamo 2.5.0.7460',"b""# Issue Description\r\nPlease fill in the following information to help us reproduce the issue:\r\n\r\n### What did you do?\r\n(Fill in here)\r\n\r\n### What did you expect to see?\r\n(Fill in here)\r\n\r\n### What did you see instead?\r\n(Fill in here)\r\n\r\n### What packages or external references (if any) were used?\r\n(Fill in here)\r\n\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.18363.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.5.0.7460`\r\n"""
748663168,11271,b'Node error report from Dynamo 2.6.1.8786 - Read excel values - Dynabridge',"b""# Issue Description\r\nPlease fill in the following information to help us reproduce the issue:\r\nDear all,\r\n\r\nI've had issues with Dynabridge custom node not wanting to read values from excel. \r\nCan anyone figure out why? \r\nI tried with excel value form with commas, dots, as format cell number and general, same thing, and maybe it has issues if it starts with minus? \r\nAs you can see, all 'x' start with ZERO for some reason..\r\nAlso, how can I know which format of coordinate axis order does my dynamo node have? NES or such.. ? \r\n### What did you do?\r\n(Fill in here)\r\n\r\n### What did you expect to see?\r\n(Fill in here)\r\n3D Alignment from Excel point coordinates\r\n\r\n### What did you see instead?\r\n(Fill in here)\r\nNothing\r\n\r\n### What packages or external references (if any) were used?\r\n(Fill in here)\r\nDynabridge\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.19042.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.6.1.8786`\r\n![image](https://user-images.githubusercontent.com/55832378/99950041-3e56c280-2d7c-11eb-91df-26d5632ee924.png)\r\n![image](https://user-images.githubusercontent.com/55832378/99950098-50386580-2d7c-11eb-814c-ee5017c3e684.png)\r\n![image](https://user-images.githubusercontent.com/55832378/99950158-66debc80-2d7c-11eb-893c-047ee32d2349.png)\r\n![image](https://user-images.githubusercontent.com/55832378/99950193-765e0580-2d7c-11eb-92ae-26ee4614969d.png)\r\n"""
747930540,11270,b'I can no see 3D background in Dynamo. Help Please!',b'I have installed Revit on a new computer and I cannot view the 3D background in Dynamo\r\n![Dynamo 21_11_2020 02_21_37](https://user-images.githubusercontent.com/74807535/99868332-67baf700-2ba0-11eb-9eb5-c189060fca9c.png)\r\n'
746179615,11264,b'Solid.ByLoft fails ',"b'If this issue is with Dynamo for Revit, please post your issue on the [Dynamo for Revit Issues page](https://github.com/DynamoDS/DynamoRevit/issues).\r\n\r\nIf this issue is **not** a bug report or improvement request, please check the [Dynamo forum](https://forum.dynamobim.com/), and start a thread there to discuss your issue.\r\n\r\n## Dynamo version\r\n\r\n2.7.0.9206\r\n\r\n## Operating system\r\n\r\nWindows 10\r\n\r\n## What did you do? \r\n\r\nAttempted to loft pairs of Curves as solids\r\n\r\n## What did you expect to see?\r\n\r\nSolid geometry\r\n\r\n## What did you see instead?\r\n\r\nSome curves lofted as solids, while others failed: ""Warning: Solid.ByLoft operation failed. Unable to loft! : SOLID_NOT_MADE -- A solid body could not be made""\r\n'"
744591260,11257,b'Crash report from Dynamo 2.3.0.5885',"b""# Issue Description\r\nPlease fill in the following information to help us reproduce the issue:\r\n\r\n### What did you do?\r\n(Fill in here)\r\n\r\n### What did you expect to see?\r\n(Fill in here)\r\n\r\n### What did you see instead?\r\n(Fill in here)\r\n\r\n### What packages or external references (if any) were used?\r\n(Fill in here)\r\n\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.19041.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.3.0.5885`\r\n"""
743327314,11253,b'Crash report from Dynamo 2.5.0.7460',"b""# Issue Description\r\nThe multiplicities of other interior knots must be at most degree - 2.\r\nParameter name: knots error in floorbyoutlinetypeandline\r\n\r\n### What did you do?\r\ntried ways\r\n\r\n### What did you expect to see?\r\nerroe resolve\r\n### What did you see instead?\r\nerror\r\n\r\n### What packages or external references (if any) were used?\r\ndynamo ..practicalbim\r\n\r\n\r\n### Stack Trace\r\n```\r\n(From the Dynamo crash window select 'Details' -> 'Copy' and paste here)\r\n```\r\n\r\n---\r\nOS: `Microsoft Windows NT 10.0.19041.0`\r\nCLR: `4.0.30319.42000`\r\nDynamo: `2.5.0.7460`\r\n"""
