issue_no,found_id,is_issue,is_pull_request
10771,2582,True,True
10647,10641,True,False
9483,9572,True,True
9229,9228,True,False
9114,9205,True,True
9091,9095,True,False
8981,8576,True,False
8981,9255,True,True
8976,8928,True,True
8911,9528,True,True
8796,7697,True,False
8796,8084,True,False
8767,6759,True,False
8761,8751,True,False
8724,8724,True,False
8665,8487,True,True
8638,6570,True,False
8576,8981,True,False
8576,8981,True,False
8411,5238,True,False
8297,8295,True,True
8190,5238,True,False
8101,8102,True,False
8084,7697,True,False
7914,6491,True,False
7781,7248,True,False
7632,6542,False,False
7538,1989,False,False
7481,309,True,False
7425,7248,True,False
7425,2396,True,False
7411,6491,True,False
7388,6097,True,False
7384,6510,False,False
7288,6510,False,False
7248,7255,False,True
7244,5613,True,False
7229,5194,True,False
7218,7203,False,True
7218,7224,False,True
7151,7222,False,True
7132,7130,True,False
7057,7052,True,True
7045,7052,True,True
7044,7068,True,True
7017,6633,False,False
7017,6333,True,True
6980,6987,False,True
6849,6861,False,True
6846,4116,True,False
6844,6562,True,False
6759,3273,True,False
6759,4603,False,False
6759,3378,False,False
6740,6570,True,False
6729,6743,False,True
6715,7622,True,True
6712,6681,True,False
6712,6681,True,False
6709,6718,True,True
6707,6762,False,True
6702,5186,True,True
6685,6776,True,True
6643,6643,True,False
6638,5613,True,False
6630,5270,True,False
6630,6132,True,False
6620,7245,False,True
6601,6777,True,True
6571,6556,True,False
6558,6559,True,False
6556,6565,True,False
6556,988,True,False
6508,5475,True,False
6491,3106,True,False
6475,3433,True,False
6442,6729,True,False
6442,6743,False,True
6258,4464,True,True
6111,6909,False,True
6068,6798,False,True
5914,6905,False,True
5865,5811,True,False
5731,2889,False,False
5731,3261,True,False
5688,5761,True,True
5640,4769,True,False
5606,5385,True,False
5599,4699,True,False
5573,2165,True,True
5552,5058,False,True
5550,10361,True,True
5487,3433,True,False
5462,4285,True,False
5326,4116,True,False
5323,5324,True,True
5241,5676,True,True
5238,7178,True,True
5238,9559,True,True
5197,5426,True,True
5189,2,True,False
5162,5054,True,False
5162,5033,True,False
5137,8182,True,True
5033,5054,True,False
4984,4977,True,True
4939,3809,False,False
4894,3433,True,False
4893,4901,True,True
4856,6578,False,True
4793,3749,True,False
4619,4573,True,False
4576,5406,True,True
4563,4564,True,False
4529,4361,True,True
4474,1171,True,False
4435,2,True,False
4435,1,True,False
4430,4367,True,False
4430,4211,True,False
4415,4572,True,True
4390,4308,True,False
4390,4310,True,False
4384,3433,True,False
4380,4373,True,True
4264,4498,True,True
4252,3345,True,False
4211,4367,True,False
4211,4256,True,False
4211,4367,True,False
4189,4380,True,False
4134,4116,True,False
4133,332,True,False
4114,4060,True,True
4109,3208,True,False
3991,1,True,False
3991,2,True,False
3903,355,True,False
3797,4441,True,False
3744,3771,False,True
3721,4295,True,True
3709,8138,True,False
3676,3694,False,True
3651,3421,True,False
3604,3573,True,False
3522,3565,True,True
3507,1437,True,False
3446,6791,True,True
3361,3807,True,False
3218,958,True,False
3171,3107,True,False
3165,1229,True,False
3107,3139,True,True
3099,2460,True,False
3014,2593,True,False
2994,923,False,False
2991,2945,True,False
2977,3052,True,True
2775,2593,True,False
2744,2775,True,False
2521,2523,True,False
2417,2447,True,False
2315,1076,True,False
2313,2970,True,False
2242,2238,True,True
2216,2001,True,False
2126,2133,False,True
1923,1171,True,False
1894,1933,True,True
1837,1876,True,True
1777,355,True,False
1728,1718,True,False
1727,1770,True,False
1718,1728,True,False
1715,3712,True,True
1715,3666,True,True
1706,3712,True,True
1706,3666,True,True
1704,3423,True,False
1620,688,True,False
1364,1374,False,True
1257,1310,False,True
1229,5438,True,True
1209,1225,True,False
1133,1961,True,True
1098,687,True,False
990,873,True,False
958,955,True,False
958,3218,True,False
955,3218,True,False
885,703,True,False
873,990,True,False
703,173,True,False
591,6643,True,False
472,470,True,False
470,474,True,False
470,335,True,False
407,409,True,False
407,409,True,False
399,341,True,False
380,236,True,False
375,316,True,False
368,345,True,False
364,6786,False,True
331,307,True,False
328,1961,True,True
317,688,True,False
307,331,True,False
299,368,True,False
271,274,True,False
271,275,True,False
267,258,True,False
254,228,True,False
237,230,True,False
228,254,True,False
211,269,True,False
200,120,True,False
200,120,True,False
192,361,True,False
165,167,True,False
165,167,True,False
110,108,True,False
65,177,True,False
1797,1959,True,True
1925,1727,True,False
1985,1976,True,False
2016,2022,True,True
2182,2139,True,True
2245,2256,True,True
2894,2927,True,True
2927,2894,True,True
2933,2944,True,True
3074,2841,True,True
3193,3774,True,True
3482,3574,True,True
3616,3603,True,True
3839,49,True,False
4166,4060,True,True
4426,4277,True,True
4464,290,True,False
4656,4655,True,True
4723,4670,True,True
4865,4975,False,True
5119,5123,False,True
5263,5512,False,True
5379,5381,False,True
4949,5058,False,True
6193,6191,True,True
6334,6346,True,True
6423,6418,False,True
6435,6434,True,False
6973,6451,True,False
6991,7455,False,True
7347,7300,True,True
7359,5144,True,False
7511,7514,True,True
7554,7255,False,True
7554,7255,False,True
7622,7587,True,True
7727,7707,True,False
7754,7755,True,True
7752,7757,True,True
7755,7776,True,True
7773,8073,False,True
7820,7773,True,True
7850,9567,True,True
7094,7863,True,False
7919,7747,True,False
7946,7963,False,True
7941,7747,True,False
8034,8122,True,True
7900,7850,True,True
7900,9585,True,True
8252,2,True,False
8420,8931,True,False
8420,9402,True,True
8533,8526,True,True
8571,1466,False,True
8569,8569,True,True
8569,8574,True,True
8569,8574,True,True
8617,8624,True,True
8624,8636,True,True
9408,9415,True,True
9519,9523,True,True
9546,2695,True,False
9559,9554,True,True
9559,9554,True,True
9585,9580,True,True
9620,9665,True,True
9735,9733,True,False
9730,9388,True,True
9730,9559,True,True
9730,9578,True,True
9730,9632,True,True
9730,9408,True,True
9730,9441,True,True
9988,9479,True,False
10119,8913,True,False
10472,10548,True,True
10470,10554,True,True
10577,9957,True,True
10577,9957,True,True
10638,10217,True,True
10713,651,True,True
10735,10734,True,True
10825,105,True,False
10887,10869,True,True
10897,10869,True,True
10897,10869,True,True
10932,10928,True,True
10932,10928,True,True
11076,11016,False,True
11254,11049,True,True
