pull_no,found_id,is_issue,is_pull_request
11255,11254,True,True
11254,11218,False,True
11219,11209,True,True
11173,11164,False,True
11151,11149,False,True
11089,10720,True,False
11087,11080,True,True
11087,11080,True,True
11076,11016,False,True
11070,11068,False,True
11070,11069,True,True
11069,11068,False,True
11069,11068,False,True
11065,7,True,False
11065,7,True,False
11052,11051,True,True
11049,411,True,False
11049,411,True,False
11044,11042,True,True
11041,11037,True,True
11033,11032,True,True
11019,11010,False,True
11018,10998,True,True
11014,11001,True,True
11013,11000,True,True
11013,11007,True,True
11012,11005,False,True
10871,10853,True,True
10821,10820,True,True
10804,10778,True,True
10804,10778,True,True
10794,10781,True,True
10716,10710,False,True
10710,10702,False,True
10698,10683,True,True
10687,10113,False,True
10677,10643,True,True
10611,10558,True,True
10584,10548,True,True
10584,10472,True,True
10507,10498,True,True
10505,10433,True,True
10504,825,False,True
10501,825,False,True
10500,825,False,True
10495,825,False,True
10489,825,False,True
10488,825,False,True
10485,825,False,True
10478,825,False,True
10477,825,False,True
10348,10316,True,True
10283,10282,False,True
10283,10282,False,True
10271,10279,True,True
10271,10279,True,True
10160,10083,True,True
10160,10083,True,True
10152,10146,True,True
10147,10143,True,True
10145,801,False,True
9952,9948,True,True
9948,9937,True,True
9937,9932,True,True
9930,9927,False,True
9929,9928,True,True
9904,9899,True,True
9904,9899,True,True
9904,9884,True,True
9891,9884,True,True
9891,9886,False,True
9890,9884,True,True
9886,9884,True,True
9886,9884,True,True
9881,7,True,False
9874,9870,False,True
9867,9861,True,True
9867,9861,True,True
9865,9861,True,True
9842,9840,True,True
9835,9834,True,True
9821,9815,True,True
9821,9815,True,True
9810,9807,True,True
9810,9807,True,True
9807,9736,True,True
9770,9769,True,True
9748,9742,False,True
9676,696,False,True
9674,696,False,True
9673,696,False,True
9671,9600,True,True
9670,696,False,True
9668,696,False,True
9662,696,False,True
9660,696,False,True
9659,696,False,True
9656,696,False,True
9654,696,False,True
9652,696,False,True
9647,696,False,True
9644,9528,True,True
9643,9578,True,True
9642,696,False,True
9640,696,False,True
9637,696,False,True
9631,696,False,True
9629,696,False,True
9627,696,False,True
9624,696,False,True
9622,696,False,True
9618,696,False,True
9614,696,False,True
9612,696,False,True
9611,696,False,True
9610,696,False,True
9606,691,False,True
9601,687,True,False
9598,685,False,True
9580,9567,True,True
9580,9567,True,True
9552,9533,True,True
9523,9393,True,True
9523,9519,True,True
9523,9393,True,True
9519,9393,True,True
9434,9431,True,True
9429,9408,True,True
9421,9407,False,True
9420,9393,True,True
9420,9393,True,True
9415,9408,True,True
9411,9388,True,True
9395,9391,True,True
9379,9358,True,True
9370,659,True,True
9363,656,False,True
9359,9357,True,True
9354,655,False,True
9353,9334,True,True
9351,655,False,True
9349,655,False,True
9348,655,False,True
9347,655,False,True
9346,655,False,True
9345,655,False,True
9344,655,False,True
9343,655,False,True
9339,655,False,True
9337,655,False,True
9335,655,False,True
9333,655,False,True
9328,9023,True,True
9327,9320,True,True
9323,9306,True,True
9304,9296,True,True
9270,639,False,True
9267,639,False,True
9263,639,False,True
9262,639,False,True
9260,639,False,True
9256,639,False,True
9239,639,False,True
9238,639,False,True
9237,639,False,True
9234,639,False,True
9232,639,False,True
9231,639,False,True
9226,639,False,True
9225,639,False,True
9223,639,False,True
9222,639,False,True
9220,639,False,True
9216,639,False,True
9214,639,False,True
9211,639,False,True
9209,639,False,True
9204,639,False,True
9194,634,False,True
9192,634,False,True
9189,634,False,True
9174,20,True,False
9174,20,True,False
9124,122,True,False
9101,595,True,False
9100,595,True,False
9099,595,True,False
9098,595,True,False
8886,578,True,True
8883,578,True,True
8879,578,True,True
8875,578,True,True
8872,578,True,True
8871,578,True,True
8870,578,True,True
8869,578,True,True
8866,578,True,True
8865,578,True,True
8863,578,True,True
8861,578,True,True
8859,578,True,True
8856,578,True,True
8855,8853,False,True
8855,8853,False,True
8851,578,True,True
8849,578,True,True
8848,578,True,True
8846,8824,True,True
8845,8823,False,True
8845,8823,False,True
8844,578,True,True
8842,8776,True,True
8842,8776,True,True
8838,578,True,True
8830,8776,True,True
8830,8776,True,True
8829,578,True,True
8827,578,True,True
8821,575,True,False
8821,575,True,False
8821,575,True,False
8821,575,True,False
8820,575,True,False
8820,575,True,False
8820,575,True,False
8820,575,True,False
8820,575,True,False
8738,8734,True,True
8738,8734,True,True
8685,8768,True,False
8684,8681,False,True
8684,8681,False,True
8683,8681,False,True
8683,8681,False,True
8671,8657,True,True
8667,8666,False,True
8667,8666,False,True
8664,8663,False,True
8664,8663,False,True
8662,8661,False,True
8660,8649,True,True
8660,8648,True,True
8660,8649,True,True
8660,8648,True,True
8651,8650,True,True
8640,8626,True,True
8602,8587,True,True
8599,8593,True,True
8533,8526,True,True
8513,6,True,False
8513,6,True,False
8474,8471,True,True
8474,8471,True,True
8457,8429,True,True
8283,8073,False,True
8283,7773,True,True
8158,8153,True,True
8158,8153,True,True
8157,8156,True,True
8157,8153,True,True
8156,8153,True,True
8149,8134,True,True
8074,8073,False,True
