group,oldest_pull,pulls_total,commits_total
0,81,1,1
1,84,1,1
2,1445,1,4
3,1446,1,12
4,1419,1,9
5,1414,1,2
6,1415,1,4
7,1418,1,1
8,1442,1,8
9,1420,1,1
10,1422,1,3
11,1427,1,1
12,1423,1,1
13,1425,1,1
14,1426,1,1
15,1428,1,1
16,1429,1,1
17,1430,1,2
18,1431,1,1
19,1432,1,1
20,1433,1,1
21,1434,1,4
22,1435,1,5
23,1474,1,10
24,1436,1,1
25,1467,1,7
26,1441,1,1
27,1443,1,2
28,1455,1,6
29,1448,1,2
30,1450,1,1
31,1454,1,4
32,1469,1,12
33,1456,1,5
34,1457,1,1
35,1458,1,1
36,1459,1,1
37,1496,1,9
38,1460,1,1
39,1472,1,4
40,1461,1,3
41,1462,1,2
42,1466,1,3
43,1464,1,1
44,1468,1,2
45,1471,1,5
46,1481,1,3
47,1473,1,3
48,1475,1,2
49,1482,1,2
50,1477,1,1
51,1480,1,1
52,1483,1,1
53,1485,1,4
54,1486,1,1
55,1487,1,2
56,1488,1,1
57,1490,1,1
58,1491,1,3
59,1506,1,4
60,1504,1,8
61,1493,1,2
62,1494,1,5
63,1495,1,19
64,1498,1,2
65,1499,1,3
66,1503,1,4
67,1500,1,1
68,1501,1,6
69,1510,1,6
70,1505,1,1
71,1507,1,5
72,1511,1,8
73,1508,1,3
74,1509,1,1
75,1512,1,4
76,1517,1,2
77,1513,1,1
78,1532,1,5
79,1520,1,6
80,1516,1,5
81,1519,1,1
82,1522,1,2
83,1528,1,5
84,1525,1,2
85,1526,1,2
86,1544,1,7
87,1530,1,3
88,1531,1,1
89,1533,1,2
90,1534,1,5
91,1537,1,5
92,1538,1,2
93,1539,1,1
94,1540,1,1
95,1542,1,1
96,1541,1,1
97,1543,1,1
98,1560,1,6
99,1545,1,1
100,1551,1,4
101,1548,1,3
102,1546,1,1
103,1547,1,6
104,1549,1,3
105,1550,1,3
106,1568,1,61
107,1553,1,2
108,1554,1,2
109,1555,1,1
110,1556,1,1
111,1558,1,1
112,1559,1,3
113,1561,1,1
114,1562,1,1
115,1566,1,3
116,1564,1,1
117,1565,1,1
118,1685,1,12
119,1567,1,1
120,1569,1,1
121,1570,1,1
122,1571,1,2
123,1577,1,4
124,1573,1,2
125,1574,1,1
126,1575,1,3
127,1576,1,2
128,1578,1,2
129,1579,1,1
130,1580,1,1
131,1581,1,1
132,1582,1,1
133,1584,1,1
134,1585,1,1
135,1588,1,1
136,1589,1,2
137,1590,1,1
138,1591,1,1
139,1594,1,1
140,1596,1,2
141,1598,1,1
142,1597,1,2
143,1600,1,1
144,1603,1,1
145,1607,1,1
146,1599,1,2
147,1608,1,1
148,1609,1,1
149,1610,1,1
150,1619,1,10
151,1611,1,1
152,1614,1,1
153,1615,1,1
154,1616,1,1
155,1628,1,7
156,1617,1,1
157,1618,1,2
158,1631,1,1
159,1621,1,1
160,1622,1,1
161,1623,1,1
162,1624,1,1
163,1625,1,2
164,1626,1,1
165,1629,1,2
166,1632,1,3
167,1630,1,1
168,1633,1,4
169,1635,1,6
170,1636,1,3
171,1637,1,1
172,1638,1,1
173,1925,1,23
174,1642,1,3
175,1681,1,10
176,1634,1,2
177,1646,1,3
178,1645,1,2
179,1647,1,2
180,1650,1,2
181,1655,1,3
182,1651,1,2
183,1652,1,2
184,1656,1,2
185,1657,1,1
186,1658,1,1
187,1659,1,1
188,1667,1,4
189,1664,1,1
190,1666,1,5
191,1668,1,1
192,1670,1,1
193,1671,1,2
194,1672,1,1
195,1682,1,4
196,1673,1,1
197,2229,1,397
198,1743,1,17
199,1712,1,3
200,1674,1,3
201,1679,1,2
202,1684,1,6
203,1686,1,3
204,1691,1,13
205,1688,1,1
206,1696,1,13
207,1820,1,54
208,1716,1,1
209,1717,1,4
210,1721,1,1
211,1723,1,1
212,1724,1,2
213,1729,1,1
214,1732,1,3
215,1733,1,1
216,1734,1,1
217,1736,1,1
218,1740,1,1
219,1737,1,1
220,1744,1,20
