pull_id,pull_no,total_commits
526865712,11280,5
526794708,11278,8
525964995,11274,1
525867351,11272,1
524949304,11269,1
524931230,11268,9
524908908,11267,26
524286894,11266,5
524126574,11265,1
523517409,11263,1
523432481,11262,1
523284035,11261,7
522645105,11260,9
522521290,11259,1
522516969,11258,1
522152700,11256,8
521803367,11255,1
521782455,11254,1
521032612,11251,1
520800367,11246,7
520707895,11245,3
520179795,11244,11
519810484,11243,1
519645658,11242,0
519375046,11241,2
517776627,11238,14
516951880,11237,1
516205187,11236,1
516174985,11235,4
515548491,11233,2
515039281,11232,1
515023227,11231,1
514832760,11230,2
514465022,11228,2
514448412,11227,2
514372904,11226,3
513781890,11224,6
513131378,11223,1
512648744,11221,4
512615593,11220,12
512548044,11219,2
512020416,11218,24
511731861,11217,12
511719745,11216,4
511564154,11215,1
511017169,11214,1
511016878,11213,1
511015534,11212,1
511014764,11211,1
511014631,11210,1
510509392,11209,4
510467335,11208,13
510429156,11207,5
510307759,11205,6
510114543,11204,1
509531200,11203,2
509075602,11202,3
509028262,11201,25
509027781,11200,1
508567570,11198,1
508024802,11196,5
507959715,11195,2
507722932,11193,1
506851962,11192,8
506848180,11191,2
506302506,11190,11
506253925,11189,29
505730563,11188,3
505080605,11187,1
504570142,11186,70
504108632,11184,2
502952213,11182,15
502321949,11179,1
501972869,11177,18
501836977,11176,13
501594455,11173,1
500754566,11172,2
499515603,11169,1
499465072,11168,2
499452798,11167,3
498823561,11166,2
498527495,11165,3
498296819,11164,4
498166263,11163,3
497856882,11162,2
495801616,11158,23
495792553,11157,47
495194838,11156,6
495113303,11155,2
494952913,11153,39
494849100,11152,1
494430254,11151,1
494421265,11150,3
494233489,11149,1
492700121,11147,44
492683379,11146,4
492159600,11144,10
492032464,11143,1
491731951,11142,18
491669185,11141,21
491652008,11140,18
491632810,11139,10
491182009,11138,1
491088658,11137,3
490630432,11135,2
490589196,11134,1
490416267,11132,8
489418111,11130,3
489414670,11129,5
488966549,11126,2
488816989,11125,1
488233617,11123,1
488190173,11122,2
488115086,11121,2
487580710,11120,20
487263071,11116,1
486777395,11114,1
485380775,11112,37
485298866,11111,1
484227916,11109,1
483968593,11108,11
483824154,11107,8
483797392,11106,6
483672903,11105,13
483641071,11104,16
483569833,11103,12
483083443,11102,2
483010734,11101,2
479856836,11099,2
479262167,11098,1
478180859,11096,1
478064959,11095,32
477993091,11094,2
477940087,11093,1
477915508,11092,2
477861845,11091,3
477401939,11090,3
477387729,11089,2
477348333,11088,4
477321943,11087,6
477244689,11086,1
477192713,11085,1
476393984,11081,4
476002892,11080,6
475930294,11079,4
475795882,11078,4
475703641,11077,1
475700645,11076,1
475585639,11075,2
475497669,11074,4
475016010,11073,27
474987925,11072,2
474890468,11071,15
474852527,11070,4
474842758,11069,1
474807736,11068,1
474804630,11067,4
474778762,11066,1
474740147,11065,31
474715627,11064,2
474714715,11063,2
474253797,11062,2
474060122,11059,1
474009705,11058,4
473993248,11057,1
473622962,11056,1
473484936,11055,1
473408500,11054,2
473311379,11053,4
473266842,11052,1
473257955,11051,4
472816593,11049,20
472748067,11048,1
472725358,11047,3
472718305,11046,2
472670462,11045,1
472660035,11044,1
472621477,11043,4
472611645,11042,1
472600443,11041,1
472546562,11040,1
472143975,11039,4
472005298,11038,4
471840757,11037,4
471730192,11036,2
471723071,11035,4
471256151,11033,1
471231190,11032,1
471224388,11031,2
471032093,11029,4
470649458,11028,10
470458416,11026,1
470310831,11025,1
470270657,11024,4
470268088,11023,1
469915027,11022,7
469688853,11021,7
469598462,11020,4
469474321,11019,1
469087967,11018,1
469078605,11017,1
469074190,11016,24
468982946,11014,1
468979836,11013,2
468976359,11012,1
468925066,11011,4
468905817,11010,1
468463410,11009,4
468336823,11008,4
468220839,11007,1
468159964,11006,8
468134794,11005,2
468066220,11004,4
468054490,11003,1
467997805,11002,1
467894801,11001,3
467853907,11000,4
467652875,10998,6
467626568,10997,1
467587656,10996,1
467523443,10994,1
467482950,10993,4
466871025,10991,4
466382177,10990,5
466296304,10989,6
466205533,10988,4
465748236,10987,3
465667537,10986,1
465650331,10985,1
465620426,10983,5
465596502,10982,4
465170732,10981,4
464789579,10978,1
464740588,10977,4
464692322,10976,4
464635290,10975,1
464256681,10974,4
464248085,10973,2
464201251,10972,18
464134157,10971,1
464127900,10970,4
463633939,10968,1
463607026,10967,1
463516143,10965,87
463496936,10964,4
462870793,10962,4
462273033,10959,4
461827228,10958,4
461228882,10957,4
460294023,10956,4
459362487,10955,4
458644591,10952,2
458557222,10950,1
458542860,10949,4
458533530,10948,9
458441278,10945,1
457915029,10943,4
457438343,10941,28
457338756,10940,1
457266953,10939,4
456771065,10938,4
456633936,10937,4
456471389,10936,34
456373427,10934,4
455926042,10933,1
455826431,10932,72
455819447,10931,4
455794723,10930,2
455782916,10928,58
455775478,10927,2
455445881,10925,4
455236305,10924,6
455216455,10922,4
454860298,10921,3
454779137,10920,2
454695646,10919,1
454650832,10917,14
454606517,10916,4
454591006,10915,24
453826971,10913,30
453600018,10912,4
452638486,10910,4
452007206,10907,4
451476986,10905,19
451395442,10904,1
451394548,10903,2
451370346,10902,17
451237090,10901,4
451230926,10900,20
450722595,10898,1
450354523,10897,3
450317298,10896,4
449745866,10894,3
449684631,10893,2
449584971,10891,4
449564023,10890,5
449127362,10889,4
448978373,10888,4
448360458,10887,4
448353837,10886,4
447920229,10884,4
447659979,10882,1
447643635,10881,9
447524006,10880,4
447519607,10879,3
447514606,10878,14
447500462,10877,2
447499045,10876,13
447477381,10875,1
447095735,10874,27
447092394,10873,11
447062654,10872,1
447024241,10871,1
446957650,10870,4
446593744,10869,15
446489426,10868,5
446473471,10867,1
