commit_sha,pull_no
1d180dfcacd10332a2f8bfb8cea0f884851ec63e,8982
2d922fb51366296d815f980c3474402a7d6273bc,8982
e3e59e96d6d30fcd2bb59fab032f08bbd6002bf7,8981
3cb02c80ae464d7004228480168641a1b5cb5e83,8981
b077db53315bc5267d850b12c8416429bd089c1d,8981
39e68ae906e640dcc41c6d692fde330909c8e49c,8967
a3ad263f67916d8e9ce3ee5f8a46bb0c5857c60f,8976
5a9d8d78080fad0b54330e712f04df744d91379e,8965
b540fc8b5ae88e193ca3dd1d6a04a1ec0722a510,8970
0b8046718eab898e3311d248ffb06a25f4bb56eb,8974
79b6038ec8dea361808cc7fc109381ebf948632f,8967
cb8a82c094f2ce184cdfffadff928f1add31b59f,8714
3de3381eb03a61cbdd44e219d8d47ee874b1e026,8941
2ba92fe54a4ba8ac8dd141b302e62f351858f118,8894
6fd5d1baa67d46d84b15341207a80b94fc5b2f4f,8894
ff24f8c09235ab93d665f06a72c6669f50887e8e,8945
42fc819599edc91291ac92e0bd8e9cdfcdce3490,8945
fd0a978782d16cfb4de789114f56990f2c952aee,8945
ec4757624c40659c9a673129c4f8f638ff502c77,8945
4f707f105fc81a1e8088aa775cddacbbee489dd1,8945
ca5b007653bdff7047345e49cdfa205cbe28a2c5,8945
65b64b7eb1777183ffe8043c6c643032b7550509,8945
6c7071fff5d2dee465a2b185db205dca475545ee,8945
e8f48be47c2551e49e8c92dc269a7dd609b34401,8946
2233cd5bd9fbfcf4164ab208de9a16f417642c0e,8948
acf899bfc42fb570e80682707de9cbb10e59f574,8894
b1cade6027635e8ee20003b8cc9c641003c7d3d4,8945
f13524ba6cac8ec50cfdd7f01d716164a3542f98,8953
36841dbcbef790eda00a7f18d4396b81b8e2d1a8,8953
8cc9ec0c9f99b6c24c4650da9e8252feddb4a19e,8953
2bc4bdd026c43abc7f3307e7e8ea42953143858f,8946
8c56067b99a273ff65dd8436b6f787a5710ccb84,8946
de53675612b1938ecc3ee24bdfdf84f2c7074f66,8946
99d4e82ae56f7c74c8c00352e33e302e40eeb1d2,8948
549f69d3aed9f31900772c1fc2fe05f5c522f9ab,8946
15ca25880ab27687bc4b40947c2b174c0a24cbad,8945
44851c0408ea0b045bdd990e8c58ba3af8827187,8945
f577f16d9f8a8a60ac0e4ab1cbc4f18d770b8987,8945
db29230e5d8ecd0bd36e0fc737bb3c7097880223,8933
ba4094ac01e601412df38a69bb9714c815831c30,8894
93fcbfac5c4b52ec6cad4e28f9b4aaa5c591ddae,8933
67ef6c4ad1e38050a9c3087337e5635e0d305823,8941
044c7d7e418800a87315f3d67f4232698525211e,8923
f000e9fccd4e2aa390c7a41f53628fa3be614160,8923
4b109df7635c9cd7f616991cac86e62ff3de6d71,8945
0c5746ff67a31958120bef4e03eb80813398c310,8934
e6fd491b1d2a8b0b33334601601ca66af9aca76b,8934
6483de03f804d591e537a429d6ec990ffdecac5b,8945
76989b75a5d38214e27a2895d55b4de5c00143e7,8945
af27a2d566545372fcdaeabf16b37905c098cc10,8945
77e21b8c623346371432d8ad9f6d703f65d6f806,8945
04c0b937b86c58e1fce197cb4593f9709c0ce20c,8933
497b78606ffa58393ea70976215c20bb48af92f2,8873
9f2598bf0075c766c6e1b8f5e0fb6e46d3200236,8945
f0a5593151e62d4c74cdee53b820d714c3f7cda8,8945
9b17cb7d23af18e00a328380d5ecff31abf2e2bf,8924
a2cab719ba4ed1b55322c61a6113775dbba8e224,8932
b69d011fbe2a08d08dd3ab5965302c863821cfe8,8932
6a4d7a20ad5671e50d61000e4590b8ffda36c8af,8929
f6722df09c2d1d532163f050d4801da6dd53cc49,8924
bd503c35957f55f07827266f89f487c4f38570f2,8812
15183bd9e6a70fb0b801ea929d1262d3ccbb9537,8929
7089e1df09c6731e1b24679059bb099bb76d236e,8929
9a76a48fbdf06c5991eb31f9d41ff6f2be186250,8929
6166b0202c69b02bc841a0f5b687047d6675a538,8945
6e18ec4841001ad233892781d9d0818163c8d79e,8945
df8b455efcb028c186a5d376996053d5c2fb3760,8945
c506fe724935c86ecaf353d5a1bd145bf0c8b9f6,8945
fd5b54eabdabbfcc4543ef485f1fb720b430abc2,8923
1886b7d5b77b805fab6ddd5313128162f53953b8,8925
764883fcd3cff90bbdc9e310dde8424a5da57033,8945
ac5f63f0c2cd00e68bba2f9609d306680c3b85c4,8925
41608ca5cfc3d650a68a87d12ad6dfa4032642d7,8924
07389f1eec3469d2bc59382e7dc2cbd92c9d0cc3,8925
5b2b6ed854385e76894f9110eecdd911d1104b1b,8873
b4952a9f4a12f9ff8bf05134d61ebe27ffffac51,8923
cf034fcb1981e2e9f5eaaad0d6ba97766e008df1,8919
5c2bb63bdc71b6a20540bf6e022d6885d702dca7,8909
ed8caa04f8f46176eafd91fb252a27d7d5fca4a4,8894
31f87f28958c07a264d735beb6e89c3c944d0d08,8894
965f566906dc15b57b9fa8f2dd6c713065685670,8906
b046ccdde9c1d53472465b2621a337c9af585456,8873
d15f98073badefd26319097d1092ce04bb2691a7,8873
8a2d5aabd94f29a72fba6e7a3d732842c487077a,8906
eb93d800c24e5a542fe6b256079002d2a1f831f1,8894
38a1f19cf7bbe34a6fd66a9fca7d9d348580c61f,8919
12d4ba619f9ae23553f22fc96f29b903e9a48fca,8919
2608b69588582a6d29fd65e50940a42ab1345894,8900
3a1585170e90452234c76df8094d9270c0218cd6,8894
bda537e904dd1d5930ec2b53fefff5a7ee1a5206,8906
18284e2523b0c6c22f8d6eafdf73df3954cffa4a,8906
c54552c73535b7ae590ab1b5f5eb5e497569a3ae,8906
a7528885174d9d2ef7a8c8b789cd49414ace03b3,8909
686d872fd28e5dc224f0539b25ac21c2e19b6108,8906
21c0b66fab848f71eb0feeadeaf5110e85aedad9,8906
93e35252f59c7d66947fe6f5edf820928d523982,8906
c8ab647534431cc944cb8a5a5aae4baf8f4fa646,8906
487cfd11c28d7972c29780849457e763e9120fb4,8906
e91d6aa3c44bf22e97d06c5e83ed86e92d355f9e,8906
983b2d591a2eeb6871cbaa14a8d02cecd6ef4080,8900
51bdafffd102193e8b9fa13201b5cb1fe720c4c4,8900
4cc27bd239f11979bccb803450aae843a28426a9,8900
59d4391dea36bf278165fd20a218bb63880e2ab3,8900
296cb949b866ab096e804db9764511a8d0b0a1d2,8900
674fa58da70b21dfe6bb55555ba108830c7a8b43,8900
702c219894fd2bdf3e235154e3b16cc1b8b5bdb0,8900
9e55f12f4ac0019a9c5f50e576ae5b2f342aaf0e,8900
0ac96024afd12b579641ff2dd9946f03d45d05d7,8894
0db94f240da071b7f862d90cf842148d740b56a3,8890
227b386cf0318579fbea7d34b51e56bb7973560b,8887
d4b8c876fe2e9d5cd2fb5525642606e539ed1259,8890
c154c5f079e0ff705d0f0ca0c04192ba90dd1c69,8887
de79005e66e29a9e69cf76caf1b9312a7d088319,8887
3b9b8b7ed8b92ace469e93121a386ac15186677f,8787
bab8a4269c49b1939e5d485b9defafdd94b3580d,8787
4e61c3557aa747a6b9cdc3ae27eb1cc46b4befe7,8885
68a70a4593917a0a8417225fcfecb4de8bbc653a,8885
6c5fe3b8b2674815c0cf9390607f2bceb321b6fc,8884
8c69a0b2bdd1d10b2167fee95fcb9d61a9679ebd,8884
11b50704dc23b371ae6d3d3ff384d5900bdef777,8882
deb4c54ea25ee6a7af2c363135cd36322ad20e7f,8882
