issue_no,found_id,is_issue,is_pull_request
8908,8826,True,False
8849,8861,True,True
8783,8804,True,True
8774,8763,True,False
8741,8733,True,False
8719,4942,True,True
8700,8704,True,True
8681,8683,True,True
8654,8720,True,False
8649,8652,True,True
8646,8565,True,True
8637,8574,True,False
8637,8655,True,True
8615,8588,True,True
8587,8590,True,True
8574,8591,True,True
8574,8697,True,True
8560,8550,True,False
8556,8556,True,False
8555,8190,True,True
8553,8657,True,True
8550,8561,True,True
8518,8509,True,False
8511,8658,True,True
8506,8507,True,False
8502,8503,True,True
8501,8535,True,True
8435,8386,True,True
8423,8424,True,True
8415,8284,True,False
8397,8396,True,False
8395,8264,True,True
8377,8328,True,True
8361,8362,True,False
8331,8343,True,True
8326,8327,True,True
8304,5340,True,False
8224,7365,True,False
8221,8354,True,True
8208,8209,True,True
8201,8024,True,False
8193,7365,True,False
8148,8154,True,True
8137,5459,True,False
8137,7651,True,False
8137,7189,True,False
8137,7112,True,False
8137,6745,True,False
8137,6105,True,False
8137,5971,True,False
8136,6095,True,False
8136,8123,True,False
8136,7836,True,False
8136,7941,True,False
8136,7709,True,False
8136,4258,True,False
8092,8058,True,True
8068,8091,True,True
8064,8154,True,True
8040,7841,True,False
8023,8058,True,True
8014,7998,True,False
8003,7931,True,False
8003,7931,True,False
7970,7813,True,False
7912,7624,True,False
7874,7920,True,True
7864,7869,True,True
7856,6939,True,True
7856,7796,True,False
7830,7848,True,True
7809,7827,True,True
7804,7858,True,False
7796,6939,True,True
7789,6061,True,False
7785,7877,True,True
7747,7748,True,True
7745,7759,True,True
7739,7741,True,True
7718,7775,True,True
7717,7735,True,True
7713,5935,True,False
7706,7716,True,True
7701,7703,True,True
7698,7710,True,True
7698,7711,True,True
7690,7707,True,True
7673,7018,True,True
7673,8472,True,False
7669,7119,True,False
7642,7637,True,True
7603,5340,True,False
7599,3210,True,True
7565,7671,True,True
7522,7831,True,True
7519,7904,True,True
7485,7480,True,True
7485,7357,True,False
7454,6637,True,False
7453,8380,True,True
7452,8699,True,True
7451,8209,True,True
7450,8209,True,True
7449,6637,True,False
7448,8091,True,True
7447,8091,True,True
7446,8091,True,True
7445,8091,True,True
7444,8091,True,True
7443,5340,True,False
7438,7409,True,True
7385,2505,True,False
7382,7321,True,True
7376,2505,True,False
7359,7354,True,True
7357,7485,True,False
7322,7272,True,False
7322,7272,True,False
7298,7725,True,True
7274,7104,True,False
7258,7283,True,True
7245,6807,True,False
7191,7267,True,True
7165,7167,True,False
7154,7993,True,True
7152,7152,True,False
7152,7175,True,True
7143,7006,True,True
7114,6857,True,False
7109,7122,True,True
7109,7131,True,True
7109,7136,True,True
7109,7138,True,True
7100,7145,True,True
7092,5645,True,True
7029,6822,True,True
6972,7210,True,True
6966,3692,True,False
6957,6410,True,True
6933,6330,True,False
6922,6858,True,True
6922,7070,True,True
6922,6870,True,True
6922,6492,True,True
6922,6493,True,True
6922,6981,True,True
6922,6924,True,True
6922,6924,True,True
6904,6362,True,False
6890,4218,True,False
6878,6879,True,True
6857,6859,True,True
6833,6362,True,False
6831,6803,True,True
6830,6832,True,True
6826,6825,True,True
6788,6791,True,True
6777,6794,True,False
6762,6794,True,False
6752,6753,True,True
6737,6740,True,True
6737,6754,True,True
6735,7572,True,False
6725,4528,True,False
6697,6733,True,True
6689,6492,True,True
6688,6492,True,True
6687,6492,True,True
6683,6642,True,True
6679,6555,True,False
6678,6691,True,True
6662,6359,True,False
6641,6509,True,False
6640,6594,True,True
6639,4713,True,False
6637,6968,True,False
6624,6574,True,False
6624,6608,True,True
6619,6586,True,False
6619,6569,True,False
6613,6884,True,True
6587,5981,True,False
6582,6507,True,False
6581,6235,True,True
6577,6578,True,True
6576,6574,True,False
6576,6608,True,True
6562,6563,True,True
6562,6571,True,True
6541,4427,True,True
6538,5340,True,False
6511,6147,True,True
6511,6147,True,True
6507,6582,True,False
6507,6615,True,True
6478,6479,True,True
6471,6262,True,False
6466,6492,True,True
6447,6449,True,False
6438,6483,True,True
6430,6311,True,True
6406,6479,True,True
6391,6649,True,True
6384,6218,True,True
6384,6218,True,True
6381,6383,True,False
6376,6361,True,True
6375,7550,True,True
6370,6391,True,False
6362,6904,True,False
6357,5115,True,False
6353,6363,True,True
6330,7193,True,True
6320,6393,True,True
6320,6516,True,True
6308,6488,True,True
6307,6431,True,True
6297,6477,True,True
6294,6122,True,True
6243,6246,True,False
6237,6550,True,True
6234,6238,True,True
6210,1725,True,False
6187,6169,True,False
6187,6178,True,False
6178,6169,True,False
6178,6176,True,False
6178,6187,True,False
6177,4549,True,False
6176,6169,True,False
6176,6169,True,False
6166,6049,True,True
6164,5874,True,True
6163,6088,True,False
6159,6160,True,True
6153,5594,True,True
6151,5896,True,True
6117,6098,True,False
6108,5853,True,True
6108,6193,True,True
6094,6049,True,True
6090,6061,True,False
6090,6061,True,False
6089,6061,True,False
6086,6061,True,False
6086,6061,True,False
6065,6066,True,True
6061,5887,True,False
6057,6059,True,True
6056,6059,True,True
6045,6479,True,True
6042,6043,True,True
6033,6034,True,True
6018,6928,True,False
6008,5988,True,True
5993,6001,True,True
5991,5977,True,True
5991,5746,True,True
5981,6822,True,True
5981,6822,True,True
5979,6128,True,True
5970,5969,True,False
5970,5784,True,False
5968,5977,True,True
5963,5962,True,False
5957,5955,True,True
5957,6423,True,True
5945,5624,True,True
5912,5781,True,True
5912,6104,True,True
5912,6144,True,False
5912,5990,True,True
5912,5868,True,True
5912,5781,True,True
5912,5661,True,True
5912,6021,True,True
5912,5594,True,True
5912,6199,False,True
5901,7487,True,False
5901,7100,True,False
5883,5829,True,False
5879,5891,True,True
5871,5869,True,False
5843,4451,True,False
5832,5902,True,True
5793,5838,True,False
5777,5085,True,False
5776,5955,True,True
5767,5662,True,True
5737,5738,True,True
5718,5613,True,True
5713,6235,True,True
5712,5121,True,False
5707,5004,True,False
5697,6698,True,True
5684,5897,True,True
5684,5964,True,True
5684,5897,True,True
5667,5554,True,True
5644,5654,True,False
5644,5653,True,False
5642,5463,True,False
5642,5463,True,False
5641,5648,True,True
5616,5577,True,True
5604,5572,True,False
5600,5619,True,True
5600,5619,True,True
5595,5596,True,True
5572,4895,True,True
5571,5572,True,False
5566,5838,True,False
5546,5554,True,True
5545,5610,True,True
5534,3154,True,False
5506,5513,True,True
5467,5990,True,True
5446,5447,True,False
5439,4657,True,False
5437,6364,True,True
5428,4971,True,False
5420,5390,True,False
5420,5798,True,True
5414,5982,True,True
5413,5500,True,True
5397,5402,True,True
5390,5420,True,False
5363,5310,True,False
5355,5403,True,True
5342,5903,True,True
5340,5111,True,False
5337,4832,True,False
5323,5646,True,True
5316,8310,True,False
5299,5131,True,False
5299,5131,True,False
5287,5402,True,True
5278,4235,True,False
5254,5069,True,True
5236,5016,True,True
5236,5016,True,True
5235,5051,True,True
5235,4998,True,False
5235,4998,True,False
5218,4200,True,False
5214,5228,True,True
5201,5168,True,True
