issue_no,pull_no,actor,created_at,event
8509,8977,RogPodge,2020-11-24 20:23:56,connected
8828,8905,julenka,2020-11-06 04:03:27,connected
7789,8787,MaxWang-MS,2020-10-22 05:02:13,connected
8577,8672,MaxWang-MS,2020-09-25 19:23:03,connected
8578,8672,MaxWang-MS,2020-09-25 02:03:39,connected
8462,8522,RogPodge,2020-09-15 23:01:50,connected
8548,8557,RogPodge,2020-09-15 17:52:51,connected
7933,8164,RogPodge,2020-07-14 23:41:11,connected
7845,7969,davidkline-ms,2020-05-26 17:08:12,connected
7332,7855,RogPodge,2020-05-12 19:49:56,connected
7742,7736,RogPodge,2020-04-30 17:28:48,connected
7715,7736,RogPodge,2020-04-30 17:28:38,connected
5635,7631,RogPodge,2020-04-13 18:33:23,connected
