pull_no,found_id,is_issue,is_pull_request
8909,8826,True,False
8884,8848,True,True
8875,8874,True,False
8863,8861,True,True
8863,8849,True,False
8851,8847,True,True
8837,4821,True,False
8810,8808,True,True
8810,8808,True,True
8807,8651,True,True
8803,8802,True,False
8799,8654,True,False
8799,8654,True,False
8798,8719,True,False
8798,8719,True,False
8781,8755,True,False
8777,8780,True,True
8777,8780,True,True
8777,8780,True,True
8777,8780,True,True
8769,8767,True,False
8740,8733,True,False
8731,8574,True,False
8722,8711,True,True
8722,8711,True,True
8721,8717,True,True
8706,8640,True,True
8683,8681,True,False
8672,8578,True,False
8665,7358,True,False
8663,7358,True,False
8659,8656,True,False
8657,8553,True,False
8653,8647,True,False
8652,8649,True,False
8641,8622,True,True
8641,8622,True,True
8636,8635,True,False
8618,8496,True,True
8617,8592,True,True
8612,8190,True,True
8608,8596,True,True
8608,8596,True,True
8602,8596,True,True
8602,8596,True,True
8584,8532,True,True
8559,8540,True,False
8525,8523,True,False
8520,8044,True,False
8514,8386,True,True
8510,8386,True,True
8503,8527,True,False
8500,8499,True,False
8487,8424,True,True
8487,8424,True,True
8487,8430,True,True
8487,8091,True,True
8487,8091,True,True
8487,8430,True,True
8487,8430,True,True
8487,8430,True,True
8487,8430,True,True
8487,8430,True,True
8487,8424,True,True
8487,8424,True,True
8487,8424,True,True
8485,8451,True,True
8485,8451,True,True
8478,8476,True,False
8447,8315,True,True
8434,8432,False,True
8412,8384,True,True
8404,8376,False,True
8398,8394,True,False
8374,8313,True,True
8371,8202,True,True
8371,8202,True,True
8359,8356,True,True
8359,8356,True,True
8359,8358,True,False
8341,8269,True,False
8328,8127,True,True
8322,7514,True,False
8319,8318,True,False
8317,8116,True,True
8292,8287,True,True
8255,8050,True,True
8245,8226,True,False
8240,8228,True,False
8225,8224,True,False
8202,8131,True,False
8173,8065,True,False
8172,7945,True,False
8167,8133,True,True
8142,8100,True,True
8133,8005,False,True
8133,7986,True,True
8133,8005,False,True
8107,8097,True,False
8072,7986,True,True
8072,7986,True,True
8071,8058,True,True
8041,8038,True,False
8006,7986,True,True
8006,8004,True,True
8005,7986,True,True
7987,7942,True,False
7974,7972,True,False
7953,7948,True,False
7947,7926,True,False
7925,7876,True,False
7923,7783,True,False
7895,7810,True,False
7892,7891,True,False
7870,7798,True,False
7865,7863,True,False
7857,7796,True,False
7857,6939,True,True
7819,7805,True,False
7800,7773,True,False
7793,7782,True,False
7792,7782,True,False
7787,7786,True,False
7787,7786,True,False
7702,7701,True,False
7691,7692,True,False
7683,7239,True,False
7658,7565,True,False
7654,7565,True,False
7653,7565,True,False
7649,7565,True,False
7643,7642,True,False
7641,7635,True,True
7639,7685,True,False
7628,7583,True,False
7625,7629,True,False
7625,7629,True,False
7625,7629,True,False
7625,7629,True,False
7621,7615,True,True
7615,7246,True,True
7615,7621,True,True
7615,7621,True,True
7615,7621,True,True
7610,6925,True,True
7604,7600,True,True
7579,7578,True,False
7571,7555,True,True
7571,7555,True,True
7570,7568,True,True
7570,6341,True,False
7537,7536,True,False
7529,7534,True,False
7512,5483,True,True
7509,5483,True,True
7505,7489,True,True
7497,5483,True,True
7492,5483,True,True
7475,7205,True,True
7457,6928,True,False
7437,7402,True,True
7421,7405,True,False
7419,7411,True,True
7418,7411,True,True
7415,7411,True,True
7407,7404,True,False
7406,7405,True,False
7403,7390,True,True
7402,6886,True,False
7401,7400,True,False
7401,7400,True,False
7374,5847,True,False
7367,7359,True,False
7329,7296,True,False
7324,7323,True,False
7292,7269,True,True
7290,7288,True,True
7276,4165,True,False
7257,7255,True,False
7253,7252,True,False
7248,133,True,False
7229,7003,True,False
7206,7186,False,True
7198,7192,True,False
7195,7003,True,False
7188,7371,True,True
7188,7371,True,True
7180,7174,True,False
7175,6481,True,False
7168,7167,True,False
7153,7003,True,False
7139,7100,True,False
7139,6527,True,False
7138,7109,True,False
7110,7108,True,False
7098,5340,True,False
7098,7096,True,True
7097,5340,True,False
7083,7003,True,False
7077,7017,True,True
7068,7056,True,True
7053,7039,True,True
7043,7027,True,True
7037,7025,True,False
7023,6822,True,True
7017,6891,True,True
7017,6998,True,True
7008,6987,True,True
7008,6986,True,False
7004,6999,True,False
6989,6922,True,False
6989,6922,True,False
6988,6133,True,True
6981,5953,True,False
6981,5953,True,False
6979,6809,True,False
6976,6967,True,False
6970,6961,True,True
6969,6938,True,False
6969,6938,True,False
6940,5992,True,False
6919,6920,True,False
6917,6637,True,False
6902,6881,True,False
6891,6856,True,False
6882,6854,True,False
6879,6878,True,False
6863,6567,True,False
6853,6845,False,True
6848,6847,False,True
6837,6807,True,False
6837,6807,True,False
6819,2,True,True
6816,6244,True,False
6808,1,False,True
6804,6773,True,False
6791,6788,True,False
6770,6765,True,False
6764,6569,True,False
6753,6751,True,False
6738,6735,True,False
6738,6735,True,False
6738,6735,True,False
6738,6735,True,False
6720,6718,True,True
6719,6631,True,False
6718,6723,True,False
6718,6723,True,False
6713,6486,True,True
6696,6567,True,False
6695,6664,True,True
6684,6674,True,True
6675,6643,True,False
6645,6638,True,False
6645,6638,True,False
6644,5929,True,False
