pull_id,pull_no,title,body
751073241,8982,b'Only run 2019 daily on a machine with VS2019',"b""## Overview\r\n\r\nLike the 2019 PR validation pipeline, our daily 2019 build also depends on VS 2019 existing on the VM it's running on. Not all of our VMs have 2019 installed, so this ensures it'll only run on a supported machine."""
750238766,8981,b'Lock tests to run on StandaloneWindows to try to improve daily CI',"b""## Overview\r\n\r\nOur daily 2019 build has been failing tests for a long time. @CDiaz-MS recently added a Unity 2019 PR validation pipeline, which...doesn't fail tests \xf0\x9f\x98\xb2 PR validation runs tests after a Standalone build, while the daily 2019 pipeline builds UWP ARM64 first, which means the tests then attempt to run in the context of UWP, which attempts to start-up VR and seems to be the cause of many of the failures.\r\n\r\nThis PR\r\n\r\n1. Adds `-buildTarget StandaloneWindows` to our test running command, which should reset the editor out of UWP\r\n1. Updates our existing standalone build from x86 to x64, the more common architecture target for standalone"""
748162603,8977,b'Add articulated hand teleport gesture to all platforms',"b'## Overview\r\nWork to enable using a gesture to teleport with articulated hands on all platforms.\r\n\r\n## Changes\r\n- Fixes: #8973, #8509\r\n\r\n\r\n## Verification\r\n> This optional section is a place where you can detail the specific type of verification \r\n> you want from reviewers. For example, if you want reviewers to checkout the PR locally\r\n> and validate the functionality of specific scenarios, provide instructions\r\n> on the specific scenarios and what you want verified.\r\n>\r\n> If there are specific areas of concern or question feel free to highlight them here so\r\n> that reviewers can watch out for those issues.\r\n>\r\n> As a reviewer, it is possible to check out this change locally by using the following\r\n> commands (substituting {PR_ID} with the ID of this pull request):\r\n>\r\n> git fetch origin pull/{PR_ID}/head:name_of_local_branch\r\n>\r\n> git checkout name_of_local_branch\r\n'"
748157137,8976,b'Hotfix reverting change breaking oculus quest camera',b'## Overview\r\nMistaken profile change broke the camera on oculus quest. reverting\r\n'
747880204,8974,b'Comment out scoped validation until VM issue is sorted',b'## Overview\r\n\r\nComment out scoped validation until VM issue is sorted'
747740237,8970,b'Prevent exception when using Oculus Quest with hand tracking and the TeleportCursor',b'## Overview\r\nAdded a null check to prevent an exception that occurs when using Oculus Quest and moving the hands in and out of view.  This can be especially problematic when testing in the editor and being forced to remove the headset and unpause to allow execution to continue.\r\n\r\n\r\n\r\n\r\n\r\n'
747514795,8969,b'Branch synchronization: mrtk_development --> feature/interactive_element',b'This is a pull request initiated by an automated process to keep mrtk_development and feature/interactive_element in sync'
747171206,8967,b'Fix a DeleteArrayElementAtIndex related issue',"b'## Overview\r\nCurrently there is a bug associated with the constraint manager. To reproduce:\r\n1. Add a cube to a scene with MRTK properly set up\r\n2. Add `BoundsControl` to the cube\r\n3. Go to the constraint manager component, switch to manual mode, add a constraint and then remove it\r\n4. Click play and try to scale the cube. Note `NullReferenceException`s appear in the console\r\n\r\nThe bug is related to a call to `SerializedProperty.DeleteArrayElementAtIndex`, which supposedly should ""delete the element at the specified index in the array"", but instead it actually sets the element to null if it is not already null at the time of the call (otherwise it removes the element). Some on the Internet said this behavior ensured such removal did not break the indexing of the array and should ""just work"" when being applied back to the object behind the SerializedObject. However that differs from the behavior I am currently seeing on Unity 2018.4.26f1 and Unity 2019.4.12f1.\r\n\r\n\r\n## Changes\r\n- Call `DeleteArrayElementAtIndex` a second time if the size of the array does not change after the first call.\r\n\r\n\r\n## Verification\r\nRepeat the steps above and observe no such error.'"
746930302,8965,b'Rigged Hands graduation part 2',"b'## Overview\r\nGraduates rigged hands from experimental to mainline by moving them out of the directories. Tests enabled\r\n\r\nFollowup to #8714\r\n\r\nChanges\r\nFixes: #8669 modulo file refactor\r\n\r\n## Verification\r\n> This optional section is a place where you can detail the specific type of verification \r\n> you want from reviewers. For example, if you want reviewers to checkout the PR locally\r\n> and validate the functionality of specific scenarios, provide instructions\r\n> on the specific scenarios and what you want verified.\r\n>\r\n> If there are specific areas of concern or question feel free to highlight them here so\r\n> that reviewers can watch out for those issues.\r\n>\r\n> As a reviewer, it is possible to check out this change locally by using the following\r\n> commands (substituting {PR_ID} with the ID of this pull request):\r\n>\r\n> git fetch origin pull/{PR_ID}/head:name_of_local_branch\r\n>\r\n> git checkout name_of_local_branch\r\n'"
746873192,8964,b'Add state sorting menu and the FocusNear/FocusFar states to Interactive Element',"b'## Overview\r\n\r\n#### State Selection Menu\r\nAdds a state sorting menu to Interactive Element.  When a user selects ""Add Core State"", the states are now sorted based on the Interaction Type. \r\n\r\n![SortingStatesMenuPR](https://user-images.githubusercontent.com/53493796/99713338-06d4d700-2a59-11eb-947a-c230a395fb52.gif)\r\n\r\n#### Active state inspector highlight\r\n\r\nDuring play mode, when a state is active, it is highlighted with cyan in the inspector.  This makes a state change more obvious to the user. \r\n\r\n#### Added new FocusNear and FocusFar states\r\n\r\nThe Focus state encompasses both near and far interaction but the addition of FocusNear and FocusFar allows users to track whether an object is in near focus or far focus.  For example, if an object comes into focus with the controller ray pointer, that is considered far interaction.  If an object comes into Focus with the poke pointer, that is considered near interaction.   Added a test for these states. \r\n\r\nThe gif below demonstrates the state value highlight in the inspector and how the object responds to Focus.\r\n\r\n![FocusNearFocusFarPR](https://user-images.githubusercontent.com/53493796/99715296-81065b00-2a5b-11eb-9bca-ee771171e2a5.gif)\r\n\r\n#### Added the InteractionType property \r\n\r\nAdded a property to the InteractionState class that defines the `InteractionType` of a state as Near, Far, Both, None.  This property is used to label states with the goal of reducing confusion on the type of interaction each state supports. \r\n\r\n\r\n## Changes\r\n- Checks off 2 item in this to do list: #8883 \r\n\r\n\r\n## Verification\r\n1. Checkout the branch\r\n1. Open new unity scene\r\n1. Add MRTK to the scene\r\n1. Add a cube to the scene\r\n1. Attach the Interactive Element component\r\n1. Select Add Core State button in the Interactive Element inspector\r\n1. Add the FocusNear and FocusFar state\r\n1. Press play and observe the state value changes in the inspector\r\n'"
