group,oldest_pull,pulls_total,commits_total
0,1773,1,6
1,1906,1,16
2,1846,1,17
3,1909,1,6
4,1920,1,18
5,1916,1,3
6,1966,1,6
7,1976,1,2
8,1975,1,1
9,1982,1,1
10,1996,1,1
11,2002,1,4
12,2020,1,1
13,2025,1,1
14,2026,1,1
15,2028,1,1
16,2059,1,1
17,2112,1,1
18,2135,1,1
19,2145,1,1
20,2137,1,1
21,2171,1,1
22,2174,1,1
23,2176,1,1
24,2175,1,1
25,2177,1,1
26,2184,1,34
27,2180,1,1
28,2178,1,1
29,2182,1,1
30,2183,1,1
31,2181,1,1
32,2185,1,1
33,2186,1,1
34,2188,1,1
35,2197,1,2
36,2204,1,12
37,2198,1,1
38,2202,1,4
39,2207,1,10
40,2231,1,3
41,2232,1,2
42,2233,1,2
43,2234,1,3
44,2235,1,2
45,2236,1,2
46,2239,1,3
47,2240,1,2
48,2243,1,2
49,2265,1,4
50,2273,1,4
51,2274,1,2
52,2282,1,5
53,2283,1,4
54,2287,1,2
55,2293,1,4
56,2513,1,40
57,2308,1,3
58,2315,1,5
59,2318,1,6
60,2316,1,2
61,2322,1,7
62,2321,1,5
63,2331,1,6
64,2332,1,2
65,2345,1,27
66,2333,1,2
67,2337,1,5
68,2350,1,7
69,2351,1,88
70,2369,1,3
71,2370,1,3
72,2373,1,2
73,2375,1,2
74,2376,1,4
75,2377,1,2
76,2379,1,3
77,2385,1,3
78,2387,1,3
79,2402,1,20
80,2398,1,8
81,2443,1,13
82,2396,1,11
83,2399,1,2
84,2407,1,2
85,2412,1,4
86,2417,1,2
87,2428,1,15
88,2433,1,4
89,2437,1,6
90,2469,1,32
91,2441,1,1
92,2442,1,2
93,2444,1,1
94,2449,1,6
95,2454,1,2
96,2455,1,11
97,2458,1,2
98,2466,1,5
99,2472,1,4
100,2501,1,9
101,2484,1,7
102,2475,1,24
103,2476,1,2
104,2483,1,3
105,2482,1,2
106,2490,1,3
107,2492,1,14
108,2495,1,2
109,2496,1,7
110,2502,1,12
111,2499,1,2
112,2507,1,2
113,2510,1,5
114,2512,1,11
115,2533,1,69
116,2519,1,26
117,2521,1,13
118,2545,1,52
119,2542,1,36
120,2550,1,5
121,2555,1,2
122,2556,1,2
123,2559,1,23
124,2560,1,2
125,2566,1,2
126,2568,1,79
127,2569,1,6
128,2570,1,3
129,2571,1,2
130,2572,1,2
131,2573,1,2
132,2574,1,2
133,2576,1,2
134,2575,1,1
135,2579,1,6
136,2584,1,11
137,2581,1,3
138,2582,1,2
139,2583,1,17
140,2586,1,2
141,2589,1,2
142,2594,1,39
143,2595,1,3
144,2597,1,2
145,2600,1,2
146,2601,1,2
147,2602,1,2
148,2603,1,2
149,2604,1,3
150,2609,1,4
151,2639,1,61
152,2611,1,2
153,2618,1,2
154,2619,1,2
155,2620,1,5
156,2624,1,4
157,2627,1,2
158,2629,1,2
159,2632,1,2
160,2633,1,2
161,2637,1,5
162,2640,1,2
163,2650,1,2
164,2651,1,2
165,2654,1,2
166,2655,1,2
167,2658,1,2
168,2661,1,4
169,2663,1,2
170,2667,1,2
171,2673,1,3
172,2676,1,6
173,2677,1,4
174,2678,1,2
175,2687,1,42
176,2688,1,9
177,2689,1,5
178,2690,1,3
179,2691,1,23
180,2693,1,2
181,2694,1,2
182,2695,1,4
183,2698,1,22
184,2701,1,2
185,2715,1,3
186,2704,1,2
187,2705,1,58
188,2707,1,4
189,2709,1,1
190,2725,1,15
191,2710,1,3
192,2713,1,8
193,2718,1,13
194,2723,1,2
195,2727,1,6
196,2728,1,2
197,2729,1,2
198,2730,1,2
199,2731,1,2
200,2732,1,2
201,2734,1,8
202,2735,1,4
203,2736,1,6
204,2737,1,13
205,2773,1,7
206,2740,1,10
207,2741,1,2
208,2742,1,3
209,2743,1,2
210,2770,1,9
211,2747,1,4
212,2751,1,2
213,2750,1,6
214,2755,1,2
215,2762,1,2
216,2763,1,2
217,2764,1,2
218,2765,1,2
219,2768,1,2
220,2771,1,21
221,2606,1,1
222,2775,1,7
223,2777,1,3
224,2779,1,6
225,2781,1,2
226,2783,1,2
227,2809,1,12
228,2787,1,2
229,2917,1,40
230,2791,1,4
231,2792,1,2
232,2794,1,2
233,2801,1,2
234,2803,1,2
235,2837,1,19
236,2804,1,18
237,2812,1,12
238,2818,1,2
239,2819,1,2
240,2820,1,3
241,2821,1,2
242,2813,1,1
243,2817,1,1
244,2824,1,5
245,2827,1,4
246,2831,1,6
247,2833,1,4
248,2967,1,4
249,2835,1,3
250,2836,1,2
251,2838,1,2
252,2843,1,2
253,2845,1,2
254,2846,1,2
255,2844,1,1
256,2847,1,2
257,2848,1,5
258,2849,1,2
259,2857,1,2
260,2858,1,2
261,2866,1,6
262,2867,1,3
263,2868,1,2
264,2869,1,2
265,2873,1,2
266,2887,1,2
267,2877,1,2
268,2881,1,2
269,2884,1,3
270,2784,1,8
271,2886,1,2
272,2890,1,2
273,3380,1,7
274,2894,1,4
275,2895,1,2
276,2897,1,2
277,2885,1,11
278,2903,1,3
279,2906,1,2
280,2913,1,6
281,2920,1,8
282,2921,1,3
283,2922,1,23
284,2926,1,2
285,2929,1,3
286,2939,1,2
287,2940,1,2
288,2942,1,2
289,2943,1,2
290,2944,1,2
291,2945,1,2
292,2947,1,3
293,2948,1,6
294,2950,1,2
295,2951,1,13
296,2953,1,2
297,2980,1,4
298,3343,1,31
299,2959,1,2
300,2961,1,2
301,2966,1,2
302,2968,1,2
303,2977,1,2
304,2978,1,18
305,2983,1,6
306,2981,1,9
307,2984,1,2
308,3020,1,3
309,2988,1,4
310,2989,1,2
311,2990,1,2
312,2992,1,2
313,3003,1,42
314,2993,1,2
315,2995,1,5
316,3000,1,2
317,3001,1,4
318,3008,1,2
319,3013,1,4
320,3011,1,4
321,3012,1,2
322,3015,1,2
323,3016,1,2
324,3019,1,2
325,3022,1,2
326,3023,1,2
327,3024,1,3
328,3025,1,2
329,3031,1,2
330,3030,1,2
331,3033,1,2
332,3034,1,2
333,3036,1,2
334,3041,1,13
335,3046,1,2
336,3047,1,1
337,3049,1,1
338,3050,1,2
339,3066,1,5
340,3068,1,7
341,3079,1,4
342,3070,1,2
343,3076,1,4
344,3080,1,1
345,3081,1,1
346,3083,1,2
347,3085,1,2
348,3086,1,3
349,3099,1,2
350,3101,1,5
351,3100,1,2
352,3102,1,2
353,3113,1,56
354,3112,1,3
355,3117,1,6
356,3121,1,4
357,3123,1,2
358,3126,1,3
359,3134,1,2
360,3143,1,10
361,3149,1,8
362,3152,1,10
363,3150,1,44
364,3151,1,2
365,3155,1,2
366,3159,1,9
367,3167,1,8
368,3173,1,9
369,3174,1,3
370,3178,1,2
371,3186,1,15
372,3323,1,23
373,3227,1,2
374,3199,1,2
375,3200,1,2
376,3201,1,2
377,3203,1,3
378,3204,1,2
