pull_id,pull_no,total_commits
527656269,8982,1
526937123,8981,2
525225791,8977,8
525222682,8976,2
525023943,8974,1
524906866,8970,1
524725793,8969,7
524437238,8967,1
524236797,8965,5
524190328,8964,4
523975481,8963,37
522071353,8956,11
522030720,8954,4
521858667,8953,2
521123105,8949,1
521121367,8948,1
520928554,8946,4
520913164,8945,27
520875677,8942,2
520770038,8941,1
520599255,8939,7
520297456,8938,5
519906014,8936,8
519567001,8934,1
519511885,8933,2
519402588,8932,1
519217304,8931,13
519147269,8929,3
518601592,8925,2
518589756,8924,2
518199174,8923,3
517785659,8922,25
516947886,8919,2
516944433,8918,4
516381159,8909,1
515781959,8906,10
515746162,8905,26
515418042,8900,8
514754542,8895,5
514425207,8894,8
514080959,8892,20
513526859,8890,1
513387282,8887,2
513320282,8885,1
513298051,8884,1
513216454,8882,1
513028212,8880,20
512553474,8875,1
512526112,8873,5
512483367,8872,7
512472031,8871,250
512467991,8870,3
512452006,8868,6
512448126,8867,250
512434044,8866,3
512399884,8865,1
511958746,8863,6
511911661,8862,5
511860581,8861,1
511708217,8859,8
511166786,8853,2
510992889,8851,1
510825176,8850,4
510283810,8848,6
510262296,8847,2
510178055,8845,1
509163498,8843,1
509139901,8842,8
509085791,8841,1
509077986,8840,1
508586082,8837,1
507943763,8833,7
507659092,8825,1
507133726,8823,8
507128402,8822,94
507027294,8821,1
506388412,8818,2
506179747,8815,34
505276297,8812,13
505246357,8811,1
505157007,8810,7
505076666,8809,4
505069053,8808,1
505068091,8807,1
504302994,8805,3
504248574,8804,20
504067216,8803,1
504047279,8801,1
503752292,8800,2
503624155,8799,1
503615721,8798,1
503589769,8797,15
503002330,8794,51
501933336,8790,1
501891061,8789,1
501863233,8788,1
501852721,8787,13
501718659,8786,11
501118848,8784,1
500876121,8781,1
500873235,8780,8
500866986,8779,1
500786943,8777,35
500256818,8773,6
500253723,8772,1
499572857,8769,1
499407752,8766,3
498885096,8765,1
498745919,8764,3
498667063,8761,1
498666936,8760,1
498666818,8759,1
498650301,8758,1
498595635,8756,12
498174420,8753,13
498159226,8752,3
498143635,8750,1
498140742,8749,1
497550348,8744,1
497172108,8743,6
497166449,8742,3
497157909,8740,2
497120235,8739,9
496583818,8731,2
496536742,8729,1
496532407,8728,87
496422957,8727,1
496409406,8726,19
496385900,8725,250
496284949,8724,17
495843983,8722,1
495823028,8721,8
495582903,8718,3
495212835,8717,3
495176754,8714,27
495111995,8712,1
495046427,8711,1
494938550,8709,2
494855698,8708,35
494392109,8706,1
494386892,8705,7
494377300,8704,1
494348340,8703,2
494343947,8702,2
494306756,8699,2
494299850,8698,1
494282276,8697,1
494261966,8696,1
494165260,8695,14
493588002,8689,3
493386588,8683,1
493385358,8682,4
493376393,8680,1
493328591,8679,1
493305540,8678,4
493243093,8677,8
493231598,8676,31
493147233,8675,12
493098764,8674,19
492789014,8672,1
492782834,8671,3
492761081,8670,1
492719207,8668,17
492644441,8667,2
492620334,8666,3
492603169,8665,1
492566137,8663,5
492470887,8661,18
492125301,8659,1
492108452,8658,3
492096676,8657,2
492087201,8655,2
492069950,8653,1
492014063,8652,1
492006825,8651,10
491947330,8645,3
491941518,8644,1
491940095,8643,6
491932742,8641,1
491930839,8640,8
491805083,8639,44
491724186,8636,2
491124829,8632,1
491041717,8629,4
491041344,8628,4
491040356,8627,18
491039380,8626,14
490963412,8625,35
490610660,8622,5
490603572,8621,1
490603122,8620,7
490598062,8619,1
490595694,8618,1
490582430,8617,3
490550634,8616,9
490512569,8614,1
490470820,8613,1
490450117,8612,1
490447724,8610,3
490417329,8609,3
490409116,8608,1
490326318,8606,1
489845609,8602,1
489555327,8596,1
489336508,8594,11
489268539,8593,25
488989066,8592,9
488986488,8591,6
488983388,8590,17
