issue_no,found_id,is_issue,is_pull_request
23507,20002,True,False
23507,21206,True,False
23471,9,True,True
23471,9,True,True
23188,21512,True,False
23089,22150,True,False
23089,23083,False,True
22962,2166,True,False
22961,13261,True,False
22961,21578,True,False
22961,774,True,False
22959,795,True,False
22959,703,True,False
22959,1699,True,False
22957,13278,True,False
22954,701,True,False
22954,752,True,False
22953,19811,True,False
22953,4021,True,False
22953,2595,True,False
22953,245,True,False
22953,365,True,False
22953,827,True,False
22953,20858,True,False
22953,19970,True,False
22953,885,True,False
22953,3954,True,False
22953,9384,True,False
22953,10665,True,False
22953,10140,True,False
22953,3170,True,False
22953,10739,True,False
22953,620,True,False
22953,22060,True,False
22953,21509,True,False
22953,8023,True,False
22953,14590,True,False
22953,20931,True,False
22952,214,True,False
22952,19806,True,False
22952,9329,True,False
22952,15898,True,False
22952,12229,True,False
22952,10784,True,False
22952,21535,True,False
22952,11124,True,False
22952,22035,True,False
22952,20435,True,False
22952,20275,True,False
22952,18958,True,False
22951,12538,True,False
22951,13278,True,False
22950,4823,True,False
22950,19635,True,False
22950,2195,True,False
22950,20750,True,False
22950,8800,True,False
22950,8802,True,False
22950,8824,True,False
22950,10228,True,False
22950,11520,True,False
22950,13244,True,False
22950,13765,True,False
22950,13766,True,False
22950,16103,True,False
22950,17223,True,False
22950,18843,True,False
22950,18844,True,False
22950,18845,True,False
22950,20475,True,False
22950,21101,True,False
22950,21253,True,False
22950,22138,True,False
22950,22598,True,False
22950,22917,True,False
22950,4021,True,False
22950,4019,True,False
22950,12747,True,False
22950,23142,True,False
22950,16141,True,False
22950,23161,True,False
22949,14044,True,False
22949,13837,True,False
22949,20228,True,False
22949,22921,True,False
22949,22505,True,False
22949,22330,True,False
22949,21599,True,False
22949,21598,True,False
22949,18861,True,False
22949,16202,True,False
22949,16187,True,False
22949,13838,True,False
22949,13835,True,False
22949,13834,True,False
22948,22475,True,False
22948,831,True,False
22948,1186,True,False
22948,22842,True,False
22948,22170,True,False
22948,22150,True,False
22948,21283,True,False
22948,21252,True,False
22948,20723,True,False
22948,19113,True,False
22948,15534,True,False
22948,15520,True,False
22948,12435,True,False
22948,12241,True,False
22948,10183,True,False
22948,9318,True,False
22948,8802,True,False
22948,8434,True,False
22948,6182,True,False
22947,9998,True,False
22947,9999,True,False
22947,10000,True,False
22947,20734,True,False
22947,21823,True,False
22946,2100,True,False
22946,6546,True,False
22946,10059,True,False
22945,2174,True,False
22945,18557,True,False
22945,16406,True,False
22945,7152,True,False
22945,22878,True,False
22945,20862,True,False
22945,19694,True,False
22945,2167,True,False
22945,15174,True,False
22945,20682,True,False
22945,21106,True,False
22945,21443,True,False
22945,21615,True,False
22945,22105,True,False
22838,21227,False,False
22837,21278,False,False
22836,21319,False,False
22835,21357,False,False
22834,21366,False,False
22833,21435,False,False
22832,21455,False,False
22831,21494,False,False
22830,21436,False,False
22829,21423,False,False
22828,21604,False,False
22827,21635,False,False
22826,21669,False,False
22825,21728,False,False
22823,21689,False,False
22822,21730,False,False
22821,21545,False,False
22820,22813,False,False
22819,22798,False,False
22818,22797,False,False
22817,22162,False,False
22816,22160,False,False
22815,22053,False,False
22814,22015,False,False
22784,21971,False,False
22782,21973,False,False
22781,21732,False,False
22780,22005,False,False
22778,21927,False,False
22777,21891,False,False
22776,21918,False,False
22775,21754,False,False
22774,21814,False,False
22773,21832,False,False
22772,21879,False,False
22771,21861,False,False
22770,21856,False,False
22768,21799,False,False
22767,21782,False,False
22766,22749,False,False
22748,22130,False,False
22747,22141,False,False
22746,22140,False,False
22745,22238,False,False
22744,22250,False,False
22743,22239,False,False
22743,19929,True,False
22742,22214,False,False
22647,22621,False,False
22616,22613,True,False
22504,240,True,False
22504,752,True,False
22498,22483,True,False
22406,22337,True,False
22315,18124,True,False
22307,20978,True,False
22241,10508,True,False
22170,22122,True,False
22086,20206,True,False
21901,21900,True,False
21882,21329,False,True
21828,21607,True,False
21779,1,False,True
21779,2,True,False
21773,18923,True,False
21765,19882,True,False
21673,19003,True,False
21624,18903,True,False
21564,14001,True,False
21564,14001,True,False
21540,2953,True,False
21470,21425,True,False
21464,17068,True,False
21464,18102,True,False
21376,10864,True,False
21327,7283,True,False
21323,21310,True,False
21276,20892,True,False
21247,18575,True,False
21247,21246,False,True
21200,17763,True,False
21200,19247,True,False
21200,20291,True,False
21159,18662,True,False
21136,21128,False,True
21136,21041,True,False
21101,18908,True,False
21101,10999,True,False
21099,18908,True,False
21099,10963,True,False
20870,1,False,True
20870,2,True,False
20870,3,True,True
20870,3,True,True
20870,2,True,False
20773,12633,True,False
20771,11691,True,False
20746,14551,True,False
20694,9015,True,False
20692,20634,False,True
20601,20410,True,False
20500,8,True,False
20471,6266,True,False
20469,20106,True,False
20418,10784,True,False
20409,20204,True,False
20378,20316,True,False
20378,20377,False,True
20364,20278,True,False
20335,15807,True,False
20171,19162,True,False
20146,18923,True,False
20104,15681,True,False
20051,4319,True,False
19934,18022,True,False
19932,18299,True,False
19918,5719,True,False
19908,19737,True,False
19899,10432,True,False
19748,795,True,False
19668,19039,True,False
19635,19617,False,True
19609,18555,True,False
19538,9693,True,False
19509,15656,True,False
19421,1,False,True
19392,19322,True,False
19358,19335,False,True
19290,2969,True,False
19257,13381,True,False
19243,19169,True,False
19240,12565,True,False
19236,15283,True,False
19214,18888,True,False
19214,13220,True,False
19194,11884,True,False
19162,743,True,False
19060,9751,True,False
19059,16314,True,False
19007,14150,True,False
18903,17270,True,False
18903,18457,True,False
18900,15405,True,False
18898,15506,True,False
18840,18060,True,False
18840,16882,True,False
18795,18788,True,False
18775,6703,True,False
18700,16400,True,False
18624,3619,True,False
18600,17471,True,False
18584,11453,True,False
18416,18333,True,False
18379,17744,True,False
18180,18172,True,False
18070,18039,True,False
18034,15892,True,False
18022,20892,True,False
17987,17605,False,True
17917,15192,True,False
17896,31676,False,False
17722,13131,True,False
17641,2266,True,False
17493,13995,True,False
17290,15559,True,False
17246,14935,True,False
17205,17145,True,False
17202,17159,True,False
17174,16737,True,False
17174,16857,True,False
17147,8,True,False
17135,14590,True,False
17135,14590,True,False
17071,14551,True,False
17069,13048,True,False
17048,13048,True,False
17018,17618,True,False
17018,13767,True,False
16965,16922,True,False
16964,16922,True,False
16963,15343,True,False
16963,16575,True,False
16963,14042,True,False
16867,16791,False,True
16838,16730,True,False
16819,16800,True,False
16819,16799,True,False
16819,16808,False,True
16773,16686,True,False
16705,15796,True,False
16636,12761,True,False
16616,577,True,False
16491,11706,True,False
16491,2296,True,False
16431,11889,False,True
16431,11925,True,False
16409,12476,True,False
16305,15037,True,False
16238,16244,True,False
16227,16082,False,True
16224,15662,True,False
16200,1199,True,False
16119,16045,True,False
15911,626,True,False
15910,626,True,False
15763,15752,False,True
15758,15636,True,False
15750,15704,True,False
15748,15746,True,False
