issue_no,actor,event,event_id,created_at
4711,ChristopherHaws,subscribed,4044635419,2020-11-27 05:32:47
4711,ChristopherHaws,mentioned,4044635418,2020-11-27 05:32:47
23509,archanox,labeled,4044374839,2020-11-27 03:18:53
23509,archanox,labeled,4044374838,2020-11-27 03:18:53
19383,ajcvickers,labeled,4044094123,2020-11-27 00:00:00
20001,ajcvickers,demilestoned,4044091773,2020-11-26 23:57:41
19723,ajcvickers,milestoned,4044082894,2020-11-26 23:49:16
19723,ajcvickers,demilestoned,4044082892,2020-11-26 23:49:16
19723,AndriySvyryd,unassigned,4044082827,2020-11-26 23:49:12
19723,ajcvickers,labeled,4044082781,2020-11-26 23:49:09
19723,ajcvickers,referenced,4044082587,2020-11-26 23:48:56
23507,jotatoledo,labeled,4044080249,2020-11-26 23:46:38
17017,ajcvickers,referenced,4044044370,2020-11-26 23:12:30
17017,ajcvickers,labeled,4044042335,2020-11-26 23:10:57
17017,AndriySvyryd,unassigned,4044042112,2020-11-26 23:10:50
17017,ajcvickers,milestoned,4044041985,2020-11-26 23:10:45
17017,ajcvickers,demilestoned,4044041983,2020-11-26 23:10:45
16006,ajcvickers,milestoned,4044041608,2020-11-26 23:10:31
16006,ajcvickers,unlabeled,4044041345,2020-11-26 23:10:24
16006,ajcvickers,labeled,4044041231,2020-11-26 23:10:21
16006,ajcvickers,demilestoned,4044040473,2020-11-26 23:09:54
16006,ajcvickers,labeled,4044040372,2020-11-26 23:09:49
16006,AndriySvyryd,unassigned,4044035192,2020-11-26 23:05:08
16006,smitpatel,unassigned,4044035096,2020-11-26 23:05:03
18454,roji,unassigned,4043998270,2020-11-26 22:33:58
18454,ajcvickers,labeled,4043998196,2020-11-26 22:33:54
18454,ajcvickers,milestoned,4043998091,2020-11-26 22:33:48
18454,ajcvickers,demilestoned,4043998090,2020-11-26 22:33:48
18454,ajcvickers,closed,4043997941,2020-11-26 22:33:39
11552,ajcvickers,milestoned,4043994219,2020-11-26 22:30:39
11552,ajcvickers,demilestoned,4043994217,2020-11-26 22:30:39
11552,ajcvickers,labeled,4043994102,2020-11-26 22:30:33
2166,ajcvickers,referenced,4043994019,2020-11-26 22:30:28
3924,ajcvickers,referenced,4043994018,2020-11-26 22:30:28
11552,ajcvickers,referenced,4043994015,2020-11-26 22:30:28
10319,ajcvickers,subscribed,4043966300,2020-11-26 22:09:21
10319,ajcvickers,mentioned,4043966298,2020-11-26 22:09:21
23311,ajcvickers,subscribed,4043956767,2020-11-26 22:02:40
23311,ajcvickers,mentioned,4043956765,2020-11-26 22:02:40
21463,ajcvickers,labeled,4043909136,2020-11-26 21:32:02
21463,ajcvickers,demilestoned,4043908718,2020-11-26 21:31:45
21463,ajcvickers,unlabeled,4043908647,2020-11-26 21:31:42
21463,AndriySvyryd,subscribed,4043908374,2020-11-26 21:31:29
21463,AndriySvyryd,mentioned,4043908372,2020-11-26 21:31:29
21463,smitpatel,subscribed,4043908371,2020-11-26 21:31:29
21463,smitpatel,mentioned,4043908369,2020-11-26 21:31:29
23503,fearhq,labeled,4043896849,2020-11-26 21:23:58
4711,jeremycook,subscribed,4043843015,2020-11-26 20:51:19
4711,jeremycook,mentioned,4043843012,2020-11-26 20:51:18
4711,peabnuts123,subscribed,4043824025,2020-11-26 20:39:39
4711,peabnuts123,mentioned,4043824021,2020-11-26 20:39:39
23472,smitpatel,subscribed,4043783287,2020-11-26 20:15:56
23472,smitpatel,mentioned,4043783284,2020-11-26 20:15:56
8350,ajcvickers,milestoned,4043763324,2020-11-26 20:04:31
8350,ajcvickers,demilestoned,4043763321,2020-11-26 20:04:31
20961,ajcvickers,milestoned,4043759531,2020-11-26 20:02:31
20961,ajcvickers,demilestoned,4043759530,2020-11-26 20:02:31
20961,ajcvickers,labeled,4043759407,2020-11-26 20:02:27
20961,ajcvickers,referenced,4043757020,2020-11-26 20:01:09
22308,ajcvickers,referenced,4043717869,2020-11-26 19:39:30
23501,ajcvickers,labeled,4043676037,2020-11-26 19:16:12
23501,ajcvickers,labeled,4043676036,2020-11-26 19:16:12
23474,ajcvickers,labeled,4043577844,2020-11-26 18:24:27
23467,ajcvickers,unlabeled,4043566644,2020-11-26 18:19:08
23467,ajcvickers,labeled,4043566536,2020-11-26 18:19:05
23500,Shiko1st,labeled,4043459435,2020-11-26 17:33:49
23499,roji,subscribed,4043417980,2020-11-26 17:17:58
23499,roji,mentioned,4043417978,2020-11-26 17:17:58
23499,Saibamen,subscribed,4043378786,2020-11-26 17:04:16
23499,Saibamen,mentioned,4043378781,2020-11-26 17:04:16
23499,Saibamen,renamed,4043318973,2020-11-26 16:44:57
23499,Saibamen,labeled,4043318234,2020-11-26 16:44:44
23499,Saibamen,labeled,4043318232,2020-11-26 16:44:44
23495,dortibi,subscribed,4043172700,2020-11-26 16:03:37
23495,dortibi,mentioned,4043172696,2020-11-26 16:03:37
23495,roji,closed,4043172685,2020-11-26 16:03:36
23495,roji,labeled,4043170469,2020-11-26 16:03:00
23495,roji,unlabeled,4043170468,2020-11-26 16:03:00
