commit_sha,pull_no,issue_no
243357978bfa9b457e5e5011ea13648c46d8a1e8,23481,None
d11d48cf32fed2f097b637c9dec612743cf28411,23484,23405
b8293b4881ed6ae382d42ca43308e2589c044f69,23326,22165
319607c70010d590e605a05875b1fba3e46ff2a5,23212,None
44f0967403eb5ae7f7819b12d767cc6dcbc5bb0a,23477,None
aaf724f0ae544bd0ec651741ca0904652abd5ff4,23452,23312
60fcf41dea39e29da478d58933ff10b624b43456,23466,None
30c13444f8644bc5484357b468b3ee6f44b6813c,23469,None
9e16f475fdb227053810ddeb5d96ffef78c7807c,23469,None
ade87da225de17d17f9cf637eaa29600b679d654,23455,None
762ba95951ed1f92c59bcf0ed51f587562693b14,23455,None
3f9ccbe3eea85c4fff9f1cc6eb4d6176fa87982f,23463,None
ebb62e00a92089cbcc8a3977bafd7dff68e8fb1e,23454,None
8f844ce31e6b02102f82908196a243f22f2c745a,23420,23410
6ec33b445a51ea0ca947b7eabdcc59475a09d171,23421,23378
f54b5b055fb8a2b796c4419699a35fd99ddff409,23350,23336
3458465981850a4d09be2f5358f9f29fe1d28113,23433,None
27450d4dd56cbbc08d25d24b42ff65b7de864459,23434,None
dab50a76db2d495126f418363b593cdf01c9c60a,23391,None
5bc3d828528e0f43d1c80bda80b9fc8442d116fa,23441,None
f1cf8546643bf96fc226e9f327aee19721b759a1,23440,None
fe9ce573b81f313b9a2403c7affec125bebb65a2,23422,None
e2606903a208db8f2373c3dbf4bfeaf098639345,23409,None
240223ef37a9bb44688f93ebab203c2c8f3c3e95,23414,23386
b86ebce87981b4d00c2742ed47f9f99d504176e6,23414,23386
a076e3f4c19953728594bb8fe6e78d0d579ed13f,23412,21142
a076e3f4c19953728594bb8fe6e78d0d579ed13f,23412,16752
e45256e6166c548c7db6c54e3e8996b33996659a,23381,None
92f9a2fe8faa6cffdd9d1646060a8cf6dba8c50e,23388,23386
73d59a1ca8710f5c394be65131bfd58992aa0db4,23392,None
5068f8c8213c60c6bc34e8b5cc86e3147f305898,23227,19253
04cb89e3bf16ae07ba4bf496729dab79e4ea49d9,23324,None
99be41a8106501c51a031ac5a5e0d651951ea665,None,None
67ceede1866c425ec783b4a37ed061bebafa8644,23298,23390
44fb095e4b7358ccd94f17b3ab4f4c0378c3f2c9,23383,22410
4dc48f37bc4b4388873cbb07d09ec615bed5990d,23382,None
7473e65d1f2ca81a44b4c009aeb4ff0afa282489,23384,21541
8c8f3e68f15381daa9d001007b74d1a17e38727e,23376,None
a987c6aeaa46774aa8598f895bb3369c7730e813,23290,23250
624781d0d904204b330124db25c5937639a9d583,23361,None
1d12e9fc9f919f72a232a6257dff70414cf966df,23368,None
0b3165096d6b55443fc06ae48404c2b037dd73e7,23296,None
2fa06f40d8468fe6bac44620cbdf63b3bdd8c656,23323,23309
da1c05fda5c858b8e171ee6c1b2269135e683a53,23299,23266
94667b802c43b709a8a2fe2dcf7eb6864e6dbe93,23297,23265
d185ae41475c7c8cbf152e50d3bd9ddb3e9c17e2,23295,23282
d185ae41475c7c8cbf152e50d3bd9ddb3e9c17e2,23295,23104
d1051ea43e8acdaf2654f602f5f10a6c2a735abb,23367,None
a9fedb5388728b46b99d69cc5b48097af85b5e8d,23371,23370
a9fedb5388728b46b99d69cc5b48097af85b5e8d,23371,23370
e3abb5193c8ea5ddc9dce1ebca88c3d2a5d770a8,23292,23285
a07bee742e853657d5cd437cde58f0e27491550a,23277,23268
46cfc536915478f533b4ad16127abe87788b8e2c,23273,23211
46cfc536915478f533b4ad16127abe87788b8e2c,23273,23276
34239e75136cdb12f1a42dfda8d3150ec8a7621a,23305,None
700b866ac497dcdf5464122694b8a6a36e08e395,23305,None
2174147fed833fb11cc54d82b373f3c62bbe341a,23143,None
3f26eed7dfa4d944e5ecf4f8b485ca1d7b344faa,23353,None
79bc01fd8848e100ddcf6a36faf723636dfbd82f,23353,None
46f070b29ce1abb658c3c617fe5a1c00af677c84,23353,None
593d967ef28e55cd411236d5ebeb75bfb74bdc65,23320,None
8e0caf036ab66c41cbe14e7823d2d20f44f2aaa5,23320,None
3c53ddb3b9292058cde465e102b8091b6a16cf1b,23342,None
7f39c075e8c082a0296f4500919c66d8dc81eba0,23343,None
a67d4f2a203cd27bfdf9a3fc542ba8b4fc6e0025,23341,None
89816b7641e1c06f869d890c0c60b1cb498d3dd5,23322,None
d05f81d011fbe4f22cce0a904590b194e588fbe3,23328,None
