pull_no,found_id,is_issue,is_pull_request
23508,19723,True,False
23506,17017,True,False
23506,23505,False,True
23505,11552,True,False
23505,3924,True,False
23505,2166,True,False
23502,20961,True,False
23484,23405,True,False
23483,18179,True,False
23480,21003,True,False
23480,21003,True,False
23470,23027,True,False
23470,23027,True,False
23452,23312,True,False
23448,20404,True,False
23423,23381,False,True
23423,23376,False,True
23421,23378,True,False
23420,23410,True,False
23414,23386,True,False
23412,21142,True,False
23412,16752,True,False
23396,23395,True,False
23388,23386,True,False
23384,21541,True,False
23383,22410,True,False
23371,23370,True,False
23371,23370,True,False
23350,23336,True,False
23332,18658,True,False
23331,23123,True,False
23326,22165,True,False
23323,23309,True,False
23321,21836,True,False
23321,22978,True,False
23321,23205,True,False
23299,23266,True,False
23298,23390,True,False
23297,23265,True,False
23295,23282,True,False
23295,23104,True,False
23292,23285,True,False
23290,23250,True,False
23288,23108,True,False
23278,23274,True,False
23277,23268,True,False
23273,23211,True,False
23273,23276,True,False
23239,23121,True,False
23238,12591,True,False
23227,19253,True,False
23225,15835,True,False
23218,17759,True,False
23217,18569,True,False
23216,18284,True,False
23214,17244,True,False
23213,16919,True,False
23207,12878,True,False
23195,11802,True,False
23194,22230,True,False
23186,23180,True,False
23147,22031,True,False
23147,22031,True,False
23147,22031,True,False
23126,23133,False,True
23126,23133,False,True
23126,23133,False,True
23120,22231,True,False
23109,23108,True,False
23084,23045,True,False
23060,21190,False,True
23053,21190,False,True
23053,23016,True,False
23052,18873,False,True
23052,18831,True,False
23039,23037,True,False
23035,22916,True,False
23029,18341,True,False
23005,22611,True,False
22995,22982,False,True
22995,22665,True,False
22995,22665,True,False
22944,21393,True,False
22938,18314,True,False
22937,19113,True,False
22920,22915,True,False
22908,22883,True,False
22900,22751,True,False
22897,22692,True,False
22884,22882,True,False
22875,22873,True,False
22846,22809,True,False
22845,22844,True,False
22760,21146,True,False
22676,22582,True,False
22672,22608,True,False
22669,22647,True,False
22656,22625,False,True
22652,22521,True,False
22650,5866,True,False
22640,22632,True,False
22626,18748,True,False
22626,17508,True,False
22620,18748,True,False
22615,22613,True,False
22610,22569,True,False
22591,22295,True,False
22587,22576,True,False
22550,22564,True,False
22546,22304,True,False
22534,22530,True,False
22531,22503,True,False
22519,7201,True,False
22507,22494,True,False
22472,19511,True,False
22472,19514,False,True
22470,19650,True,False
22450,7201,True,False
22450,18573,True,False
22439,21835,True,False
22438,21684,True,False
22434,19511,True,False
22427,21167,True,False
22426,20296,True,False
22420,17672,True,False
22419,14192,True,False
22417,7201,True,False
22413,22406,True,False
22405,22340,True,False
22398,22201,True,False
22376,22358,True,False
22372,11939,True,False
22363,18339,True,False
22363,18339,True,False
22361,7829,True,False
22360,7201,True,False
22357,15215,True,False
22357,15215,True,False
22345,22293,True,False
22338,1,False,True
22334,16386,True,False
22333,22266,True,False
22333,7201,True,False
22319,22255,True,False
22318,22317,True,False
22312,7201,True,False
22305,22232,True,False
22300,14471,True,False
22300,14471,True,False
22299,13860,True,False
22299,13860,True,False
22298,22289,True,False
22297,22198,True,False
22296,22287,True,False
22284,16057,True,False
22284,16057,True,False
22282,13669,True,False
22282,13680,True,False
22282,13787,True,False
22282,14901,True,False
22282,14902,True,False
22282,15864,True,False
22282,16104,True,False
22261,22215,True,False
22259,13303,True,False
22257,22256,True,False
22254,12239,True,False
22246,5806,True,False
22245,10228,True,False
22244,22198,True,False
22242,22168,False,True
22233,20364,True,False
22229,22204,True,False
22227,22231,True,False
22227,22230,True,False
22225,21139,True,False
22221,22027,True,False
22220,22119,True,False
22218,22126,True,False
22216,17020,True,False
22211,22177,True,False
22208,22092,True,False
22207,21364,True,False
22202,20729,True,False
22173,22122,True,False
22171,22156,True,False
22169,16649,True,False
22155,21333,True,False
22148,17083,True,False
22143,14121,True,False
22143,14121,True,False
22143,14121,True,False
22143,17670,True,False
22143,14121,True,False
22143,17670,True,False
22134,3424,True,False
22124,5895,True,False
22124,18381,True,False
22120,9066,False,True
22120,3417,True,False
22120,24937,False,False
22111,22092,True,False
22110,22102,True,False
22109,22156,True,False
22108,16712,True,False
22107,22034,True,False
22100,22084,True,False
22098,22034,True,False
22075,22051,True,False
22074,18643,True,False
22072,21651,True,False
22070,22020,True,False
22066,22064,True,False
22059,21465,True,False
22052,21951,True,False
22050,21838,True,False
22048,21925,True,False
22041,21916,True,False
22039,21975,True,False
22038,22037,False,True
22032,20409,True,False
22026,21961,True,False
22024,16314,True,False
22023,19003,True,False
22023,10508,True,False
22011,21917,True,False
22010,11314,True,False
21996,22085,True,False
21996,22086,True,False
21996,22087,False,True
21988,7681,True,False
21966,12100,True,False
21958,20409,True,False
21945,14155,True,False
21945,14155,True,False
21944,14003,True,False
21944,14155,True,False
21944,14489,True,False
21944,17421,True,False
21939,21890,True,False
21938,21934,True,False
21936,21772,True,False
21935,17498,True,False
21933,15256,True,False
21933,9998,True,False
21929,20409,True,False
21926,12100,True,False
21923,19202,True,False
21902,10508,True,False
21902,19003,True,False
21902,21900,True,False
21902,21901,True,False
21897,21816,True,False
21889,20409,True,False
21881,21803,True,False
21880,21871,True,False
21876,20409,True,False
21875,20409,True,False
21866,20495,True,False
21863,16708,True,False
21862,15910,True,False
21857,15910,True,False
21849,18510,True,False
21848,20409,True,False
