pull_no,comment_no,comment_body
4,9314371,"b""I think we should leave Include out since we aren't planning to have it around to start with.\n"""
4,9314727,"b'Assuming MusicStore currently depends on it, I think we can leave it in until we figure out what to replace it with. \n'"
5,9470137,"b""Is this the root of the universe? I ask because you're injecting the  IServiceProvider instead of the individual dependencies.\n"""
5,9470346,b'tabs! No tabs!\n'
5,9470365,"b""You don't need version numbers for project references.\n"""
5,9471184,b'Is this unimplemented future magic or a ReSharper thing?\n'
5,9472126,"b'Yes, but it is WIP and so will likely change.\n'"
5,9472172,b'This is FxCop magic to denote an arg validation method.\n'
5,9472221,b'My bad - My VS keeps resetting my settings!\n'
5,9472269,"b""Not following, this is a package ref isn't it?\n"""
5,9472525,b'This is a project reference right?\n'
5,9472547,"b'My bad, commented on the wrong one. Look below \n'"
5,9472622,b'Will fix.\n'
3,9277814,b'Should be EntityType; entities are instances of entity types.\n'
3,9278054,b'Not sure this distinction actually matters here:\n- This type is in Metadata.\n- Would we have another type called Entity representing an instance?\n'
3,9278069,"b""I'm glad semantics like this are built in.\n"""
3,9278115,"b'Classy, reminds me of JavaScript\n'"
3,9278217,"b""What's with these R# things here? I don't think we have any intention of using these in our new code base.\n"""
3,9278519,b'I wish there was a way to denote API is only for testing\n'
3,9278571,b'Missing checks\n'
3,9278832,"b""FYI we'll end up having a common DotSetting file across all repos, but this is probably fine for now.\n"""
3,9278964,"b""Remove mentions of VB. And no need to mention C# because that's all we should show. I know this will end up for desktop scenarios as well, but we can keep the message clean.\n"""
3,9279049,"b""Hmm what's this T4 file about? Is this the only we to do resources?\n"""
3,9279230,"b""I want to get rid of these utility classes for two reasons:\n1. They shouldn't be public.\n2. The call stacks are incorrect. I know we discussed this back in EF6, but we need to switch to a consistent model for the new project.\n"""
3,9279282,b'Is this needed?\n'
3,9279311,"b""These extensions shouldn't be public.\n"""
3,9279352,"b'Per other comment, we are not planning to put these annotations in our code.\n'"
3,9279374,b'Does this need to be public?\n'
3,9279381,"b'Not sure we need these extension methods. They just make code more difficult to read because these extensions are not familiar. Just like we don\'t use ""var"" because it adds mystery to code.\n'"
