group,oldest_pull,pulls_total,commits_total
0,5,1,1
1,9,1,1
2,10,1,2
3,12,1,1
4,13843,1,565
5,11,1,1
6,14,1,1
7,15,1,1
8,18,1,1
9,19,1,1
10,20,1,1
11,22,1,1
12,29,1,1
13,30,1,1
14,31,1,2
15,33,1,3
16,34,1,1
17,39,1,1
18,32,1,1
19,41,1,1
20,46,1,1
21,48,1,1
22,51,1,3
23,50,1,1
24,52,1,1
25,55,1,1
26,54,1,1
27,56,1,1
28,59,1,1
29,58,1,1
30,60,1,1
31,61,1,1
32,62,1,1
33,66,1,1
34,63,1,1
35,64,1,1
36,68,1,1
37,70,1,1
38,71,1,1
39,67,1,1
40,72,1,1
41,74,1,1
42,75,1,1
43,79,1,1
44,78,1,1
45,81,1,1
46,84,1,1
47,83,1,1
48,85,1,1
49,87,1,1
50,86,1,1
51,91,1,1
52,80,1,1
53,94,1,1
54,93,1,1
55,96,1,1
56,97,1,1
57,98,1,1
58,99,1,1
59,110,1,1
60,115,1,1
61,112,1,1
62,116,1,1
63,117,1,1
64,118,1,1
65,120,1,1
66,122,1,1
67,124,1,1
68,121,1,1
69,127,1,1
70,129,1,1
71,133,1,1
72,139,1,1
73,140,1,1
74,143,1,1
75,144,1,1
76,146,1,1
77,145,1,2
78,147,1,1
79,148,1,1
80,149,1,1
81,151,1,1
82,154,1,1
83,155,1,1
84,160,1,1
85,162,1,1
86,163,1,1
87,164,1,1
88,158,1,1
89,167,1,1
90,169,1,1
91,175,1,1
92,174,1,1
93,185,1,2
94,191,1,2
95,184,1,1
96,252,1,1
97,257,1,1
98,263,1,1
99,260,1,1
100,264,1,2
101,253,1,1
102,265,1,1
103,274,1,1
104,276,1,1
105,183,1,1
106,282,1,1
107,284,1,1
108,287,1,1
109,288,1,1
110,286,1,1
111,294,1,1
112,291,1,1
113,298,1,1
114,303,1,1
115,306,1,1
116,309,1,1
117,308,1,1
118,310,1,1
119,317,1,1
120,321,1,1
121,332,1,1
122,311,1,1
123,335,1,1
124,337,1,1
125,349,1,1
126,348,1,1
127,353,1,1
128,362,1,1
129,363,1,1
130,361,1,1
131,372,1,1
132,377,1,1
133,364,1,1
134,379,1,1
135,383,1,1
136,381,1,1
137,373,1,1
138,389,1,1
139,391,1,1
140,395,1,1
141,396,1,1
142,398,1,1
143,401,1,1
144,405,1,1
145,404,1,1
146,407,1,1
147,408,1,1
148,406,1,1
149,402,1,1
150,409,1,1
151,410,1,1
152,414,1,1
153,415,1,1
154,416,1,1
155,429,1,1
156,426,1,1
157,419,1,2
158,430,1,1
159,428,1,1
160,431,1,1
161,433,1,1
162,434,1,1
163,435,1,1
164,432,1,1
165,436,1,1
166,440,1,1
167,442,1,1
168,452,1,1
169,438,1,2
170,456,1,1
171,461,1,1
172,477,1,1
173,471,1,1
174,480,1,1
175,483,1,1
176,493,1,1
177,497,1,1
178,488,1,1
179,499,1,1
180,495,1,1
181,504,1,1
182,506,1,1
183,508,1,1
184,501,1,1
185,491,1,1
186,514,1,1
187,513,1,1
188,517,1,1
189,516,1,1
190,527,1,1
191,512,1,1
192,524,1,1
193,532,1,1
194,535,1,1
195,534,1,1
196,540,1,1
197,538,1,1
198,546,1,1
199,550,1,1
200,548,1,1
201,549,1,1
202,554,1,1
203,547,1,1
204,558,1,1
205,552,1,1
206,561,1,1
207,566,1,1
208,563,1,1
209,580,1,1
210,573,1,1
211,585,1,1
212,590,1,1
213,589,1,1
214,595,1,1
215,606,1,1
216,607,1,1
217,612,1,1
218,600,1,1
219,634,1,1
220,637,1,1
221,644,1,1
222,647,1,1
223,597,1,4
224,656,1,1
225,658,1,1
226,660,1,1
227,669,1,1
228,668,1,1
229,672,1,1
230,664,1,1
231,683,1,1
232,685,1,1
233,674,1,1
234,690,1,1
235,692,1,1
236,693,1,1
237,696,1,1
238,707,1,1
239,698,1,1
240,709,1,1
241,714,1,1
242,689,1,1
243,724,1,1
244,759,1,1
245,773,1,1
246,727,1,1
247,721,1,1
248,787,1,1
249,794,1,1
250,718,1,1
251,801,1,1
252,791,1,2
253,806,1,1
254,790,1,1
255,786,1,1
256,805,1,1
257,798,1,1
258,816,1,1
259,820,1,1
260,838,1,1
261,817,1,1
262,844,1,1
263,840,1,1
264,856,1,1
265,859,1,2
266,861,1,1
267,860,1,1
268,869,1,2
269,876,1,1
270,874,1,1
271,886,1,1
272,877,1,1
273,895,1,1
274,883,1,1
275,888,1,1
276,899,1,1
277,898,1,1
278,903,1,1
279,902,1,1
280,904,1,1
281,905,1,1
282,909,1,1
283,907,1,1
284,910,1,1
285,913,1,1
286,914,1,1
287,916,1,1
288,917,1,1
289,919,1,1
290,922,1,1
291,923,1,1
292,929,1,1
293,928,1,1
294,918,1,1
295,934,1,1
296,950,1,1
297,937,1,1
298,951,1,1
299,952,1,1
300,955,1,1
301,959,1,1
302,939,1,1
303,958,1,1
304,966,1,2
305,964,1,1
306,971,1,1
307,972,1,1
308,973,1,2
309,976,1,1
310,982,1,1
311,989,1,1
312,1000,1,1
313,1001,1,1
314,1005,1,2
315,1016,1,1
316,1020,1,1
317,1023,1,1
318,1024,1,1
319,1032,1,2
320,1039,1,1
321,1042,1,1
322,1043,1,1
323,1041,1,1
324,1046,1,1
325,1052,1,1
326,1054,1,1
327,1055,1,1
328,1056,1,1
329,1064,1,1
330,1060,1,1
331,1082,1,1
332,1092,1,1
333,1091,1,1
334,1088,1,1
335,1094,1,1
336,1099,1,1
337,1098,1,1
338,1106,1,2
339,1104,1,1
340,1105,1,1
341,1119,1,1
342,1101,1,3
343,1133,1,1
344,1174,1,1
345,1176,1,1
346,1146,1,1
347,1150,1,1
348,1154,1,1
349,1153,1,1
350,1185,1,1
351,1194,1,1
352,1193,1,1
353,1182,1,1
354,1214,1,1
355,1217,1,2
356,1216,1,1
357,1237,1,1
358,1235,1,1
359,1239,1,1
360,1245,1,1
361,1250,1,1
362,1254,1,1
363,1218,1,1
364,1249,1,1
365,1265,1,1
366,1267,1,1
367,1276,1,1
368,1277,1,1
369,1289,1,1
370,1274,1,1
371,1290,1,1
372,1270,1,1
373,1291,1,1
374,1304,1,1
375,1316,1,1
376,1315,1,1
377,1319,1,1
378,1318,1,1
379,1322,1,1
380,1325,1,1
381,1338,1,1
382,1339,1,1
383,1343,1,1
384,1342,1,1
385,1357,1,1
386,1317,1,1
387,1358,1,1
388,1356,1,1
389,1365,1,1
390,1369,1,1
391,1366,1,1
392,1380,1,1
393,1349,1,1
394,1377,1,2
395,1389,1,1
396,1397,1,1
397,1361,1,1
398,1410,1,1
399,1421,1,1
400,1411,1,1
401,1437,1,1
402,1422,1,1
403,1435,1,1
404,1425,1,1
405,1445,1,1
406,1409,1,1
407,1446,1,1
408,1456,1,2
409,1416,1,1
410,1464,1,2
411,1482,1,1
412,1483,1,1
413,1502,1,4
414,1497,1,1
415,1501,1,1
416,1498,1,1
417,1496,1,1
418,1503,1,1
419,1477,1,1
420,1491,1,1
421,1506,1,1
422,1508,1,1
423,1518,1,1
424,1519,1,1
425,1521,1,1
426,1524,1,1
427,1523,1,1
428,1544,1,1
429,1546,1,1
430,1549,1,1
431,1557,1,1
432,1569,1,2
433,1572,1,1
434,1553,1,1
435,1564,1,1
436,1575,1,1
437,1577,1,1
438,1578,1,1
439,1562,1,1
440,1589,1,1
441,1582,1,1
442,1587,1,1
443,1598,1,1
444,1599,1,1
445,1602,1,1
446,1600,1,1
447,1608,1,3
448,1609,1,2
449,1614,1,1
450,1616,1,1
451,1596,1,1
452,1623,1,1
453,1622,1,1
454,1626,1,1
455,1630,1,1
456,1605,1,1
457,1624,1,1
458,1633,1,1
459,1621,1,1
460,1635,1,1
461,1636,1,1
462,1648,1,1
463,1604,1,1
464,1662,1,1
465,1661,1,1
466,1681,1,1
467,1656,1,1
468,1688,1,1
469,1647,1,1
470,1695,1,1
471,1687,1,1
472,1702,1,1
473,1680,1,1
474,1610,1,1
475,1715,1,1
476,1716,1,1
477,1717,1,1
478,1719,1,1
479,1718,1,1
480,1725,1,1
481,1686,1,1
482,1727,1,1
483,1733,1,1
484,1736,1,1
485,1735,1,1
486,1737,1,1
487,1739,1,1
488,1743,1,1
489,1746,1,1
490,1756,1,2
491,1753,1,1
492,1754,1,1
493,1764,1,1
494,1766,1,1
495,1765,1,1
496,1782,1,4
497,1784,1,1
498,1786,1,1
499,1787,1,1
500,1788,1,1
501,1792,1,2
502,1794,1,1
503,1779,1,1
504,1791,1,1
505,1801,1,1
506,1804,1,1
507,1805,1,1
508,1814,1,1
509,1812,1,1
510,1816,1,1
511,1741,1,1
512,1750,1,1
513,1757,1,1
514,1820,1,1
515,1822,1,1
516,1835,1,1
517,1839,1,1
518,1837,1,2
519,1846,1,1
520,1834,1,1
521,1849,1,1
522,1850,1,1
523,1853,1,1
524,1845,1,1
525,1860,1,1
526,1548,1,1
527,1840,1,1
528,1870,1,1
529,1865,1,1
530,1873,1,1
531,1869,1,1
532,1867,1,1
533,1871,1,1
534,1875,1,1
535,1872,1,1
536,1876,1,1
537,1885,1,1
538,1880,1,1
539,1809,1,1
540,1886,1,1
541,1888,1,1
542,1898,1,1
543,1899,1,1
544,1892,1,1
545,1897,1,1
546,1891,1,1
547,1900,1,1
548,1902,1,1
549,1908,1,1
550,1896,1,2
551,1887,1,1
552,1925,1,1
553,1930,1,1
554,1893,1,1
555,1914,1,1
556,1974,1,1
557,1983,1,1
558,1955,1,1
559,1964,1,2
560,1941,1,1
561,1943,1,1
562,1992,1,1
563,1993,1,1
564,2000,1,1
565,2001,1,1
566,2005,1,1
567,2010,1,1
568,1995,1,1
569,1996,1,1
570,2002,1,1
571,2019,1,1
572,2022,1,1
573,1942,1,1
574,2028,1,1
575,2003,1,1
576,2029,1,1
577,2036,1,1
578,2039,1,1
579,2038,1,1
580,2041,1,1
581,2006,1,2
582,2050,1,1
583,2055,1,1
584,2075,1,1
585,2085,1,1
586,2086,1,1
587,2089,1,1
588,2068,1,1
589,2083,1,1
590,2102,1,1
591,2092,1,1
592,2081,1,1
593,2077,1,1
594,2108,1,1
595,2107,1,1
596,2109,1,1
597,2103,1,1
598,2119,1,1
599,2111,1,1
600,2127,1,1
601,2126,1,1
602,2133,1,1
603,2137,1,1
604,2097,1,3
605,2138,1,1
606,2157,1,1
607,2149,1,1
608,2142,1,1
609,2150,1,2
610,2053,1,1
611,2173,1,1
612,2163,1,1
613,2177,1,2
614,2202,1,1
615,2200,1,1
616,2206,1,1
617,2207,1,1
618,2208,1,1
619,2222,1,1
620,2186,1,1
621,2230,1,1
622,2224,1,1
623,2231,1,1
624,2223,1,1
625,2251,1,1
626,2255,1,1
627,2250,1,2
628,2265,1,1
629,2260,1,1
630,2273,1,1
631,2239,1,1
632,2297,1,1
633,2286,1,1
634,2300,1,1
635,2298,1,1
636,2302,1,1
637,2311,1,1
638,2314,1,1
639,2308,1,1
640,2313,1,1
641,2322,1,1
642,2324,1,1
643,2328,1,2
644,2323,1,1
645,2326,1,6
646,2288,1,3
647,2277,1,1
648,2346,1,1
649,2349,1,1
650,2355,1,1
651,2242,1,1
652,2360,1,1
653,2362,1,1
654,2366,1,1
655,2384,1,1
656,2383,1,1
657,2354,1,1
658,2367,1,1
659,2376,1,1
660,2386,1,1
661,2382,1,1
662,2390,1,1
663,2371,1,1
664,2395,1,1
665,2073,1,1
666,2338,1,1
667,2392,1,1
668,2325,1,1
669,2393,1,1
670,2399,1,1
671,2417,1,1
672,2419,1,1
673,2411,1,1
674,2430,1,1
675,2440,1,1
676,2447,1,1
677,2433,1,1
678,2454,1,1
679,2422,1,1
680,2431,1,1
681,2370,1,1
682,2472,1,1
683,2473,1,1
684,2453,1,1
685,2478,1,1
686,2480,1,1
687,2474,1,1
688,2482,1,1
689,2448,1,1
690,2481,1,1
691,2487,1,1
692,2429,1,1
693,2463,1,1
694,2470,1,1
695,2503,1,1
696,2396,1,1
697,2510,1,1
698,2518,1,1
699,2500,1,1
700,2523,1,1
701,2527,1,3
702,2528,1,1
703,2525,1,1
704,2515,1,1
705,2548,1,1
706,2543,1,1
707,2552,1,1
708,2565,1,1
709,2572,1,1
710,2569,1,2
711,2576,1,1
712,2560,1,1
713,2577,1,1
714,2573,1,1
715,2578,1,1
716,2582,1,2
717,2585,1,1
718,2549,1,1
719,2602,1,1
720,2604,1,1
721,2613,1,1
722,2520,1,1
723,2620,1,1
724,2587,1,1
725,2632,1,1
726,2621,1,1
727,2645,1,1
728,2634,1,1
729,2644,1,1
730,2625,1,1
731,2641,1,1
732,2630,1,1
733,2643,1,1
734,2631,1,1
735,2648,1,1
736,2653,1,1
737,2656,1,1
738,2655,1,2
739,2658,1,1
740,2668,1,2
741,2670,1,1
742,2676,1,1
743,2673,1,1
744,2677,1,1
745,2681,1,1
746,2696,1,1
747,2685,1,2
748,2697,1,1
749,2698,1,1
750,2701,1,1
751,2683,1,1
752,2722,1,1
753,2723,1,1
754,2710,1,1
755,2733,1,1
756,2734,1,1
757,2729,1,1
758,2745,1,1
759,2753,1,3
760,2757,1,2
761,2699,1,1
762,2761,1,2
763,2768,1,3
764,2771,1,1
765,2762,1,1
766,2774,1,1
767,2756,1,1
768,2790,1,1
769,2792,1,1
770,2773,1,1
771,2781,1,1
772,2744,1,1
773,2814,1,1
774,2819,1,2
775,2799,1,1
776,2794,1,1
777,2821,1,1
778,2808,1,1
779,2827,1,1
780,2828,1,1
781,2797,1,1
782,2823,1,1
783,2834,1,1
784,2833,1,1
785,2800,1,1
786,2830,1,1
787,2798,1,1
788,2838,1,1
789,2845,1,1
790,2848,1,1
791,2839,1,2
792,2854,1,1
793,2831,1,1
794,2859,1,1
795,2862,1,1
796,2863,1,1
797,2860,1,1
798,2880,1,1
799,2868,1,1
800,2878,1,1
801,2884,1,1
802,2758,1,1
803,2910,1,1
804,2911,1,1
805,2903,1,1
806,2885,1,1
807,2913,1,1
808,2901,1,1
809,2902,1,1
810,2856,1,1
811,2923,1,1
812,2922,1,1
813,2921,1,1
814,2836,1,1
815,2945,1,1
816,2948,1,1
817,2949,1,1
818,2954,1,1
819,2904,1,1
820,2958,1,1
821,2973,1,1
822,2976,1,1
823,2975,1,1
824,2965,1,1
825,2959,1,1
826,2793,1,1
827,2917,1,1
828,2988,1,1
829,2999,1,1
830,2986,1,1
831,2993,1,1
832,2979,1,1
833,3020,1,1
834,3027,1,1
835,2931,1,1
836,3008,1,1
837,3018,1,1
838,3022,1,1
839,3028,1,2
840,3021,1,1
841,3031,1,1
842,3059,1,2
843,3073,1,1
844,3075,1,1
845,3079,1,1
846,3085,1,1
847,3082,1,1
848,3083,1,1
849,3095,1,1
850,3096,1,1
851,3024,1,1
852,3100,1,1
853,3114,1,1
854,3127,1,1
855,3011,1,1
856,3133,1,1
857,3136,1,1
858,3102,1,1
859,3126,1,1
860,3130,1,1
861,3138,1,1
862,3108,1,1
863,3140,1,1
864,3139,1,1
865,3143,1,1
866,3150,1,1
867,3151,1,2
868,3153,1,1
869,3155,1,1
870,3162,1,2
871,3086,1,1
872,3171,1,1
873,3157,1,1
874,3175,1,1
875,3182,1,1
876,3194,1,1
877,3137,1,1
878,3188,1,1
879,3191,1,1
880,3196,1,1
881,3197,1,1
882,3216,1,1
883,3166,1,1
884,3211,1,1
885,3210,1,1
886,3224,1,1
887,3233,1,1
888,3231,1,1
889,3236,1,1
890,3234,1,2
891,3237,1,1
892,3245,1,1
893,3246,1,1
894,3238,1,1
895,3251,1,1
896,3252,1,1
897,3256,1,1
898,3254,1,1
899,3257,1,1
900,3266,1,1
901,3268,1,1
902,3276,1,1
903,3264,1,1
904,3262,1,1
905,3285,1,1
906,3290,1,1
907,3279,1,1
908,3284,1,1
909,3307,1,1
910,3304,1,1
911,3323,1,1
912,3327,1,1
913,3305,1,3
914,3334,1,1
915,3338,1,1
916,3344,1,1
917,3332,1,1
918,3347,1,1
919,3331,1,1
920,3355,1,1
921,3357,1,1
922,3333,1,1
923,3364,1,1
924,3358,1,2
925,3349,1,2
926,3339,1,1
927,3369,1,1
928,3337,1,1
929,3392,1,1
930,3348,1,1
931,3385,1,1
932,3395,1,1
933,3399,1,1
934,3414,1,1
935,3410,1,1
936,3367,1,1
937,3413,1,2
938,3412,1,1
939,3398,1,3
940,3430,1,1
941,3354,1,1
942,3423,1,1
943,3439,1,1
944,3431,1,1
945,3387,1,1
946,3461,1,1
947,3472,1,1
948,3473,1,1
949,3458,1,1
950,3451,1,1
951,3463,1,1
952,3475,1,1
953,3479,1,3
954,3449,1,1
955,3481,1,1
956,3488,1,1
957,3492,1,1
958,3482,1,1
959,3498,1,1
960,3497,1,1
961,3489,1,2
962,3487,1,1
963,3508,1,1
964,3442,1,1
965,3500,1,1
966,3512,1,1
967,3441,1,1
968,3505,1,1
969,3518,1,1
970,3513,1,1
971,3521,1,1
972,3523,1,1
973,3522,1,1
974,3514,1,1
975,3520,1,1
976,3535,1,1
977,3509,1,1
978,3539,1,1
979,3516,1,1
980,3541,1,1
981,3536,1,1
982,3549,1,1
983,3559,1,1
984,3547,1,2
985,3531,1,1
986,3556,1,1
987,3530,1,1
988,3562,1,1
989,3564,1,1
990,3566,1,1
991,3580,1,1
992,3581,1,1
993,3591,1,1
994,3612,1,1
995,3592,1,1
996,3606,1,1
997,3572,1,1
998,3577,1,1
999,3614,1,1
1000,3596,1,1
1001,3607,1,1
1002,3632,1,1
1003,3601,1,1
1004,3630,1,1
1005,3634,1,1
1006,3643,1,1
1007,3644,1,1
1008,3647,1,1
1009,3649,1,1
1010,3641,1,1
1011,3645,1,2
1012,3653,1,1
1013,3494,1,1
1014,3662,1,1
1015,3667,1,2
1016,3684,1,1
1017,3686,1,1
1018,3695,1,1
1019,3669,1,1
1020,3701,1,1
1021,3702,1,1
1022,3697,1,1
1023,3690,1,1
1024,3688,1,1
1025,3657,1,1
1026,3706,1,1
1027,3683,1,1
1028,3723,1,1
1029,3699,1,1
1030,3687,1,1
1031,3728,1,1
1032,3729,1,1
1033,3735,1,1
1034,3737,1,1
1035,3750,1,1
1036,3756,1,1
1037,3734,1,1
1038,3763,1,1
1039,3770,1,1
1040,3774,1,1
1041,3764,1,1
1042,3777,1,1
1043,3785,1,1
1044,3755,1,1
1045,3784,1,1
1046,3778,1,1
1047,3775,1,1
1048,3800,1,1
