pull_id,pull_no,total_commits
528325753,23508,1
528293201,23506,1
528285566,23505,1
528250252,23502,1
527809325,23487,1
527769289,23485,1
527723365,23484,1
527714267,23483,1
527708683,23482,1
527706525,23481,2
527703669,23480,1
527633568,23477,2
527141225,23470,4
526982152,23469,4
526981256,23468,4
526910144,23466,1
526687595,23463,1
526129566,23455,2
526068808,23454,4
526017188,23452,1
525941567,23448,1
525856520,23446,1
525723260,23441,1
525722953,23440,1
525597592,23437,4
525458851,23434,1
525458746,23433,1
525126095,23424,3
525104463,23423,18
525098534,23422,3
524988460,23421,1
524981388,23420,1
524692673,23414,2
524319544,23412,1
524253015,23409,1
523859385,23396,6
523680511,23392,1
523627122,23391,1
523593328,23389,1
523585492,23388,1
523517679,23384,1
523505226,23383,1
523397385,23382,1
523318694,23381,11
523044004,23376,1
522764216,23371,1
522663512,23368,12
522663381,23367,1
522472745,23361,1
522067738,23353,7
521974174,23350,1
521691514,23346,1
521654630,23343,1
521654442,23342,1
521364690,23341,1
521176010,23332,1
521171079,23331,1
521038018,23328,1
520943724,23326,1
520895639,23324,1
520873687,23323,1
520863168,23322,5
520857425,23321,1
520812349,23320,2
520801659,23317,1
520681031,23314,9
520494383,23305,2
520242054,23299,1
520222972,23298,1
520200431,23297,1
520196319,23296,1
520180784,23295,1
520141683,23292,1
520086415,23290,1
520038403,23288,2
519546186,23278,2
519465998,23277,1
519441387,23273,1
518902232,23264,11
518859704,23263,1
518838856,23262,1
518719339,23257,1
518700420,23256,5
518680925,23254,1
518677570,23253,1
518660393,23252,3
518150550,23246,1
517754324,23242,1
517754089,23241,1
517548315,23239,1
517502914,23238,1
517155626,23232,3
517030716,23227,1
516959795,23225,1
516598618,23218,1
516586613,23217,1
516578005,23216,1
516568809,23215,1
516556903,23214,1
516450588,23213,1
516446113,23212,1
516441105,23210,1
516408072,23207,1
516301336,23204,1
515754958,23195,1
515738258,23194,1
515707150,23193,1
515648010,23192,1
515087338,23186,2
515026150,23185,1
515005395,23182,1
514442263,23178,2
514408040,23177,19
514328509,23176,1
514050072,23171,1
514049795,23170,1
513345196,23160,1
513334374,23159,1
512966342,23147,1
512868067,23145,6
512600849,23143,1
512526471,23141,1
512513370,23140,1
512322483,23134,1
512279445,23133,2
511988810,23129,1
511937562,23127,1
511906731,23126,1
511679107,23120,1
511665558,23119,1
511328381,23112,2
511165763,23109,1
509985560,23097,1
509985337,23096,1
509538338,23094,4
509446359,23091,2
509325570,23088,5
509237275,23084,1
509166436,23083,1
508653790,23080,1
507830174,23074,1
506876535,23061,1
506857249,23060,2
506363920,23055,1
506306273,23053,1
506276435,23052,1
506244215,23051,1
505920007,23047,1
505919646,23046,1
505476687,23039,1
505427981,23036,1
505380060,23035,1
505355804,23034,1
505328963,23033,1
505234013,23029,1
505224821,23028,1
504964758,23020,1
504695653,23014,1
504384507,23009,1
504351032,23008,3
504320200,23007,1
504315834,23006,1
504267703,23005,1
503880822,23003,4
503698434,23001,1
503652614,23000,1
503488204,22998,1
503377798,22995,1
503085137,22994,1
503078141,22993,1
502969295,22990,1
502968743,22989,8
502888157,22988,1
502781580,22987,28
502739562,22986,1
502632976,22985,3
502623408,22984,1
502536893,22983,1
502306966,22982,1
501888003,22979,1
501736074,22977,2
501704091,22976,2
501672780,22975,10
501623985,22974,1
501535758,22973,1
501535518,22972,1
501306157,22966,1
501306127,22965,1
501282719,22964,5
501172910,22958,1
501026954,22944,1
500818751,22940,1
500670491,22938,1
500545021,22937,1
500438479,22935,1
500271123,22934,1
500199897,22933,1
500195520,22932,1
500176649,22931,1
500149685,22930,1
499992966,22929,1
499874767,22925,3
499763740,22923,4
499687520,22920,1
499568807,22918,3
498900264,22910,2
498782012,22908,1
498749491,22907,1
498358567,22900,1
498295671,22897,1
498074599,22891,4
497808472,22889,1
497808210,22888,1
497488323,22884,1
497188323,22875,1
497178323,22874,1
497100889,22872,1
497042001,22870,2
496795665,22869,1
496641015,22866,12
496634992,22865,2
496606942,22864,2
496606203,22863,5
496570121,22862,1
496524382,22861,2
495895171,22857,1
495799462,22855,1
495589128,22854,1
495198096,22851,1
495136992,22849,7
495113216,22848,1
495083116,22847,4
495048081,22846,1
495019339,22845,1
494345235,22839,8
494094414,22808,1
493878212,22800,1
493666533,22793,1
493593350,22791,1
493459461,22788,1
493438512,22787,3
493413569,22786,1
493413133,22785,1
493403804,22783,2
493380956,22765,2
493378972,22764,137
493339134,22763,1
493274499,22760,1
492820039,22750,1
492742513,22738,1
492625611,22699,1
492134117,22693,1
492079923,22690,2
492060416,22689,1
491905824,22686,1
491468226,22677,1
491342792,22676,1
491323641,22675,1
491232981,22674,1
491172416,22672,1
491123433,22670,1
