issue_no,actor,event,event_id,created_at
45692,333fred,labeled,3821648687,2020-09-29 20:57:24
45692,333fred,referenced,3821642647,2020-09-29 20:55:41
47175,jcouv,added_to_project,3821006980,2020-09-29 18:07:37
26902,cston,assigned,3820973832,2020-09-29 17:58:56
47487,333fred,labeled,3820730523,2020-09-29 17:01:12
48163,Youssef1313,subscribed,3820460652,2020-09-29 16:07:59
48163,Youssef1313,mentioned,3820460649,2020-09-29 16:07:59
48143,TessenR,closed,3820365886,2020-09-29 15:48:38
48162,sharwell,labeled,3820337743,2020-09-29 15:43:06
48162,sharwell,labeled,3820337741,2020-09-29 15:43:06
48162,sharwell,labeled,3820337740,2020-09-29 15:43:06
48160,mavasani,labeled,3819873547,2020-09-29 14:18:38
48160,mavasani,labeled,3819873542,2020-09-29 14:18:38
48160,mavasani,transferred,3819872539,2020-09-29 14:18:28
48051,sharwell,subscribed,3819213315,2020-09-29 12:12:06
48051,sharwell,mentioned,3819213313,2020-09-29 12:12:06
48100,sparkie108,subscribed,3819149010,2020-09-29 11:58:06
48100,sparkie108,mentioned,3819149007,2020-09-29 11:58:06
48100,jcouv,subscribed,3819014199,2020-09-29 11:27:30
48100,jcouv,mentioned,3819014198,2020-09-29 11:27:30
48100,sparkie108,subscribed,3819014189,2020-09-29 11:27:30
48100,sparkie108,mentioned,3819014186,2020-09-29 11:27:30
45226,CyrusNajmabadi,closed,3817821043,2020-09-29 07:02:54
47999,CyrusNajmabadi,moved_columns_in_project,3817819230,2020-09-29 07:02:26
47999,CyrusNajmabadi,closed,3817819172,2020-09-29 07:02:25
48154,jcouv,added_to_project,3817575034,2020-09-29 05:51:17
22872,jcouv,moved_columns_in_project,3817564596,2020-09-29 05:47:19
36550,jcouv,moved_columns_in_project,3817562120,2020-09-29 05:46:17
48154,cston,labeled,3817382770,2020-09-29 04:22:44
48154,cston,labeled,3817382768,2020-09-29 04:22:44
48154,cston,assigned,3817382108,2020-09-29 04:22:21
44770,dibarbet,milestoned,3817292942,2020-09-29 03:32:32
44770,dibarbet,demilestoned,3817292940,2020-09-29 03:32:32
46580,dibarbet,milestoned,3817282923,2020-09-29 03:26:57
46580,dibarbet,demilestoned,3817282921,2020-09-29 03:26:57
45966,CyrusNajmabadi,subscribed,3817281143,2020-09-29 03:26:01
45966,CyrusNajmabadi,mentioned,3817281142,2020-09-29 03:26:01
45966,CyrusNajmabadi,assigned,3817280640,2020-09-29 03:25:42
45966,allisonchou,unassigned,3817280497,2020-09-29 03:25:37
45966,dibarbet,unassigned,3817280491,2020-09-29 03:25:36
48151,davidwengier,assigned,3817079704,2020-09-29 01:39:51
48151,davidwengier,labeled,3817079701,2020-09-29 01:39:51
48150,davidwengier,assigned,3817074929,2020-09-29 01:37:16
48150,davidwengier,labeled,3817074915,2020-09-29 01:37:16
48147,mavasani,assigned,3817064529,2020-09-29 01:31:46
