issue_id,issue_no,title,body
750996581,5511,"b'Unable to split the file provided into multiple, consistent columns. (.tsv)'","b'### System information\r\n\r\n- **OS version/distro**: Windows 10\r\n- **.NET Version (eg., dotnet --info)**: 3.1.402\r\n\r\n### Issue\r\n\r\n- **What did you do?** I was trying to use ML.NET to create a support desk application.\r\n- **What happened?** Once I pressed ""start training"" this error came:\r\n`   Unable to split the file provided into multiple, consistent columns.\r\nat Microsoft.ML.AutoML.ColumnInferenceApi.InferSplit(MLContext context, TextFileSample sample, Nullable`1 separatorChar, Nullable`1 allowQuotedStrings, Nullable`1 supportSparse)\r\n   at Microsoft.ML.AutoML.ColumnInferenceApi.InferColumns(MLContext context, String path, ColumnInformation columnInfo, Nullable`1 separatorChar, Nullable`1 allowQuotedStrings, Nullable`1 supportSparse, Boolean trimWhitespace, Boolean groupColumns, Boolean hasHeader)\r\n   at Microsoft.ML.ModelBuilder.AutoMLEngine.InferColumns(MLContext context, AutoMLServiceParamater config, ColumnInformation columnInformation)\r\n   at Microsoft.ML.ModelBuilder.AutoMLEngine.<StartTrainingAsync>d__30.MoveNext() in /_/src/Microsoft.ML.ModelBuilder.AutoMLService/AutoMLEngineService/AutoMLEngine.cs:line 112`\r\n- **What did you expect?**\r\n\r\n### Source code / logs\r\nLogs:\r\nat Microsoft.ML.AutoML.ColumnInferenceApi.InferSplit(MLContext context, TextFileSample sample, Nullable`1 separatorChar, Nullable`1 allowQuotedStrings, Nullable`1 supportSparse)\r\n   at Microsoft.ML.AutoML.ColumnInferenceApi.InferColumns(MLContext context, String path, ColumnInformation columnInfo, Nullable`1 separatorChar, Nullable`1 allowQuotedStrings, Nullable`1 supportSparse, Boolean trimWhitespace, Boolean groupColumns, Boolean hasHeader)\r\n   at Microsoft.ML.ModelBuilder.AutoMLEngine.InferColumns(MLContext context, AutoMLServiceParamater config, ColumnInformation columnInformation)\r\n   at Microsoft.ML.ModelBuilder.AutoMLEngine.<StartTrainingAsync>d__30.MoveNext() in /_/src/Microsoft.ML.ModelBuilder.AutoMLService/AutoMLEngineService/AutoMLEngine.cs:line 112\r\nTSV file:\r\nID\tQuestion Category\r\n1\tMy printer isn\'t working.\tPrinter\r\n1\tPrinter\tPrinter\r\n2\tI can\'t turn on my computer.\tComputer\r\n3\tI would like to book a chromebook.\tChromebooks\r\n1\tMy printer won\'t print.\tPrinter\r\n1\tMy printer isn\'t working.\tPrinter\r\n1\tI can\'t print\tPrinter\r\n2\tMy computer isn\'t working\tComputer\r\n2\tMy computer isn\'t turning on\tComputer\r\n2\tComputer\tComputer\r\n2\tMy computer is malfunctioning.\tComputer\r\n3\tChromebooks\tChromebooks\r\n3\tI would like a chromebook.\tChromebooks\r\n3\tHow can I book a chromebook?\tChromebooks\r\n3\tMy chromebook isn\'t charging.\r\n\r\n(before you ask, the tabs are formatted correctly in VS)\r\n\r\nPlease paste or attach the code or logs or traces that would be helpful to diagnose the issue you are reporting.'"
749499104,5508,b'Failed to deploy ML image classification model with aspnetcore webapi:',"b'### System information\r\n\r\n- **OS version/distro**: WINDOWS SERVER 2019 \r\n- **.NET Version (eg., dotnet --info)**:  dotnetcore 3.1\r\n\r\n### Issue\r\n\r\n- **What did you do?**\r\nI have trained image classification using ML.Net and integrated model to aspnetcore webapi.\r\n- **What happened?**\r\nWebApi worked fine on my local development machine. But it failed to work when i deploy webapi to the server IIS.\r\nwindows showed error:\r\n**Windows cannot access the file  for one of the following reasons: there is a problem with the network connection, the disk that the file is stored on, or the storage drivers installed on this computer; or the disk is missing. Windows closed the program IIS Worker Process because of this error.\r\n\r\nProgram: IIS Worker Process\r\nFile: \r\n\r\nThe error value is listed in the Additional Data section.\r\nUser Action\r\n1. Open the file again. This situation might be a temporary problem that corrects itself when the program runs again.\r\n2. If the file still cannot be accessed and\r\n\t- It is on the network, your network administrator should verify that there is not a problem with the network and that the server can be contacted.\r\n\t- It is on a removable disk, for example, a floppy disk or CD-ROM, verify that the disk is fully inserted into the computer.\r\n3. Check and repair the file system by running CHKDSK. To run CHKDSK, click Start, click Run, type CMD, and then click OK. At the command prompt, type CHKDSK /F, and then press ENTER.\r\n4. If the problem persists, restore the file from a backup copy.\r\n5. Determine whether other files on the same disk can be opened. If not, the disk might be damaged. If it is a hard disk, contact your administrator or computer hardware vendor for further assistance.\r\n\r\nAdditional Data\r\nError value: 00000000\r\nDisk type: 0**\r\n**Faulting application name: w3wp.exe, version: 10.0.17763.1, time stamp: 0xcfdb13d8\r\nFaulting module name: tensorflow.DLL, version: 0.0.0.0, time stamp: 0x5f77815a\r\nException code: 0xc000001d\r\nFault offset: 0x00000000003aec32\r\nFaulting process id: 0x3410\r\nFaulting application start time: 0x01d6c230bdc0bf5c\r\nFaulting application path: c:\\windows\\system32\\inetsrv\\w3wp.exe\r\nFaulting module path: C:\\inetpub\\wwwroot\\runtimes\\win-x64\\native\\tensorflow.DLL\r\nReport Id: 003ff975-a029-4989-96e6-cca406a8b89d\r\nFaulting package full name: \r\nFaulting package-relative application ID: **\r\n- **What did you expect?**\r\nWebApi and ML.net should have same behavior on local machine and remote server.\r\n\r\n### Source code / logs\r\n\r\n[proj.txt](https://github.com/dotnet/machinelearning/files/5588449/proj.txt)\r\n\r\n[file1.txt](https://github.com/dotnet/machinelearning/files/5588455/file1.txt)\r\n[startup.txt](https://github.com/dotnet/machinelearning/files/5588458/startup.txt)\r\n\r\nPlease paste or attach the code or logs or traces that would be helpful to diagnose the issue you are reporting.\r\n'"
748030663,5505,b'Import tensorflow model from keras generated one',"b'### System information\r\n\r\n- **OS version/distro**: Win 10\r\n- **.NET Version (eg., dotnet --info)**: 5 \r\n\r\n### Issue\r\n\r\n- **What did you do?** Tried to create in keras a simple NN(7 inputs, 10 outputs), freeze the model and import it in ML.Net\r\n- **What happened?** Exception\r\n- **What did you expect?** To be successfully imported \r\n\r\n### Source code / logs\r\n\r\nHi all,\r\nI created a simple neural net using keras in python, and wanted to export it to ML.Net. First try was to save it in ""tf"" format, but as i saw, ML.Net needs a frozen model. So i tried to freeze it using this approach: [https://hellobird.tistory.com/399](https://hellobird.tistory.com/399), i have generated the .pb file, but when i try to **mlContext.Model.LoadTensorFlowModel(pathToModel);** an ** Tensorflow.TensorflowException: \'Could not find meta graph def matching supplied tags: { serve }. To inspect available tag-sets in the SavedModel, please use the SavedModel CLI: `saved_model_cli`\' exception is thrown \r\n**\r\n\r\n\r\nThe python code is this attached \r\n\r\n[test.txt](https://github.com/dotnet/machinelearning/files/5577780/test.txt)\r\nand the pb file(I changed it\'s extension so i could upload):\r\n[model.txt](https://github.com/dotnet/machinelearning/files/5577783/model.txt)\r\n\r\n\r\n\r\nI saved the pb, i imported it to VS and the c# code:\r\n\r\n` \r\n  \r\n             var mlContext = new MLContext();\r\n            \r\n            var tensorFlowModel = mlContext.Model.LoadTensorFlowModel(pathToModel);\r\n            \r\n            var pipeline = mlContext.Transforms.Concatenate(""Features"",\r\n                    new[] { ""Bathrooms"", ""SqftLiving"", ""SqftLot"", ""Floors"", ""YearBuild"", ""YearRenovated"", ""Price"" })\r\n                .Append(tensorFlowModel.ScoreTensorFlowModel(""Prediction/Softmax"", ""Features""))\r\n                .Append(mlContext.Transforms.CopyColumns(""Scores"", ""Prediction/Softmax""));\r\n\r\n\r\n            var dataView = mlContext.Data.LoadFromEnumerable(Enumerable.Empty<House>(), tensorFlowModel.GetModelSchema());\r\n            var transformer = pipeline.Fit(dataView);`\r\n\r\nBut on the second line i got that error.\r\n\r\nIs there any known issue about this or any sample code that shows how to export a model from python in ML.Net that works?\r\n\r\nThanks ^_^ \r\n\r\n\r\nL.E: Found the problem. It seems it needs the whole path(including the file name, not only the folder)'"
747997199,5504,b'Is it possible to do continuous/incremental learning in ML.net? [question]',"b'I was unsure if I should ask here or on Stack Overflow.  \r\n(SO have less than 400 questions with the `ml.net`-tag, so I doubt there is a critical mass of people who bother to to follow the tag)\r\n\r\n**TL;DR:**  \r\n> Is it possible to do small incremental changes to a trained model?\r\n\r\n**Scenario**  \r\nWhere I work, we have an AI/ML/DL product called Semine, which does classification of invoices for accounting purposes, e.g. detecting what ""accounting code"" a specific invoice line is. We had a brilliant Ph.D. in statistics consult with us and write an optimized algorithm for our needs. I\'d love to describe it in details but I\'m not contractually allowed to divulge trade secrets, but in general: When an invoice is ""posted"", the relevant values are added to the pile of data which is used by the algorithm. Then there is an ""incremental learning"" on that action, and not a complete re-train of the entire model; Having to retrain an entire model a few thousand times per day would not be financially responsible.\r\n\r\n**Question**  \r\nIs there a way to do this type on learning in ML.net? Just a tweak, based on a small change to the underlying data? `#AskingForAFriend` \xf0\x9f\x98\x86 \r\n\r\n**My efforts**  \r\nHaving googled, (even with Bing \xf0\x9f\x98\x86 ), it\'s evident that there are a lot of questions about this, but no clear answers or examples. So a definitive ""yes/no"" on the question of if it is possible, and if it will be possible\r\n\r\nThank you for your time!'"
747121141,5501,b'Absorb Accord.net as a whole or in parts',"b'[Accord.net](https://github.com/accord-net/framework), (An ML library for .net), has been archived, and will no longer be maintained. The maintainer has done so partly because of ML.net deprecating Accord as a ML framework for .net. (and apparently also because of nasty researchers making fun of people using C# for Machine Learning)\r\n\r\nThe ML.net -team should absorb it, (fork it into dotnet, and move the components piece-by-piece into ML.net), because there are a lot of great stuff there that could really benefit ML.net\'s future, that now is just adrift, without new releases or active development.\r\n\r\nIt would be a shame for it all to go to ""waste"" or fall into obscurity'"
746095573,5498,"b'Survey: Repo contribution experience, Fall 2020'","b'We normally focus on how to improve the product, but we\xe2\x80\x99re also turning our focus to improving the open source project. Periodically we are running a survey to collect feedback on your experience working with our repos. We did one back in May, and as its been about 6 months, its about time for another. We\xe2\x80\x99ve created a survey to better understand your individual experience of participating and contributing in this project.\r\n\r\nWe would appreciate your feedback so we can work to address shortcomings and missed opportunities. If you don\xe2\x80\x99t supply contact details, then responses will be anonymous.\r\n\r\n[Survey](https://www.surveymonkey.com/r/92RLF7R?Source=dotnet/machinelearning)\r\n\r\nThank you for your time!'"
746035055,5497,b'Are ML .Net models deterministic?',"b'Some models are inherently stochastic, others are deterministic. Are ML .Net models deterministic? In other words, given the same input, will an ML .Net model always return the same output/prediction? If so, to how many decimal places is this prediction deterministic?'"
745686066,5495,"b""Unable to load DLL 'CpuMathNative': The specified module could not be found""","b""salam all\r\nI face this problem when I use Microsoft.ML to create clustering \r\nI hope to help me \r\nSystem.DllNotFoundException: 'Unable to load DLL 'CpuMathNative': The specified module could not be found. (Exception from HRESULT: 0x8007007E)'\r\nthank you \r\n![image](https://user-images.githubusercontent.com/34779906/99539707-39c68e80-29b7-11eb-8e28-88fdf3eed323.png)\r\n"""
745080896,5491,b'Unable to detect anomaly in data that appears anomalous',"b'### System information\r\n\r\n- **OS version/distro**: \r\n- **.NET Version (eg., dotnet --info)**: \r\n![image](https://user-images.githubusercontent.com/69877427/99447299-0828c700-28d4-11eb-8663-c0f165631be9.png)\r\n\r\n\r\n### Issue\r\n\r\n- **What did you do?**\r\nAttempted to detect anomalies on time series data\r\n\r\n- **What happened?**\r\nNo anomalies were detected\r\n![image](https://user-images.githubusercontent.com/69877427/99441627-fee82c00-28cc-11eb-8b2c-069f0cca148e.png)\r\n![image](https://user-images.githubusercontent.com/69877427/99446948-edeee900-28d3-11eb-90f0-d177e1e02e4a.png)\r\n\r\n\r\n- **What did you expect?**\r\nAn anomaly on either the 1st or 2nd data point\r\n\r\n### Source code / logs\r\n[no_anomalies_detected_data.zip](https://github.com/dotnet/machinelearning/files/5556169/no_anomalies_detected_data.zip)\r\n\r\nSensitivity=100, SeasonalPeriodForAnomalyDetection=-1 (we set it to 0 when it is < 0), Threshold=0.1\r\n![image](https://user-images.githubusercontent.com/69877427/99440684-c431c400-28cb-11eb-90c5-dcc1d9dccb2f.png)\r\n\r\n\r\n\r\nPlease paste or attach the code or logs or traces that would be helpful to diagnose the issue you are reporting.\r\n'"
743345395,5490,b'AutoML: How to remove/ignore columns returned by InferColumns API',"b'### System information\r\n\r\n- Windows 10 Pro 10.0.19041\r\n- .NET 5.0 \r\n- Microsoft.ML.AutoML 0.17.2\r\n\r\n### Issue\r\n\r\n- I want to be able to inference columns loaded from a .csv file but then remove/ignore select columns from AutoML experiment.  My attempt to remove these columns in columnInformation does not appear to work as all columns loaded are used.\r\n- I don\'t necessarily want to remove the columns from the IDataView rather I just want to exclude them from the experiment.  How can this be accomplished?\r\n- In the attached exhibits I show part of the IDataView schema with the columns (3) I want to remove/ignore and the columnInformation properties after attempting to remove them.\r\n![IDataView Schema](https://user-images.githubusercontent.com/8396992/99196430-50bc7500-275a-11eb-8d0e-279fec1e4df5.png)\r\n![columnInformation properties](https://user-images.githubusercontent.com/8396992/99196431-53b76580-275a-11eb-9b16-d59fe836766c.png)\r\n\r\n### Source code / logs\r\n```\r\n    ...\r\n    MLContext mlContext = new MLContext();\r\n\r\n    // Infer columns in the dataset with AutoML\r\n    var columnInference = InferColumns(mlContext);\r\n\r\n    // Load data from files using inferred columns\r\n    LoadData(mlContext, columnInference);\r\n\r\n    // Run an AutoML experiment on the dataset\r\n    var experimentResult = RunAutoMLExperiment(mlContext, columnInference);\r\n    ...\r\n\r\n    private static void LoadData(MLContext mlContext, ColumnInferenceResults columnInference)\r\n    {\r\n        TextLoader textLoader = mlContext.Data.CreateTextLoader(columnInference.TextLoaderOptions);\r\n        TrainDataView = textLoader.Load(TrainDataPath);\r\n    }\r\n\r\n    private static ExperimentResult<BinaryClassificationMetrics> RunAutoMLExperiment(MLContext mlContext, ColumnInferenceResults columnInference)\r\n    {\r\n       // Customize column information returned by InferColumns API\r\n       ColumnInformation columnInformation = columnInference.ColumnInformation;\r\n       columnInformation.CategoricalColumnNames.Remove(""rUpDn"");\r\n       columnInformation.NumericColumnNames.Remove(""rDE_MaxProf"");\r\n       columnInformation.TextColumnNames.Remove(""rD_LKDateTime"");\r\n\r\n       // invoke after each model it produces and evaluates.\r\n       var progressHandler = new Progress<RunDetail<BinaryClassificationMetrics>>();\r\n\r\n       // Initialize a cancellation token source to stop the experiment.\r\n       var cts = new CancellationTokenSource();\r\n\r\n       // Create experiment settings\r\n       var experimentSettings = CreateExperimentSettings(mlContext, cts);\r\n\r\n       // Run AutoML regression experiment\r\n       var experiment = mlContext.Auto().CreateBinaryClassificationExperiment(experimentSettings);\r\n       ExperimentResult<BinaryClassificationMetrics> experimentResult = experiment.Execute(TrainDataView, columnInformation, null, progressHandler: progressHandler);\r\n\r\n       // Print top models found by AutoML\r\n       PrintTopModels(experimentResult);\r\n\r\n       return experimentResult;\r\n   }\r\n    private static BinaryExperimentSettings CreateExperimentSettings(MLContext mlContext, CancellationTokenSource cts)\r\n    {\r\n        var experimentSettings = new BinaryExperimentSettings();\r\n        experimentSettings.MaxExperimentTimeInSeconds = 3600;\r\n        experimentSettings.CancellationToken = cts.Token;\r\n\r\n        // Set the metric that AutoML will try to optimize over the course of the experiment.\r\n        //experimentSettings.OptimizingMetric = RegressionMetric.RootMeanSquaredError;\r\n        experimentSettings.OptimizingMetric = BinaryClassificationMetric.Accuracy;\r\n\r\n        // Set the cache directory to null.\r\n        // This will cause all models produced by AutoML to be kept in memory \r\n        // instead of written to disk after each run, as AutoML is training.\r\n         // (Please note: for an experiment on a large dataset, opting to keep all \r\n        // models trained by AutoML in memory could cause your system to run out \r\n        // of memory.)\r\n        experimentSettings.CacheDirectory = null;\r\n\r\n         // Clear trainers and add LightGbm\r\n         //experimentSettings.Trainers.Clear();\r\n         //experimentSettings.Trainers.Add(BinaryClassificationTrainer.LightGbm);\r\n\r\n         return experimentSettings;\r\n     }\r\n\r\n```\r\n\r\nPlease paste or attach the code or logs or traces that would be helpful to diagnose the issue you are reporting.\r\n'"
