issue_no,found_id,is_issue,is_pull_request
5438,5437,True,False
5408,5425,True,False
5403,5136,False,True
5388,5386,True,True
5377,5380,True,True
5375,41556,False,False
5375,41556,False,False
5375,41556,False,False
5375,5393,True,False
5342,5348,True,True
5335,5334,True,False
5334,5338,True,True
5303,5311,True,False
5277,5289,True,True
5277,5298,True,True
5274,5218,True,True
5267,5177,True,True
5267,3902,True,False
5235,804,True,False
5191,4981,True,False
5191,4992,False,True
5165,4703,True,False
5155,5067,True,False
5144,5125,True,True
5042,4663,True,False
4915,4912,True,False
4914,4981,True,False
4872,4919,False,True
4870,4483,True,False
4868,4385,True,False
4868,4485,True,True
4825,3989,True,False
4749,5248,True,True
4738,4585,True,False
4735,4322,True,False
4719,4614,True,True
4693,4702,True,True
4686,4957,False,True
4663,4648,True,False
4460,5125,True,True
4460,5125,True,True
4460,5125,True,True
4460,5125,True,True
4460,5148,False,True
4450,3647,True,False
4429,4691,True,True
4418,4406,False,True
4387,4365,True,True
4385,922,True,True
4385,963,True,True
4381,4485,True,True
4381,4385,True,False
4316,283,True,False
4296,4266,True,False
4294,4120,True,False
4292,3976,True,False
4264,4275,True,False
4227,3972,True,False
4216,2,True,True
4196,3972,True,False
4196,2438,True,False
4173,2411,True,True
4109,201,True,False
4087,4151,False,True
4085,4027,True,False
4084,4151,False,True
4072,4073,False,True
4041,13590,False,False
4008,3882,True,True
4000,4001,True,True
3976,4262,True,True
3976,4306,True,True
3926,3908,True,True
3906,3613,True,True
3900,3881,True,True
3895,4266,True,False
3871,3990,True,False
3832,3831,False,True
3822,3761,True,False
3803,568,True,False
3766,3272,True,False
3766,5018,True,True
3752,3749,True,False
3748,3745,False,True
3733,3738,False,True
3729,3677,False,False
3723,2121,True,False
3712,2644,True,False
3712,2692,True,True
3701,744,True,False
3683,3688,True,False
3666,3623,True,True
3661,2811,True,True
3615,3340,True,False
3527,3575,False,True
3527,3565,False,True
3509,3558,True,True
3503,3568,True,True
3493,3522,True,True
3491,3570,True,True
3481,3530,True,True
3481,3537,True,True
3477,3533,True,True
3460,3369,True,False
3390,3370,True,True
3390,3370,True,True
3365,4749,True,False
3356,3586,True,True
3350,3307,True,True
3308,3187,True,True
3283,3119,True,False
