issue_no,actor,event,event_id,created_at
4906,francescomazzurco,subscribed,4045764278,2020-11-27 11:33:07
4906,francescomazzurco,mentioned,4045764277,2020-11-27 11:33:07
4906,harishsk,subscribed,4045764274,2020-11-27 11:33:07
4906,harishsk,mentioned,4045764270,2020-11-27 11:33:07
4906,justinormont,subscribed,4045265799,2020-11-27 09:21:07
4906,justinormont,mentioned,4045265795,2020-11-27 09:21:07
5511,itwithlyam,closed,4039821404,2020-11-25 20:55:41
4063,najeeb-kazmi,subscribed,4039102874,2020-11-25 17:12:03
4063,najeeb-kazmi,mentioned,4039102868,2020-11-25 17:12:03
5469,Lynx1820,subscribed,4032149921,2020-11-24 11:05:31
5469,Lynx1820,mentioned,4032149874,2020-11-24 11:05:31
5487,antoniovs1029,closed,4029682306,2020-11-23 21:18:19
5504,justinormont,subscribed,4025389314,2020-11-22 23:42:49
5504,justinormont,mentioned,4025389312,2020-11-22 23:42:49
5487,antoniovs1029,subscribed,4024631925,2020-11-22 09:57:40
5487,antoniovs1029,mentioned,4024631923,2020-11-22 09:57:40
5505,denisdnl,closed,4023907726,2020-11-21 14:43:24
5505,return,unsubscribed,4023900721,2020-11-21 14:33:42
5505,param,unsubscribed,4023900720,2020-11-21 14:33:42
5505,param,mentioned,4023899097,2020-11-21 14:31:19
5505,return,subscribed,4023899093,2020-11-21 14:31:19
5505,return,mentioned,4023899090,2020-11-21 14:31:19
5504,justinormont,labeled,4023848871,2020-11-21 13:22:56
5501,frank-dong-ms,labeled,4023217843,2020-11-21 00:11:48
5480,antoniovs1029,subscribed,4021135766,2020-11-20 14:25:54
5480,antoniovs1029,mentioned,4021135763,2020-11-20 14:25:54
5480,eerhardt,subscribed,4021135755,2020-11-20 14:25:54
5480,eerhardt,mentioned,4021135747,2020-11-20 14:25:54
5480,halcwb,closed,4021135727,2020-11-20 14:25:53
5497,rebecca-burwei,subscribed,4017295700,2020-11-19 18:24:42
