issue_no,pull_no,actor,created_at,event
4634,5163,justinormont,2020-10-27 09:21:19,connected
5320,5163,justinormont,2020-10-27 09:01:04,connected
4906,5163,justinormont,2020-10-27 08:58:49,connected
5428,5163,justinormont,2020-10-27 08:56:08,connected
5429,5436,mstfbl,2020-10-19 19:58:32,connected
5388,5386,mstfbl,2020-09-04 21:01:20,connected
5379,5374,mstfbl,2020-09-02 18:18:36,connected
5312,5313,mstfbl,2020-07-21 18:15:50,connected
5211,5232,mstfbl,2020-06-11 23:42:59,connected
5230,5231,mstfbl,2020-06-11 19:58:06,connected
5162,5163,mstfbl,2020-05-26 04:55:58,connected
