pull_no,found_id,is_issue,is_pull_request
5499,5495,True,False
5467,5457,True,True
5462,5163,True,True
5462,5163,True,True
5460,5456,True,False
5453,5336,True,False
5395,744,True,False
5380,5377,True,False
5378,5371,True,False
5373,5386,True,True
5331,5334,True,False
5301,5273,True,False
5291,4909,True,False
5289,4700,True,False
5287,5266,True,False
5280,5267,True,False
5249,4309,True,False
5239,5238,True,False
5227,5256,True,False
5227,4048,True,False
5223,5222,True,False
5212,5224,True,False
5209,5205,True,True
5198,5154,True,True
5172,1654,True,True
5163,5462,True,True
5154,5145,True,True
5152,5104,True,True
5147,5125,True,True
5145,5125,True,True
5130,5129,True,False
5114,4122,True,False
5095,4960,True,False
5091,4409,True,False
5085,4707,True,False
5084,4065,True,False
5048,3659,True,False
5048,3659,True,False
5046,1443,True,False
5027,5007,True,False
5017,5016,True,False
4943,4838,True,True
4943,4938,True,True
4941,4932,True,False
4808,4742,True,False
4780,4569,True,True
4757,4569,True,True
4755,4569,True,True
4754,4569,True,True
4740,4741,True,False
4728,3708,True,False
4723,3938,True,False
4720,3938,True,False
4705,4011,True,False
4702,4693,True,False
4698,4699,True,True
4697,4611,True,False
4697,4611,True,False
4654,3053,True,False
4654,3053,True,False
4642,4638,True,False
4616,4614,True,True
4598,4074,True,False
4598,4074,True,False
4592,4518,True,False
4591,4518,True,False
4581,4518,True,False
4573,4572,True,False
4573,3948,False,True
4569,4722,True,True
4563,4527,True,False
4550,4549,True,True
4538,4551,True,True
4536,558,True,False
4523,4445,True,False
4509,4364,True,False
4500,4492,False,True
4486,4218,True,False
4439,4427,True,False
4419,4418,True,False
4419,4418,True,False
4404,4361,True,False
4401,4400,True,False
4395,4,True,False
4356,4352,True,False
4336,4242,True,True
4315,4272,True,True
4315,4297,True,True
4310,4153,True,False
4306,4292,True,False
4298,4259,True,False
4298,4259,True,False
4297,4120,True,False
4278,4237,True,True
4193,4192,True,False
4160,4159,True,False
4107,4024,True,False
4104,4076,True,False
4098,4097,True,False
4073,4072,True,False
4066,4053,True,False
4056,4055,True,False
4054,4053,True,False
4010,3992,True,False
4010,3992,True,False
4007,3965,True,False
4007,3965,True,False
4002,3992,True,False
3981,3980,True,False
3899,3898,True,False
3875,3874,True,False
3854,3710,True,False
3853,2074,True,False
3852,3207,True,False
3851,3562,True,False
3837,3836,True,False
3823,401,True,False
3785,3654,True,False
3768,1542,True,False
3738,3732,True,False
3724,3672,True,False
3721,3722,True,False
3719,3715,True,False
3695,3687,True,False
3676,3648,True,False
3629,3626,True,False
3629,3628,True,True
3628,3626,True,False
3581,3558,True,True
3580,3574,True,True
3580,3573,True,False
3579,3539,True,True
3566,3508,True,False
3557,3474,True,False
3549,3475,True,False
3538,3505,True,False
3538,3471,True,False
3528,3506,True,False
3525,3468,True,False
3524,3469,True,False
3521,3511,True,False
3500,3499,True,False
3434,3406,True,True
3426,2522,True,False
3410,2522,True,False
3406,3204,True,False
3397,2522,True,False
3368,3361,True,False
3367,3366,True,False
3357,3310,True,True
3355,3354,True,False
3348,3316,True,True
3348,3316,True,True
3347,1209,True,False
3344,3244,True,True
3343,3339,True,True
3341,3252,True,True
3341,3255,True,False
3322,3323,True,False
3319,2425,True,False
3319,2425,True,False
3318,3281,True,True
3313,3132,True,False
3305,3304,True,False
3303,3287,True,True
3296,3288,True,True
3291,3119,True,False
3285,3284,True,False
3278,3279,True,False
3267,3266,True,False
3267,3205,True,False
3265,1408,True,False
3257,3256,True,False
3253,2981,True,False
3237,3236,True,False
3223,502,True,False
3222,3205,True,False
3220,3209,True,False
3215,3203,True,False
3195,2195,False,True
3184,1209,True,False
3173,3132,True,False
3157,2244,True,False
3122,3107,True,False
3080,3081,True,False
3078,2959,True,True
3064,3069,True,False
3062,3070,True,False
3041,1209,True,False
3034,3016,True,False
3028,3027,True,False
3023,3015,True,False
3019,2991,True,True
3018,2991,True,True
2999,2726,True,False
2991,2983,True,False
2987,2974,True,False
2984,2980,True,False
2984,2980,True,False
2969,2465,True,False
2968,1100,True,False
2968,2762,True,False
2959,3013,True,False
2956,2949,True,True
2956,2955,True,False
2953,1268,True,False
2937,2957,True,False
2935,2778,True,False
2935,2778,True,False
2930,2565,True,False
2930,2887,True,True
2921,2927,True,False
2918,2832,True,False
2913,2174,True,False
2913,2594,True,False
2913,2856,True,True
2907,2337,True,False
2905,2337,True,False
2904,2897,True,False
2889,2244,True,False
2880,2877,True,False
2878,2709,True,True
2875,2827,True,False
2849,2846,True,True
2845,2039,True,False
2839,2536,True,False
2808,2613,True,False
2807,2763,True,False
2790,2767,True,False
2771,2726,True,False
2771,2627,True,False
2770,2726,True,False
2747,2658,True,False
2745,2710,True,True
2743,2805,True,False
2741,2737,True,False
2733,2668,True,False
2722,2721,True,False
2718,2279,True,False
2715,2713,True,False
2710,2663,True,False
2707,2661,True,True
2705,689,True,False
2703,2297,True,False
2691,2237,True,False
2687,2381,True,False
2665,2177,True,False
2665,1065,True,False
2665,1065,True,False
2665,1065,True,False
2661,2006,True,False
2646,2642,True,False
2643,2566,True,False
2641,2554,True,False
2635,2626,True,False
2630,2452,True,False
2607,2604,True,False
2600,2599,True,False
2584,2171,True,False
2579,2612,True,False
2578,1976,True,False
2574,2569,True,True
2569,2657,True,False
2569,2670,True,False
2558,2270,True,False
2543,2277,True,False
2541,2264,True,False
2532,2265,True,False
2517,2264,True,False
2506,2548,True,True
2494,2485,True,False
2493,1209,True,False
2491,2326,True,False
2481,2468,True,False
2453,2354,True,False
2450,2447,True,False
2442,2468,True,False
2442,2468,True,False
2434,2480,True,False
2426,2376,True,False
2394,2154,True,False
2394,126,True,False
2394,2460,True,False
2394,2460,True,False
2392,2391,True,False
2390,1209,True,False
2390,1209,True,False
2368,2354,True,False
2349,2348,True,False
2343,2325,True,False
2340,1098,True,False
2340,1886,True,False
2331,2322,True,False
2329,1995,True,False
2314,966,True,False
2307,2289,True,False
2303,2155,True,False
2303,2155,True,False
2302,2100,True,False
2302,899,True,True
2302,2064,True,False
2300,1995,True,False
2295,2294,True,False
2285,2255,True,False
2261,2100,True,False
2261,2100,True,False
2246,2244,True,False
2239,2064,True,False
2230,318,True,False
2229,2227,True,True
2229,318,True,False
2220,2296,True,True
2220,2296,True,True
2220,2297,True,False
2202,1860,True,False
2202,1533,True,False
2199,2100,True,False
2178,2125,False,True
2163,2154,True,False
2163,2100,True,False
2163,2100,True,False
2163,2100,True,False
2163,2154,True,False
2163,2174,True,False
2160,2150,True,False
