pull_id,pull_no,title,body
751173883,5512,b'Fixed official builds for Arcade SDK',"b""This PR fixes the official builds for ML.NET's Arcade SDK changes. \r\n\r\nThe failing trusted CI machine DDVSOWINAGE072 has been fixed, more info in this issue: https://github.com/dotnet/core-eng/issues/11513\r\n\r\nLink to the trusted and successful build of these changes: https://devdiv.visualstudio.com/DevDiv/_build/results?buildId=4255993&view=results"""
750098208,5510,b'Disabling AutoFitMaxExperimentTimeTest',"b'The test is sometimes causing CI failures which block PRs.\r\nDisabling it temporally, while the root cause is investigated on #5506 \r\n'"
750087868,5509,b'[Draft] Handle integration tests and nightly build testing',"b'1. To enable running the ""Integration tests"" (formerly known as Functional tests) by using ""build.cmd -integrationTest""\r\n2. Also enabling the nightly build that is triggered everyday at midnight to run the integration tests'"
749362558,5507,b'Fixed some of the memory leaks',b'Added IDisposable to OnnxRuntimeOutputCacher and added using clauses to tests in OnnxConversionTests.'
749165881,5506,b'Debugging occasional AutoFitMaxExperimentTimeTest failures',"b'Debugging occasional AutoFitMaxExperimentTimeTest failures, where sometimes the last model being trained is stopped and its provided exception is not ""Operation was canceled"".'"
747872318,5503,b'Fix NetFX builds by ensuring assembly version is set correctly',"b'Arcade SDK by default sets the version of generated `dll`s to `42.42.42.42`, which breaks some of our unit tests on .Net Frameworks v4.6.1. These failing unit tests are testing backwards compatibility of models by loading them. They are using the `dll`s they came with, which is version `1.0.0.0`. We also generate the same `1.0.0.0` version `dll`s currently, but without this change we make those `dll`s have version `42.42.42.42`.\r\n\r\nCI Build: https://dev.azure.com/dnceng/public/_build/results?buildId=895013&view=results'"
747308715,5502,b'Fix SR anomaly score calculation at beginning',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n#5491 \r\n"""
746829805,5500,b'Testing Arcade',b'\r\n\r\n'
746142442,5499,b'fix CpuMathNative dll not found error for netfx project',b'fix #5495 \r\n\r\n'
745972773,5496,b'Fixes for many of the CI builds.',b'Fixes many of the arcade CI builds. Still need to work on x86 and netfx. '
745343460,5494,b'fix official builds in arcade',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n"""
745150759,5493,b'Arcade Testing',"b""We are excited to review your PR.\r\n\r\nSo we can do the best job, please check:\r\n\r\n- [ ] There's a descriptive title that will make sense to other developers some time from now. \r\n- [ ] There's associated issues. All PR's should have issue(s) associated - unless a trivial self-evident change such as fixing a typo. You can use the format `Fixes #nnnn` in your description to cause GitHub to automatically close the issue(s) when your PR is merged.\r\n- [ ] Your change description explains what the change does, why you chose your approach, and anything else that reviewers should know.\r\n- [ ] You have included any necessary tests in the same PR.\r\n\r\n"""
745118863,5492,b'Testing Arcade Code Coverage',b'\r\n'
742660045,5488,b'Added Forward Compatibility Error',"b""To resolve #5311. \r\n\r\nIt was suggested we either throw an error or print out a warning if the model is trained with a newer mlnet version than the version reading the model. Given that warnings get logged and a model might still have a silent bug, I'm proposing that we throw an error anytime the model is trained with a newer mlnet version than the one reading the model. \r\n"""
742295988,5485,b'Handle arcade IntegrationTests',b'Handle arcade IntegrationTests\r\n\r\n- [x] Currently working locally on my computer\r\n\r\n- [ ] Checking if it works on CI\r\n\r\n- [ ] Still need to see how to make it work with the NightlyBuild CI.'
739544273,5482,b'Fixing failing Arcade Windows Builds',"b""Fixed the `%20` space error causing Arcade Windows builds to fail, added conditional space variable to be `' '` in Linux/MacOS and `'%20'` on Windows."""
738139020,5479,b'Added Linux & Mac changes for Arcade',"b'This PR contains changes for Linux and Mac Arcade integrations, as well as Arcade benchmark/ performance testing changes.\r\n\r\n'"
738136480,5478,b'Linux & Mac changes for Arcade',"b'This PR contains changes for Linux and Mac Arcade integrations, as well as Arcade benchmark/ performance testing changes.'"
738114834,5477,b'Windows CI working',b'Windows CI working. Mac and Linux will come later.'
