pull_id,pull_no,total_commits
527738113,5512,2
526811457,5510,1
526802958,5509,5
526190430,5507,1
526027390,5506,8
525017426,5503,1
524554204,5502,12
524154529,5500,47
523592418,5499,1
523445269,5496,28
522923249,5494,14
522759237,5493,30
522732665,5492,10
520741591,5488,3
520458026,5485,29
518186025,5482,6
517058434,5479,17
517056297,5478,24
517038918,5477,14
515624948,5475,3
515580328,5474,6
515051236,5472,7
514617053,5471,2
512724772,5468,10
511864570,5467,7
511680771,5464,9
511273000,5462,5
511220717,5461,17
510986362,5460,2
509812609,5457,2
509308120,5455,3
509200725,5454,8
508576076,5453,1
507833138,5445,29
507134638,5444,2
503755447,5439,4
503256593,5436,7
503003036,5435,5
502568828,5433,3
499641568,5424,3
499636953,5423,2
499587779,5422,6
498009555,5417,1
495336523,5415,2
491194625,5407,3
491157815,5406,5
490525666,5404,28
487474109,5400,1
486918630,5399,18
485996394,5395,20
479577201,5386,6
476723793,5380,5
476503930,5378,1
476146308,5374,9
475947425,5373,3
472741585,5363,1
470109607,5354,5
469137086,5351,2
468266465,5349,1
468226798,5348,4
467050904,5345,2
466979329,5344,1
463711072,5338,3
458870637,5332,5
458819525,5331,7
458043953,5329,1
457465290,5328,3
457460028,5327,1
454849612,5319,4
452642370,5313,4
451251348,5310,3
447710817,5302,1
447662117,5301,1
447311287,5298,3
447163992,5297,3
446692743,5296,2
445880484,5292,3
445765017,5291,1
445536641,5290,2
445085127,5289,13
445007137,5288,9
444913100,5287,1
443927231,5280,1
443690745,5279,3
443083844,5275,4
442374201,5272,1
442285741,5269,1
441804550,5268,3
441579916,5265,1
440813146,5263,12
440476696,5261,5
440381626,5260,5
440290516,5259,1
440267060,5258,6
440145135,5257,12
439120666,5255,8
437752496,5252,1
436785124,5249,2
436620075,5248,3
436124938,5246,3
436064387,5245,1
436057796,5244,7
435367019,5243,5
433971660,5239,1
433849316,5236,9
433459268,5234,2
433336348,5233,0
433275890,5232,5
433212810,5231,17
432827315,5229,5
432822319,5228,3
432760761,5227,14
432663618,5226,1
432190570,5223,1
