issue_no,found_id,is_issue,is_pull_request
20433,11625,True,False
20295,5031,False,True
20208,13557,True,False
20105,23871,False,False
19942,22569,False,False
19936,22595,False,False
19933,22637,False,False
19931,22624,False,False
19925,22028,False,False
19924,22584,False,False
19905,22495,False,False
19890,22375,False,False
19877,6,True,True
19847,22160,False,False
19733,19438,False,True
19733,19438,False,True
19720,10700,True,True
19131,1,False,True
18975,0,False,False
18975,1,False,True
18975,2,True,True
18975,3,False,True
18975,4,True,True
18975,5,False,True
18975,6,True,True
18975,7,True,True
18975,8,True,True
18975,9,True,True
18975,10,True,True
18975,11,True,True
18975,12,True,True
18975,13,True,True
18975,14,True,True
18975,15,True,True
18975,16,True,True
18975,17,False,True
18975,0,False,False
18865,17393,False,True
18172,14895,True,False
18145,10150,True,False
18033,0,False,False
17699,17632,False,True
17256,17255,False,True
17209,16373,True,False
16948,0,False,False
16943,0,False,False
16932,9883,True,False
16864,10641,True,False
16639,14875,True,False
16406,7008,True,False
16406,7150,True,True
16251,0,False,False
16110,1,False,True
16042,9631,True,False
15990,15930,False,True
15973,9028,True,False
15973,9028,True,False
15970,16451,False,True
15970,16451,False,True
15736,26,False,True
15614,2920,True,True
15399,8263,True,False
15399,2,True,True
15179,15174,True,False
15178,15174,True,False
15173,15170,True,False
15172,15170,True,False
15147,15142,True,False
15146,15142,True,False
15145,15142,True,False
15117,15115,True,False
15095,15093,True,False
15089,15087,True,False
15032,15029,True,False
15031,15029,True,False
15004,15002,True,False
15000,14998,True,False
14997,14993,True,False
14996,14993,True,False
14961,14959,True,False
14953,14930,True,False
14943,14931,True,False
14935,14514,True,False
14929,14920,True,False
14926,14920,True,False
14916,14913,True,False
14788,14827,True,False
14788,15235,True,False
14788,8397,True,False
14788,15236,True,False
14788,15237,True,False
14788,17237,False,True
14788,17237,False,True
14788,14828,True,False
14788,17369,False,True
14788,15723,True,False
14788,16525,False,True
14788,15728,True,False
14788,18450,False,True
14788,16076,False,True
14788,16076,False,True
14788,16518,False,True
14788,15142,True,False
14788,17629,True,False
