issue_no,actor,event,event_id,created_at
16395,scott-ferguson-unity,referenced,4016201852,2020-11-19 14:41:30
16742,scott-ferguson-unity,referenced,4016201847,2020-11-19 14:41:30
9664,scott-ferguson-unity,referenced,4016201839,2020-11-19 14:41:30
20576,jon798,renamed,4015717589,2020-11-19 12:59:02
20250,filipw,renamed,4015468328,2020-11-19 11:58:01
20576,jon798,renamed,4007648781,2020-11-17 21:36:53
20585,SergioLuis,subscribed,4006589353,2020-11-17 17:11:06
20585,SergioLuis,mentioned,4006589350,2020-11-17 17:11:06
20585,SergioLuis,subscribed,4006589300,2020-11-17 17:11:05
20585,SergioLuis,mentioned,4006589296,2020-11-17 17:11:05
18455,akoeplinger,closed,4005002995,2020-11-17 11:39:19
18701,akoeplinger,closed,4004994592,2020-11-17 11:37:08
20575,lambdageek,subscribed,3995090425,2020-11-13 19:37:01
20575,lambdageek,mentioned,3995090418,2020-11-13 19:37:01
16395,scott-ferguson-unity,referenced,3993572425,2020-11-13 13:54:14
16742,scott-ferguson-unity,referenced,3993572413,2020-11-13 13:54:13
9664,scott-ferguson-unity,referenced,3993572405,2020-11-13 13:54:13
19393,akoeplinger,referenced,3993479854,2020-11-13 13:29:45
19393,akoeplinger,referenced,3993477799,2020-11-13 13:29:10
19393,monojenkins,referenced,3992940640,2020-11-13 10:52:26
19393,akoeplinger,referenced,3992884312,2020-11-13 10:36:36
19393,akoeplinger,referenced,3992883579,2020-11-13 10:36:23
20567,koosha72,closed,3991893510,2020-11-13 05:36:18
20572,jtorres,subscribed,3991382537,2020-11-13 01:31:13
20572,jtorres,mentioned,3991382530,2020-11-13 01:31:13
20572,marek-safar,subscribed,3991382524,2020-11-13 01:31:13
20572,marek-safar,mentioned,3991382517,2020-11-13 01:31:13
20569,srxqds,closed,3986938185,2020-11-12 05:58:38
20569,naricc,subscribed,3985565681,2020-11-11 20:39:43
20569,naricc,mentioned,3985565673,2020-11-11 20:39:43
20065,w4mmp,closed,3984555421,2020-11-11 16:10:03
20510,lambdageek,subscribed,3982801185,2020-11-11 08:53:12
20510,lambdageek,mentioned,3982801183,2020-11-11 08:53:12
20510,steveisok,subscribed,3982801181,2020-11-11 08:53:12
20510,steveisok,mentioned,3982801178,2020-11-11 08:53:12
20531,lewing,subscribed,3981760325,2020-11-11 02:14:05
20531,lewing,mentioned,3981760322,2020-11-11 02:14:05
20531,lewing,closed,3981758726,2020-11-11 02:13:27
20531,lewing,subscribed,3981537607,2020-11-11 00:29:58
20531,lewing,mentioned,3981537604,2020-11-11 00:29:57
20544,lambdageek,assigned,3981033092,2020-11-10 21:29:38
15029,layomia,referenced,3979746360,2020-11-10 16:13:54
20544,marek-safar,added_to_project,3979675399,2020-11-10 16:00:10
20544,marek-safar,labeled,3979675091,2020-11-10 16:00:06
20544,CoffeeFlux,subscribed,3979674594,2020-11-10 16:00:00
20544,CoffeeFlux,mentioned,3979674589,2020-11-10 16:00:00
20544,lambdageek,subscribed,3979674582,2020-11-10 16:00:00
20544,lambdageek,mentioned,3979674575,2020-11-10 16:00:00
19596,baulig,subscribed,3978262397,2020-11-10 10:49:15
19596,baulig,mentioned,3978262395,2020-11-10 10:49:15
9058,Stuart88,subscribed,3977945594,2020-11-10 09:40:09
9058,Stuart88,mentioned,3977945590,2020-11-10 09:40:09
9058,masonwheeler,subscribed,3977945583,2020-11-10 09:40:09
9058,masonwheeler,mentioned,3977945574,2020-11-10 09:40:09
9058,Stuart88,subscribed,3977898633,2020-11-10 09:29:45
9058,Stuart88,mentioned,3977898625,2020-11-10 09:29:45
9058,masonwheeler,subscribed,3977896441,2020-11-10 09:29:18
9058,masonwheeler,mentioned,3977896437,2020-11-10 09:29:18
20561,lambdageek,subscribed,3976946045,2020-11-10 04:44:31
20561,lambdageek,mentioned,3976946044,2020-11-10 04:44:31
15032,tqiu8,referenced,3976274940,2020-11-09 23:37:13
15031,tqiu8,referenced,3976274938,2020-11-09 23:37:13
15030,tqiu8,referenced,3976274936,2020-11-09 23:37:13
20513,lemonmojo,subscribed,3975879949,2020-11-09 21:28:21
15767,monojenkins,referenced,3975062525,2020-11-09 17:56:29
15767,rbernon,referenced,3975028150,2020-11-09 17:48:29
20533,jonpryor,referenced,3974565000,2020-11-09 16:11:26
20490,jonpryor,referenced,3974564996,2020-11-09 16:11:26
16763,jonpryor,referenced,3974564991,2020-11-09 16:11:26
19950,yannl35133,subscribed,3970747535,2020-11-08 13:24:37
19950,yannl35133,mentioned,3970747533,2020-11-08 13:24:37
20533,jonpryor,referenced,3967482550,2020-11-06 14:37:22
20490,jonpryor,referenced,3967482547,2020-11-06 14:37:22
16763,jonpryor,referenced,3967482541,2020-11-06 14:37:22
15032,lambdageek,referenced,3965446362,2020-11-06 04:19:14
15031,lambdageek,referenced,3965446360,2020-11-06 04:19:14
15030,lambdageek,closed,3965446354,2020-11-06 04:19:14
15032,lambdageek,closed,3965446283,2020-11-06 04:19:12
15031,lambdageek,closed,3965446277,2020-11-06 04:19:12
20533,imhameed,referenced,3964969613,2020-11-06 00:31:54
20533,akoeplinger,subscribed,3958959950,2020-11-04 18:37:04
20533,akoeplinger,mentioned,3958959949,2020-11-04 18:37:04
20531,lewing,subscribed,3955880394,2020-11-04 05:31:23
20531,lewing,mentioned,3955880390,2020-11-04 05:31:23
20503,layomia,referenced,3955415639,2020-11-04 01:20:59
20490,layomia,referenced,3955415637,2020-11-04 01:20:59
20533,imhameed,subscribed,3954669706,2020-11-03 20:26:48
20533,imhameed,mentioned,3954669700,2020-11-03 20:26:48
15032,lambdageek,referenced,3954267339,2020-11-03 18:31:30
15031,lambdageek,referenced,3954267336,2020-11-03 18:31:30
15030,lambdageek,referenced,3954267330,2020-11-03 18:31:30
15031,lambdageek,referenced,3954258956,2020-11-03 18:29:10
15030,lambdageek,referenced,3954258951,2020-11-03 18:29:10
15029,lambdageek,referenced,3954088483,2020-11-03 17:44:11
15029,lambdageek,referenced,3954085586,2020-11-03 17:43:23
15029,lambdageek,closed,3954085394,2020-11-03 17:43:20
19899,Cliffy786,subscribed,3953611665,2020-11-03 16:00:30
19899,Cliffy786,mentioned,3953611661,2020-11-03 16:00:30
20533,cartermp,subscribed,3952229631,2020-11-03 10:46:22
20533,cartermp,mentioned,3952229623,2020-11-03 10:46:22
20533,akoeplinger,subscribed,3952229612,2020-11-03 10:46:22
20533,akoeplinger,mentioned,3952229604,2020-11-03 10:46:22
20533,dsyme,subscribed,3952183659,2020-11-03 10:35:22
20533,dsyme,mentioned,3952183657,2020-11-03 10:35:22
20494,alraziqij,subscribed,3950941631,2020-11-03 03:07:13
15029,monojenkins,referenced,3949945639,2020-11-02 20:29:12
20531,AshleighAdams,referenced,3944292593,2020-10-31 16:41:19
20250,radical,subscribed,3942289263,2020-10-30 17:18:24
20250,radical,mentioned,3942289250,2020-10-30 17:18:23
20485,marek-safar,added_to_project,3941971330,2020-10-30 16:05:11
20485,steveisok,subscribed,3941970630,2020-10-30 16:05:02
20485,steveisok,mentioned,3941970626,2020-10-30 16:05:02
20485,Therzok,subscribed,3941970617,2020-10-30 16:05:02
20485,Therzok,mentioned,3941970609,2020-10-30 16:05:02
20520,CoffeeFlux,closed,3928903785,2020-10-28 01:14:27
20153,CoffeeFlux,closed,3927723537,2020-10-27 19:17:23
20519,lambdageek,subscribed,3925383457,2020-10-27 11:25:55
20519,lambdageek,mentioned,3925383452,2020-10-27 11:25:55
20519,vargaz,subscribed,3925383448,2020-10-27 11:25:55
20519,vargaz,mentioned,3925383442,2020-10-27 11:25:55
20519,marek-safar,labeled,3925381967,2020-10-27 11:25:31
20519,mig42,subscribed,3925364897,2020-10-27 11:21:13
20519,mig42,mentioned,3925364891,2020-10-27 11:21:13
16763,akoeplinger,moved_columns_in_project,3925236449,2020-10-27 10:51:34
16763,akoeplinger,closed,3925236390,2020-10-27 10:51:33
16763,akoeplinger,referenced,3924784170,2020-10-27 09:12:53
20311,akoeplinger,labeled,3921556880,2020-10-26 16:07:15
20311,akoeplinger,closed,3921556339,2020-10-26 16:07:09
18123,akoeplinger,moved_columns_in_project,3920128427,2020-10-26 11:04:19
18123,akoeplinger,reopened,3920128341,2020-10-26 11:04:18
7878,radical,moved_columns_in_project,3919612182,2020-10-26 09:04:22
7878,radical,closed,3919612140,2020-10-26 09:04:22
18123,steveisok,moved_columns_in_project,3915274367,2020-10-23 18:53:02
18123,steveisok,closed,3915274305,2020-10-23 18:53:01
18568,steveisok,closed,3915271291,2020-10-23 18:52:29
18123,steveisok,subscribed,3915213215,2020-10-23 18:37:04
18123,steveisok,mentioned,3915213204,2020-10-23 18:37:04
18568,EgorBo,subscribed,3915211224,2020-10-23 18:36:29
18568,EgorBo,mentioned,3915211221,2020-10-23 18:36:29
18568,steveisok,subscribed,3915211214,2020-10-23 18:36:29
18568,steveisok,mentioned,3915211211,2020-10-23 18:36:29
20503,lambdageek,referenced,3914865481,2020-10-23 16:59:39
20503,lambdageek,referenced,3914865266,2020-10-23 16:59:35
20503,lambdageek,closed,3914864898,2020-10-23 16:59:30
7878,radical,subscribed,3914637720,2020-10-23 16:00:25
7878,radical,mentioned,3914637717,2020-10-23 16:00:25
20497,akoeplinger,labeled,3913743827,2020-10-23 12:39:05
20497,directhex,subscribed,3913742474,2020-10-23 12:38:43
20497,directhex,mentioned,3913742468,2020-10-23 12:38:43
20510,MaximLipnin,subscribed,3910872126,2020-10-22 19:49:28
20510,MaximLipnin,mentioned,3910872123,2020-10-22 19:49:28
20510,MaximLipnin,assigned,3910870528,2020-10-22 19:49:00
20510,chamons,subscribed,3910860426,2020-10-22 19:46:20
20510,chamons,mentioned,3910860420,2020-10-22 19:46:20
20510,kiranbasvaraj,subscribed,3910860401,2020-10-22 19:46:20
20510,kiranbasvaraj,mentioned,3910860397,2020-10-22 19:46:20
20510,StephaneDelcroix,subscribed,3910860394,2020-10-22 19:46:20
20510,StephaneDelcroix,mentioned,3910860388,2020-10-22 19:46:20
20510,StephaneDelcroix,subscribed,3910860347,2020-10-22 19:46:19
20510,StephaneDelcroix,mentioned,3910860344,2020-10-22 19:46:19
20510,kiranbasvaraj,subscribed,3910860317,2020-10-22 19:46:18
20510,kiranbasvaraj,mentioned,3910860315,2020-10-22 19:46:18
20510,samhouts,subscribed,3910860312,2020-10-22 19:46:18
20510,samhouts,mentioned,3910860309,2020-10-22 19:46:18
20510,kiranbasvaraj,subscribed,3910860277,2020-10-22 19:46:17
20510,kiranbasvaraj,mentioned,3910860271,2020-10-22 19:46:17
20509,lambdageek,labeled,3910737938,2020-10-22 19:14:40
20503,monojenkins,referenced,3910462308,2020-10-22 18:06:46
20503,lambdageek,referenced,3910443283,2020-10-22 18:02:20
20503,lambdageek,renamed,3910384054,2020-10-22 17:48:21
20503,lambdageek,unlabeled,3910376387,2020-10-22 17:46:30
20503,lambdageek,labeled,3910376152,2020-10-22 17:46:26
20367,UnityAlex,referenced,3910158118,2020-10-22 16:56:40
20503,lambdageek,labeled,3909552283,2020-10-22 14:55:51
20503,RamaSpaceShip,subscribed,3909551940,2020-10-22 14:55:47
20503,RamaSpaceShip,mentioned,3909551919,2020-10-22 14:55:47
20035,lambdageek,labeled,3909516445,2020-10-22 14:49:21
20035,lambdageek,labeled,3909516037,2020-10-22 14:49:17
20035,ryan-bunker,subscribed,3909515413,2020-10-22 14:49:11
20035,ryan-bunker,mentioned,3909515402,2020-10-22 14:49:11
20494,lambdageek,labeled,3909377946,2020-10-22 14:24:48
20494,lambdageek,unlabeled,3909377943,2020-10-22 14:24:48
20494,lambdageek,renamed,3909364308,2020-10-22 14:22:34
20494,lambdageek,subscribed,3908123057,2020-10-22 09:45:43
20494,lambdageek,mentioned,3908123052,2020-10-22 09:45:43
16763,marek-safar,subscribed,3905402501,2020-10-21 18:37:50
16763,marek-safar,mentioned,3905402498,2020-10-21 18:37:50
20494,SamMonoRT,subscribed,3904432946,2020-10-21 15:05:15
20494,SamMonoRT,mentioned,3904432931,2020-10-21 15:05:15
20494,CoffeeFlux,subscribed,3904432916,2020-10-21 15:05:15
20494,CoffeeFlux,mentioned,3904432901,2020-10-21 15:05:15
20494,marek-safar,added_to_project,3904317614,2020-10-21 14:44:57
20250,radical,subscribed,3904288090,2020-10-21 14:39:28
20250,radical,mentioned,3904288085,2020-10-21 14:39:27
20250,rainersigwald,subscribed,3904067913,2020-10-21 13:59:26
20250,rainersigwald,mentioned,3904067903,2020-10-21 13:59:26
20494,marek-safar,subscribed,3904007613,2020-10-21 13:48:57
20494,marek-safar,mentioned,3904007605,2020-10-21 13:48:57
20250,lewing,subscribed,3902784378,2020-10-21 09:15:10
20250,lewing,mentioned,3902784372,2020-10-21 09:15:10
20250,radical,subscribed,3902784368,2020-10-21 09:15:10
20250,radical,mentioned,3902784364,2020-10-21 09:15:10
20494,marek-safar,labeled,3902494513,2020-10-21 08:09:34
20494,marek-safar,subscribed,3900429829,2020-10-20 19:26:59
20494,marek-safar,mentioned,3900429822,2020-10-20 19:26:59
20490,lambdageek,closed,3900229289,2020-10-20 18:37:19
20490,lambdageek,referenced,3900222552,2020-10-20 18:35:33
20490,monojenkins,referenced,3899163249,2020-10-20 14:47:08
20490,lambdageek,referenced,3899155520,2020-10-20 14:45:42
20490,lambdageek,referenced,3899154730,2020-10-20 14:45:34
20493,kiranbasvaraj,closed,3898521419,2020-10-20 12:51:04
20490,monojenkins,referenced,3895211280,2020-10-19 19:41:23
20490,lambdageek,referenced,3895191380,2020-10-19 19:36:38
20490,lambdageek,assigned,3894726908,2020-10-19 17:43:16
20490,lambdageek,labeled,3894677198,2020-10-19 17:33:28
20490,lambdageek,labeled,3894677195,2020-10-19 17:33:28
20490,SeRgI1982,subscribed,3894626905,2020-10-19 17:21:44
20490,SeRgI1982,mentioned,3894626901,2020-10-19 17:21:44
12182,imhameed,subscribed,3887839410,2020-10-16 19:14:30
12182,imhameed,mentioned,3887839409,2020-10-16 19:14:30
12182,vargaz,subscribed,3887839403,2020-10-16 19:14:30
12182,vargaz,mentioned,3887839385,2020-10-16 19:14:29
20340,roslynn,subscribed,3883118637,2020-10-15 18:57:08
20340,roslynn,mentioned,3883118634,2020-10-15 18:57:08
20434,SamMonoRT,subscribed,3882422130,2020-10-15 16:08:06
20434,SamMonoRT,mentioned,3882422126,2020-10-15 16:08:06
20485,slluis,demilestoned,3882290462,2020-10-15 15:41:13
20485,slluis,milestoned,3882289097,2020-10-15 15:40:57
20486,jeromelaban,referenced,3882179475,2020-10-15 15:19:31
20482,akoeplinger,closed,3882134923,2020-10-15 15:11:34
20340,HinTak,subscribed,3882090452,2020-10-15 15:03:03
20340,HinTak,mentioned,3882090445,2020-10-15 15:03:03
15815,roslynn,subscribed,3879357016,2020-10-15 03:08:28
15815,roslynn,mentioned,3879357015,2020-10-15 03:08:28
15815,roslynn,subscribed,3879181667,2020-10-15 01:38:56
15815,roslynn,mentioned,3879181664,2020-10-15 01:38:56
15815,marek-safar,subscribed,3879181660,2020-10-15 01:38:56
15815,marek-safar,mentioned,3879181656,2020-10-15 01:38:56
20340,roslynn,subscribed,3877512473,2020-10-14 16:35:46
20340,roslynn,mentioned,3877512467,2020-10-14 16:35:46
20340,roslynn,subscribed,3877471467,2020-10-14 16:26:04
20340,roslynn,mentioned,3877471462,2020-10-14 16:26:04
20340,roslynn,subscribed,3877454838,2020-10-14 16:22:12
20340,roslynn,mentioned,3877454834,2020-10-14 16:22:12
20477,akoeplinger,closed,3876129713,2020-10-14 11:40:08
20340,HinTak,subscribed,3875880964,2020-10-14 10:33:31
20340,HinTak,mentioned,3875880959,2020-10-14 10:33:31
20461,Rombersoft,subscribed,3873154647,2020-10-13 19:28:54
20461,Rombersoft,mentioned,3873154639,2020-10-13 19:28:54
20477,lateralusX,subscribed,3872759236,2020-10-13 17:55:24
20477,lateralusX,mentioned,3872759226,2020-10-13 17:55:24
20477,lambdageek,labeled,3872758311,2020-10-13 17:55:11
20477,lambdageek,labeled,3872758310,2020-10-13 17:55:11
20458,joncham,reopened,3872089543,2020-10-13 15:39:15
20458,joncham,closed,3872089144,2020-10-13 15:39:11
18560,xamarin-release-manager,referenced,3869268932,2020-10-13 04:53:56
19893,radical,subscribed,3868428079,2020-10-12 21:47:52
19893,radical,mentioned,3868428077,2020-10-12 21:47:52
19893,MaximLipnin,subscribed,3868188260,2020-10-12 20:29:23
19893,MaximLipnin,mentioned,3868188258,2020-10-12 20:29:23
19893,MaximLipnin,assigned,3866562584,2020-10-12 13:09:44
19893,KirillOsenkov,subscribed,3862523509,2020-10-10 08:25:50
19893,KirillOsenkov,mentioned,3862523508,2020-10-10 08:25:50
19893,steveisok,subscribed,3862523506,2020-10-10 08:25:50
19893,steveisok,mentioned,3862523502,2020-10-10 08:25:50
19893,marek-safar,labeled,3862513189,2020-10-10 08:12:29
19893,marek-safar,subscribed,3861368022,2020-10-09 18:37:19
19893,marek-safar,mentioned,3861368017,2020-10-09 18:37:19
19893,radical,subscribed,3861368008,2020-10-09 18:37:19
19893,radical,mentioned,3861368003,2020-10-09 18:37:19
15418,lambdageek,closed,3860838520,2020-10-09 16:02:51
15418,lambdageek,referenced,3860463093,2020-10-09 14:34:31
