commit_sha,pull_no,issue_no
b70dd6a79e87284fa2b60410d0e09c84080dbd5a,20594,None
69dbe53ae83148f4b65e0fa0bcf100b381c1345a,20587,None
0e3d75d6d6d6b6c404a6d02f22137262f0107d6b,20573,None
d7c86facd3f2372214f54569313c422532248e5a,20560,None
a12aeedba4d5d9a13df3a08029fae29d6f4eec99,None,None
5f7292738966fe25f66ade533f56414b20e1ceda,None,None
5dd48c6f7ade14b3d4dc1ebf0ed76178d7379136,None,None
c6ca0aa05626075063698164c797b16dbccd0c54,20537,None
19acde98f1193ec54c8107b1ba3f39261cde5894,20517,None
5f6c4eb7b7a4a05d15c0bbc259b302d3a6ad6502,20553,None
8513b8bbc40cd841fc78cca21ff7e51f481ab7cd,None,None
0ec320efe1628a8348e33358b8f49066afe195e5,None,None
cc30c2d5e3cdb84209bb6757bf75fb9df0d73aaa,20518,None
55e3b04680457179d19c420150c285e188e5318d,None,None
9af80327e4032121e18992091799f4deda183d4d,20500,None
d97a1e72203f3ea99be23a9da2e655f4522b1283,None,None
e2b40c2d5007f43d614ef55a1b5c91ad02f7d3db,20504,None
1547af6a278321d5dbc56a63f18b2380c757608e,20508,None
301fa51b27d1b59c7388862376456811b1e049ab,20487,None
2304610fb8b2ba94556ed399e2244ec0e01c75e0,20492,None
ae5d46c05a49cb56a19704bba74b5b9b4aefae9f,20466,None
c90d009ab9f9634adda03f6e4edf6c206e7ecd9d,None,None
f56a7117879de13740731ff0887cf7b5b0010c2d,20483,None
e1f4a963eab183691a0bd46ec364c2e0724cbf81,18959,None
7e179518a9aa399abb8fadbf6ed9cc136164be51,20480,None
dee4a8521b091727107d95b54e19dec59faba200,20476,None
a4d35026d6d4502b2ebe80efe7fb0ce8d0443edb,20472,None
6c17d647cbdedf73261932c4efe29c5ea91c6f5f,20464,None
f19707813d98bf21bfaea21854f180f37bad9cf3,20465,None
674913169b5fa760e2b1bd426becca03c5c62cb5,20474,None
6ae588dabd9c36c3691b61b5674493c41b5617e7,20471,None
786168b8254cc24130f5a0a3e85238a51c6f273a,20463,None
d3671116127e29b96daf513cc77bba419c177db4,20470,None
33995947275853280207e2ecbcf42578ffe087b6,20467,None
66802b505b070721550593915d01aab91f1c932e,20469,None
4dd414b6ca6c772f438fe92b7fa44cd37b6b5047,20435,None
22e81d941c00d0106e358bcccae89cb634985174,20453,None
cd4ccd7e56fe637d995653c2f4278ace5b7723ba,20448,None
f9b552be0200a662b3b5d4a1988eccd4a1572160,20454,None
