pull_no,found_id,is_issue,is_pull_request
20593,44908,False,False
20591,44898,False,False
20590,44843,False,False
20589,44505,False,False
20586,44809,False,False
20584,44791,False,False
20583,44783,False,False
20582,44760,False,False
20580,20510,True,False
20574,20573,False,True
20570,44527,False,False
20565,44468,False,False
20556,44345,False,False
20554,44305,False,False
20551,44291,False,False
20550,44290,False,False
20548,20100,False,True
20547,44235,False,False
20546,44217,False,False
20545,44171,False,False
20543,44188,False,False
20541,44124,False,False
20539,44129,False,False
20538,44128,False,False
20536,44092,False,False
20535,44081,False,False
20534,44046,False,False
20532,43729,False,False
20532,44047,False,False
20530,44024,False,False
20529,44022,False,False
20527,44005,False,False
20526,43960,False,False
20524,43946,False,False
20523,43945,False,False
20521,43893,False,False
20516,43830,False,False
20515,43808,False,False
20514,43798,False,False
20512,43738,False,False
20507,43729,False,False
20502,43715,False,False
20498,43512,False,False
20496,43647,False,False
20491,43592,False,False
20488,43536,False,False
20481,43421,False,False
20479,41751,False,False
20475,43264,False,False
20459,43073,False,False
20455,43009,False,False
20450,42951,False,False
20446,42920,False,False
20439,42816,False,False
20429,42648,False,False
20428,42647,False,False
20427,42388,False,False
20426,42639,False,False
20424,42476,False,False
20419,42532,False,False
20411,42227,False,False
20411,42299,False,False
20399,42286,False,False
20396,42255,False,False
20391,42227,False,False
20389,19784,True,False
20389,19784,True,False
20389,19798,False,True
20385,42206,False,False
20383,42182,False,False
20376,42119,False,False
20373,42095,False,False
20371,42072,False,False
20370,42059,False,False
20368,42042,False,False
20366,42018,False,False
20365,20360,False,True
20363,41994,False,False
20359,20332,False,True
20353,41911,False,False
20351,41872,False,False
20348,41860,False,False
20347,18606,True,False
20338,41754,False,False
20334,41713,False,False
20333,41710,False,False
20331,41685,False,False
20326,41562,False,False
20325,41559,False,False
20320,41510,False,False
20319,20313,False,True
20318,41480,False,False
20317,41468,False,False
20315,41466,False,False
20314,4927,True,True
20313,41440,False,False
20312,41432,False,False
20309,41316,False,False
20308,41358,False,False
20306,41344,False,False
20303,41334,False,False
20292,41229,False,False
20291,41228,False,False
20288,19957,True,False
20286,41186,False,False
20284,40990,False,False
20280,41158,False,False
20279,41157,False,False
20278,41152,False,False
20274,41098,False,False
20269,41067,False,False
20268,41055,False,False
20265,40990,False,False
20264,40985,False,False
20259,40925,False,False
20254,40891,False,False
20253,40861,False,False
20251,40845,False,False
20246,40819,False,False
20245,40818,False,False
20243,40811,False,False
20240,40742,False,False
20239,20238,False,True
20236,40728,False,False
20234,40710,False,False
20233,40705,False,False
20230,40686,False,False
20225,40614,False,False
20222,40548,False,False
20221,40472,False,False
20220,19785,True,False
20219,20218,True,False
20216,40486,False,False
20215,40480,False,False
20212,40405,False,False
20211,20209,True,False
20210,40384,False,False
20206,40326,False,False
20204,40325,False,False
20203,40324,False,False
20201,40286,False,False
20199,40266,False,False
20198,40263,False,False
20180,40079,False,False
20179,40071,False,False
20178,40069,False,False
20176,40041,False,False
20174,40017,False,False
20173,40005,False,False
20171,38803,False,False
20171,40000,False,False
20170,39997,False,False
20169,39301,False,False
20168,39970,False,False
20167,39965,False,False
20163,39920,False,False
20158,20157,False,True
20155,39856,False,False
20148,39774,False,False
20145,39700,False,False
20144,14241,True,False
20139,39549,False,False
20134,39517,False,False
20132,39479,False,False
20131,38823,False,False
20129,39446,False,False
20118,39322,False,False
20115,39271,False,False
20114,20113,False,True
20113,39260,False,False
20110,39205,False,False
20108,39195,False,False
20106,39178,False,False
20100,35008,False,False
20097,39045,False,False
20095,38991,False,False
20093,38989,False,False
20091,38977,False,False
20090,38975,False,False
20089,38960,False,False
20088,38953,False,False
20084,38927,False,False
20083,20075,True,False
20080,19955,True,False
20077,38547,False,False
20074,38818,False,False
20073,38813,False,False
20071,38809,False,False
20061,38735,False,False
20060,38728,False,False
20056,38690,False,False
20054,38659,False,False
20052,38646,False,False
20050,20049,True,False
20043,20015,False,True
20042,38569,False,False
20041,38561,False,False
20039,38449,False,False
20033,19926,False,True
20030,38449,False,False
20029,37971,False,False
20028,20022,False,True
20028,19973,False,True
20013,19794,False,True
20010,38256,False,False
20004,38225,False,False
20001,19612,True,False
19983,38057,False,False
19982,37770,False,False
19981,38029,False,False
19978,19901,False,True
19974,37920,False,False
19967,37811,False,False
19960,37768,False,False
19959,37765,False,False
19945,37670,False,False
19941,37653,False,False
19934,37565,False,False
19932,37560,False,False
19930,37544,False,False
19927,37516,False,False
19916,37458,False,False
19915,37457,False,False
19914,7167,True,False
19910,37424,False,False
19906,37376,False,False
19903,37264,False,False
19903,37340,False,False
19896,19755,True,False
19894,37283,False,False
19889,37251,False,False
19880,37172,False,False
19878,37160,False,False
19876,19803,True,False
19875,37153,False,False
19871,37135,False,False
19870,36589,False,False
19864,37008,False,False
19852,37037,False,False
19851,37036,False,False
19845,37004,False,False
19830,36835,False,False
19818,36346,False,False
19817,36788,False,False
19799,36658,False,False
19798,19784,True,False
19798,19784,True,False
19796,36604,False,False
19795,36602,False,False
19779,36435,False,False
19777,36369,False,False
19742,36116,False,False
19739,19736,False,True
19738,19735,False,True
19729,35952,False,False
19724,35907,False,False
19716,19688,False,True
19716,19688,False,True
19715,19647,False,True
19713,19709,False,True
19710,19704,False,True
19708,35778,False,False
19706,34064,False,False
19699,35790,False,False
19696,35778,False,False
19692,35766,False,False
19683,35686,False,False
19672,35565,False,False
19659,35524,False,False
19656,19646,False,True
19652,35448,False,False
19641,19466,True,False
19640,19466,True,False
19635,19624,False,True
19633,19538,False,True
19620,19466,True,False
19615,19590,False,True
19599,35197,False,False
19598,35191,False,False
19597,35190,False,False
19592,19584,False,True
19581,19537,False,True
19577,19449,False,True
19569,35081,False,False
19568,19482,False,True
19566,19564,False,True
19560,35053,False,False
19553,34880,False,False
19548,19525,False,True
19543,34965,False,False
19540,34951,False,False
19539,34949,False,False
19526,19525,False,True
19522,34880,False,False
19502,34814,False,False
19491,34757,False,False
19476,18865,True,False
19476,19442,False,True
19473,19318,False,True
19472,34600,False,False
19469,19444,False,True
19468,19444,False,True
19468,19444,False,True
19462,34629,False,False
19459,34602,False,False
19458,34601,False,False
19452,18606,True,False
19442,18865,True,False
19438,34536,False,False
19423,18284,False,True
19423,18285,False,True
19423,18197,False,True
19419,19361,False,True
19415,34436,False,False
19414,34436,False,False
19407,34398,False,False
19397,34350,False,False
19391,19389,True,False
19391,19390,False,True
19390,19389,True,False
19387,34319,False,False
19375,34298,False,False
19374,19361,False,True
19371,34284,False,False
19370,34281,False,False
19366,32592,False,False
19351,34219,False,False
19349,34212,False,False
19344,34190,False,False
19343,19103,False,True
19340,34182,False,False
19329,34120,False,False
19305,34047,False,False
19304,34038,False,False
19303,34037,False,False
19296,34005,False,False
19291,33966,False,False
19282,33941,False,False
19281,33940,False,False
19280,33938,False,False
19279,33937,False,False
19272,33869,False,False
19271,33857,False,False
19270,33853,False,False
19263,33761,False,False
19262,33754,False,False
19261,33754,False,False
19259,33736,False,False
19254,33726,False,False
19253,33723,False,False
19251,33717,False,False
19247,33694,False,False
19243,19240,False,True
19242,19240,False,True
19234,18528,True,False
19225,33591,False,False
19222,33574,False,False
19220,1080409,False,False
19215,33547,False,False
19212,17303,False,True
19212,17303,False,True
19212,15754,False,True
19187,33465,False,False
19173,33425,False,False
19172,33421,False,False
19155,33356,False,False
19152,19151,False,True
19135,33253,False,False
19124,19080,False,True
19124,19080,False,True
19121,18917,True,False
19121,18962,False,True
19112,33117,False,False
19110,18795,True,False
19109,33103,False,False
19108,33100,False,False
19101,33056,False,False
19094,33043,False,False
19085,32985,False,False
19083,32974,False,False
19075,18713,False,True
19069,32934,False,False
19050,19049,False,True
19046,18232,True,False
19041,32857,False,False
19033,32798,False,False
19027,32789,False,False
19014,32742,False,False
19013,32740,False,False
18993,18991,False,True
18984,32640,False,False
18983,32640,False,False
18976,32645,False,False
18972,32640,False,False
18967,32622,False,False
18962,18917,True,False
18958,18930,True,False
18944,32567,False,False
18940,32560,False,False
18939,18828,False,True
18938,32556,False,False
18937,18926,True,False
18936,1069059,False,False
18920,18863,False,True
18918,32502,False,False
18908,16741,True,False
18908,16741,True,False
18907,16741,True,False
18907,16741,True,False
18885,18884,False,True
18867,32329,False,False
18866,32328,False,False
18860,32313,False,False
18852,32273,False,False
18850,32263,False,False
18845,18844,False,True
18836,16741,True,False
18836,16741,True,False
18835,18832,False,True
18834,18832,False,True
18833,18832,False,True
18831,18783,False,True
18830,18783,False,True
18829,18783,False,True
18812,32194,False,False
18810,32181,False,False
18807,18775,False,True
18800,32138,False,False
18799,32136,False,False
18797,32130,False,False
18793,32116,False,False
18755,31933,False,False
18744,18741,False,True
18743,18741,False,True
18742,18741,False,True
18733,18731,False,True
18732,18731,False,True
18720,31814,False,False
18708,18656,False,True
18690,31691,False,False
18688,31684,False,False
18686,31683,False,False
18684,18652,True,False
18683,28819,False,False
18682,31670,False,False
18680,31670,False,False
18665,18554,True,False
18659,31618,False,False
18655,16243,True,False
18653,18644,False,True
18647,18628,True,False
18636,2397,True,True
18635,2393,True,True
18634,15544,True,False
18632,2386,True,True
18620,18619,False,True
18610,2321,False,True
18563,2142,True,True
18562,18552,False,True
18561,2108,False,True
18559,2098,True,True
18546,2065,True,True
18541,18506,True,False
18539,18467,True,False
18539,16648,True,False
18537,18191,True,False
18529,18455,True,False
18529,18496,False,True
18525,18524,True,False
18502,18106,True,False
18496,18455,True,False
18489,18417,True,False
18487,18478,False,True
18486,18478,False,True
18485,18106,True,False
18485,18463,False,True
18470,18190,False,True
18463,18106,True,False
18461,18454,False,True
18460,18454,False,True
18459,18388,True,False
18459,18457,False,True
18458,18388,True,False
18458,18457,False,True
18457,18388,True,False
18456,18446,False,True
18415,18401,False,True
18390,18180,True,False
18390,18385,False,True
18389,18030,True,False
18385,18180,True,False
18369,18296,False,True
18366,18334,False,True
18365,18334,False,True
18363,18325,False,True
18362,18325,False,True
18333,17601,True,False
18333,16588,True,False
18329,18317,True,False
18329,18318,False,True
18322,16513,True,False
18322,18302,False,True
18321,16513,True,False
18321,18302,False,True
18318,18317,True,False
18309,17601,True,False
18309,16588,True,False
18302,16513,True,False
18301,18296,False,True
18285,18284,False,True
18280,18227,True,False
18275,17710,True,False
18272,15195,True,False
18255,18253,True,False
18216,7095,True,False
18116,17838,False,True
18101,7095,True,False
18099,18090,False,True
18069,10643,True,False
18069,10643,True,False
18066,37583,False,False
18065,18041,False,True
18049,18019,True,False
18049,18019,True,False
18044,18020,True,False
18044,18020,True,False
18027,18000,False,True
18026,18000,False,True
18025,12022,True,False
18025,12022,True,False
18022,12022,True,False
18010,17897,True,False
18010,17992,False,True
17999,17986,False,True
17998,17968,False,True
17995,17869,True,False
17995,17963,False,True
17992,17897,True,False
17991,17986,False,True
17988,17869,True,False
17988,17963,False,True
17984,17968,False,True
17981,17980,True,False
17974,9726,True,False
17974,9726,True,False
17972,13552,True,False
17963,17869,True,False
17961,17832,False,True
17958,17956,False,True
17905,3571,True,True
17904,17832,False,True
17882,16763,True,False
17855,17817,True,False
17855,17817,True,False
17851,17838,False,True
17848,17847,False,True
17842,17270,False,True
17821,17808,True,False
17815,17814,True,False
17791,17785,False,True
17786,17785,False,True
17763,17726,True,False
17763,17723,False,True
17762,17726,True,False
17762,17723,False,True
17755,16557,True,False
17755,16557,True,False
17745,17589,False,True
17741,17738,False,True
17723,17726,True,False
17719,14828,True,False
17701,17693,True,False
17688,17666,False,True
17676,13777,True,False
17676,13777,True,False
17670,17546,True,False
17669,16632,True,False
17668,17667,False,True
17663,17631,False,True
17662,12249,True,False
17660,10559,True,False
17645,17628,False,True
17627,17583,False,True
17626,17583,False,True
17622,367,False,True
17622,17133,True,False
17622,17133,True,False
17622,17590,False,True
17621,367,False,True
