pull_no,comment_no,comment_body
444,1514215,b'try {\n..\n} catch { \n..\n}\n'
444,1514216,b'Same here\n'
2750,55879252,b'Fixed.\n'
2804,57744364,b'Will update the patch with this and use IKVM.Reflection now.\n'
2804,57744563,"b""I tested this with the assembly having a custom attribute from an assembly which was not available when `al` was run, and it didn't crash. This is the exact use case that I am trying to fix here in fact.\n"""
2804,58388738,"b""If I use `ResolveMissingMembers` and don't create the Missing assemblies, then `asm.__GetCustomAttributes` tries to load referenced assemblies via `ReflectionOnlyLoad` and that crashes. I haven't been able to figure out how `__IsMissing` can be useful here.\n"""
2804,58399318,"b""Using `Universe::Mscorlib` would not be correct here, because the template assembly might not be referencing the same mscorlib as the one used by the executing assembly. Eg. if the template assembly is from `Xamarin.Android`, then the versions wouldn't match. In any case, we don't need to match the version. We just want to check that the attribute is from an assembly named `mscorlib`.\n"""
2804,58617242,"b'The `AssemblyName` instance gets populated before the call to this function, hence the use of `ref`.\n'"
2804,58617372,"b""AFAICS, this is required. I found only one relevant define - `NO_SYMBOL_WRITER`, but it isn't enough to not require referencing this assembly.\n"""
2804,58624095,"b'Oops, fixing! thanks!\n'"
