group,elements
0,16191,870aec4aadfd8b523b62070137643b0cc3a97399
1,15895,44ff0597b835d0af62f526169dba3b365c9c3411
2,15964,dfbf1a1bd3a792997461f8a43bdb6b5bf7738382
3,16262,b654aa1ca858666539a677e96d00f594fd81c630
4,16158,6c05cfab5996387321164d84c267d3100b6bfb66
5,16257,764091677eb717da8cf5799c2b625fd529c3e93a
6,16278,b6c499631eec3981e0dc07fbc4a5c31150e4c8e8
7,16261,5461fb78c745ab48cb97f8b7c65a08632f725102
8,16228,35fc20b6375b338f8b9965fecfebb5e815e42c55
9,16134,0c637a73a9663bf6ca984037c4a5eac16ac91913
10,16120,4dca4f66197fa118b02593b54f79570367ab46d2
11,16247,da2c0159e9736ebb7f6d8fbe1ebc8671e4cab7e7
12,16263,4d9e6ae20e536394c9ff65c61238045db294c08e
13,16268,f52bfb94d514d65d1a1532d2956b4099266da607
14,13990,66afab580309acb23a5ed022a2e424c400907c65
15,14150,e54f03168d223debdab1717eb24055662211e4f8
16,16388,029467271ee2b0907565555de467b494d48edacb,325bbf541b08b8a829536e865f24807207282193,c1d01679c56b9e75d99dcf7e94bf28508eec422a,fb7895dddfc12fe33a5e3abf528ec3e195c1a3ff,bf04a1946f1b8018469878fb1f98d80f9985a9d7,37086aa1c4b9c070021d995cd2d8a2ce863ac59b,53939d0790896a527abec02b42cfaa42b0a269d5,cfb4afff4372fa129869afc9a30aed8d7264eed5,0754f5ebe57c32b879cc98c98d653ba5c6e6b818,65360da5d9801c35c7b77b7b573d64e2f907723d,56f44379d0eaf22fca1980ef7023032e37ce2bd4,dc8aeba59346c59703bd5d69974a9a63c7c02840,f913945e76e5df1ee80a204a43df8770a7af0dd9,b65443f324d39f9006b1b8b8e5e9a96097a2123f,6caa530970926c1b16f27e7b0574e4ca89f91e7f,bfce92d9dd995d24f2563fef36ac77d2a15dee8f,93ff9dab7be9a31d64eb44effa1106dc063e82a7,cdb77f1391b434b6cd59f158eecbc6f42717605c,707db63569617dc624ac27bb82b31181a8230525,f6b2befe8d3ea05afbee2dad1819a2b99aedd3ee,f7dcc20bc63febff0b8c800ec2fbcfcc16f7e252,b88d67d5641df6d60233fa582c67f31c97de3a45,4acfcef038133d4944b342d87088e38896d1c990,bfe5e1efd36c5f3c68d967028b20869309f8e061
17,16256,1e457cdd1e5b1efc8860ab58a9fb7a00c82bc0c2
18,15954,16a81cf520d82a9e4c0ff10654a627e55dc51b58
19,16300,6847508d2a0a161cfe11f7376d0d914d3d80c720,ad713a70ef1f7b7a82f5b7213f889fe1be3895a1,1822f2faab3e58199ed33560e18ebabad7da06e6,d02695ef47ccf628d77cceae13dbb756fbf2ce22,279676f43ed0c310fdc2146e3cceb40561ddf04a,f6b0c9b7723a2e992e1728ab4782d8331048eef7
20,16272,0c6cb9fbc3f97e15acf6be07eb46c19a288b3937,9001c4fa83aa2327038627e9f003ce9432a8e8d5
