pull_id,pull_no,total_commits
524113589,20597,1
523910075,20596,1
523860883,20595,1
523657463,20594,1
523594440,20593,1
523498059,20591,1
522874277,20590,1
522724239,20589,1
522629672,20587,1
522572597,20586,1
522300960,20584,1
522206767,20583,1
521981441,20582,1
521855944,20581,1
521798342,20580,1
520505817,20574,1
520497893,20573,1
519262555,20570,1
518736496,20566,4
518579138,20565,1
518049427,20560,1
517934127,20559,1
516479368,20556,1
516387566,20555,1
516152993,20554,1
516107836,20553,2
516098361,20552,2
516026694,20551,1
516017579,20550,1
515579763,20548,1
515126319,20547,1
514961434,20546,1
514895516,20545,1
514665182,20543,1
514066383,20541,2
513749694,20540,1
513703143,20539,1
513697144,20538,1
513689565,20537,3
513335897,20536,1
513274452,20535,1
513269763,20534,1
512733061,20532,1
512384208,20530,1
512324141,20529,1
511991442,20527,1
511761581,20526,1
511577941,20524,1
511571799,20523,1
511185951,20522,1
510839624,20521,1
510380623,20518,2
510192817,20517,2
510165494,20516,1
509630399,20515,1
509448970,20514,1
508635343,20512,1
508521833,20511,1
508466019,20508,1
508389104,20507,1
508331083,20506,1
508292134,20504,1
508073259,20502,1
507603992,20501,1
507575777,20500,5
507478822,20499,1
507169897,20498,1
507021090,20496,1
506865597,20495,1
506231100,20492,1
506185768,20491,1
505073716,20488,1
504735924,20487,1
503875201,20483,1
503664494,20481,1
503166018,20480,1
503111289,20479,1
502309769,20476,1
501039772,20475,1
501012027,20474,3
500662803,20472,1
500630866,20471,1
500532665,20470,1
500112539,20469,1
500095477,20468,3
500039685,20467,3
500018114,20466,6
500013921,20465,1
499979647,20464,1
499838921,20463,1
498216888,20459,1
497389238,20455,1
497378196,20454,1
496942614,20453,5
496440280,20452,1
496439278,20451,1
496352829,20450,1
495909765,20448,2
495775796,20446,1
494501671,20442,1
494496671,20441,6
494304022,20440,1
494258956,20439,1
493970922,20438,1
493742614,20436,1
493361282,20435,12
492534138,20431,1
492153952,20430,1
492061821,20429,1
492055678,20428,1
492050048,20427,1
491994708,20426,1
491931664,20425,1
491194488,20424,1
490981361,20423,1
490392679,20419,1
490385724,20418,2
490016467,20414,5
489742214,20411,2
489576726,20410,6
489451334,20408,5
489022591,20406,1
488865433,20405,4
488280593,20400,6
487649521,20399,1
487392238,20396,1
487343036,20395,1
487328811,20394,3
487268928,20393,1
486936138,20391,1
486809060,20389,1
486748392,20386,2
486744003,20385,1
486215505,20383,1
486210909,20382,1
485434227,20379,2
485431799,20378,2
485162859,20376,1
485035617,20374,1
484385063,20373,1
484025754,20372,1
483865664,20371,1
483397352,20370,1
483180112,20368,1
482918924,20366,1
482389307,20365,1
482361133,20364,1
482335485,20363,1
482319985,20362,1
482196367,20361,1
482191928,20360,1
482176904,20359,1
482174157,20358,12
481977909,20357,1
480520092,20354,18
480487314,20353,1
479814697,20351,1
479668594,20350,1
479501811,20349,1
479459512,20348,1
479359017,20347,2
478651391,20342,1
478148271,20338,1
477378248,20334,1
477362958,20333,1
477358745,20332,5
477226542,20331,1
476530573,20330,5
475960718,20328,20
475840083,20326,1
475836290,20325,1
475716568,20323,1
475690688,20322,1
475648497,20321,3
475357916,20320,1
475283041,20319,1
474978604,20318,1
474913673,20317,1
474906530,20315,1
474864550,20314,1
474589400,20313,1
474515916,20312,1
473848494,20309,1
473495326,20308,1
473420234,20307,2
473398650,20306,1
473382814,20305,1
473273763,20303,1
472842839,20297,6
472151677,20293,1
472139547,20292,1
472131062,20291,1
471925507,20289,1
471923687,20288,1
471870012,20287,1
471866796,20286,1
471763928,20285,1
471757255,20284,1
471735980,20282,3
471701332,20281,1
471688679,20280,1
471679581,20279,1
471567080,20278,1
471259337,20277,6
471046054,20274,1
470812338,20271,1
470526644,20269,1
470461326,20268,1
470323034,20267,1
469605197,20265,1
469535237,20264,1
469253172,20262,1
468740599,20259,1
468352071,20254,1
468213465,20253,1
468181465,20252,2
468109659,20251,1
467969420,20249,3
467808407,20247,1
467763405,20246,1
467760351,20245,1
467742640,20244,2
467725998,20243,1
467579753,20242,6
467054640,20240,1
466991883,20239,1
466990958,20238,1
466919414,20236,1
466792830,20234,1
466709069,20233,1
466398892,20230,1
465852916,20227,1
465824118,20226,1
465518284,20225,1
464773363,20222,1
464725408,20221,1
464638189,20220,2
464613083,20219,1
464324807,20217,1
464234733,20216,1
464206871,20215,2
463722620,20213,1
463606888,20212,1
463570858,20211,1
463456314,20210,1
463078186,20206,1
462916477,20204,1
462915693,20203,1
462388018,20201,1
462194432,20199,1
462157028,20198,1
459768112,20192,1
459710287,20190,3
459607926,20189,1
459586560,20188,1
