pull_no,found_id,is_issue,is_pull_request
47976,47974,True,False
47968,45713,True,False
47968,45863,True,False
47960,46985,True,False
47951,47902,False,True
47949,46377,True,False
47944,47942,True,False
47943,46533,True,False
47936,47917,True,False
47929,42559,True,False
47929,47928,True,False
47916,47041,True,False
47902,47890,True,False
47898,46533,True,False
47893,47878,True,False
47881,42460,True,False
47877,44453,False,True
47872,47553,True,False
47870,47890,True,False
47869,47740,True,False
47868,47867,True,False
47866,47863,False,True
47857,46927,True,False
47851,46461,True,False
47841,47838,True,False
47834,47696,True,False
47833,47790,True,False
47831,45177,True,False
47827,41244,True,False
47819,47288,True,False
47818,47667,True,False
47805,47091,True,False
47804,47797,True,False
47777,47736,True,False
47756,47614,True,False
47733,47709,True,False
47732,44708,True,False
47725,47720,True,False
47718,47572,False,True
47715,47357,True,False
47712,43659,True,False
47710,43051,True,False
47708,44810,True,False
47697,45367,True,False
47693,47066,True,False
47686,46472,True,False
47679,47662,True,False
47675,47666,True,False
47671,45677,True,False
47668,45807,True,False
47657,44126,True,False
47653,45808,True,False
47649,44539,True,False
47645,47471,True,False
47644,46169,True,False
47590,47551,True,False
47579,47048,True,False
47576,9,True,False
47576,45519,True,False
47576,30145,True,False
47572,44174,True,False
47531,34017,False,True
47531,34017,False,True
47515,47513,True,False
47509,47537,False,True
47464,45815,True,False
47417,30794,True,False
47388,42941,True,False
47349,46875,True,False
47332,47308,True,False
47290,47281,False,True
47270,47266,True,False
47260,47222,False,True
47253,47214,True,False
47246,47231,True,False
47218,41411,True,False
47186,44724,True,False
47171,47352,True,False
47148,47197,True,False
47148,47198,True,False
47127,47145,True,False
47124,44341,True,False
47124,44341,True,False
47118,47074,True,False
47115,29273,True,False
47107,47115,False,True
47067,46950,True,False
47065,47064,True,False
47062,28044,True,False
47045,45770,True,False
47033,47001,True,False
47033,44329,True,False
47019,46996,True,False
47007,46575,True,False
46995,46984,True,False
46959,46703,False,True
46949,47211,True,False
46848,46666,False,True
46822,46778,False,True
46817,44848,False,True
46763,46758,True,False
46751,46713,False,True
46744,21227,True,False
46744,36214,True,False
46741,46578,False,True
46710,43258,True,False
46710,46487,True,False
46627,46621,True,False
46590,46504,False,True
46585,46504,False,True
46578,43485,False,True
46578,9,True,False
46564,22345,True,False
46563,24749,True,False
46558,46423,True,False
46551,46491,False,True
46548,46391,False,True
46531,46249,True,False
46524,38717,True,False
46521,46463,True,False
46509,22052,True,False
46495,46426,False,True
46475,46421,False,True
46471,46300,True,False
46469,46489,False,True
46441,46718,True,False
46441,46805,True,False
46416,46230,True,False
46369,44988,True,False
46366,1,True,False
46360,45993,False,True
46358,45993,False,True
46305,46304,True,False
46303,46302,True,False
46301,46195,True,False
46260,46237,False,True
46240,30198,True,False
46189,34637,True,False
46187,40160,True,False
