pull_id,pull_no,total_commits
496860947,48242,1
496793437,48241,1
496752066,48240,1
496700477,48237,1
496664800,48235,1
496654120,48234,27
496639068,48232,4
496613295,48231,2
496608970,48230,9
496608249,48229,1
496583979,48228,1
496570216,48227,16
496561676,48226,6
496556684,48225,3
496544942,48224,10
496544217,48223,9
496507314,48221,5
496495784,48220,9
496449640,48218,4
496417374,48217,59
496033964,48215,2
495984843,48213,3
495940933,48212,3
495914897,48211,15
495882615,48210,5
495820027,48208,1
495819941,48207,1
495793970,48205,5
495716072,48202,1
495702205,48201,8
495650014,48199,3
495648059,48198,4
495564311,48195,4
495473215,48194,1
495361451,48192,54
495360593,48191,1
495325396,48190,4
495287408,48188,6
495283336,48187,3
495242903,48186,3
495221229,48185,3
495183174,48184,2
495182160,48183,14
495178263,48182,2
495178173,48181,18
495177965,48180,2
495170517,48179,2
495163448,48178,3
495162336,48176,1
495152842,48173,9
495118412,48169,1
495099471,48168,4
495085913,48167,2
495047898,48166,3
495036485,48165,1
495006995,48164,5
494911564,48161,1
494824763,48159,1
494747462,48158,4
494676420,48157,76
494675497,48156,19
494577906,48155,1
494540000,48153,4
494512035,48152,3
494480031,48149,1
494466440,48148,1
494464979,48146,38
494464943,48145,4
494464542,48144,4
494454671,48142,4
494451387,48139,2
494450837,48138,2
494450008,48137,8
494447768,48135,3
494444621,48132,3
494440875,48131,3
494438645,48130,2
494430665,48128,3
494322542,48125,5
494321419,48124,1
494291631,48122,1
494290785,48121,1
494290069,48120,1
494225235,48116,9
494159929,48114,1
494093801,48113,1
493854967,48110,1
493834476,48107,2
493821287,48106,1
493815621,48105,2
493802377,48104,2
493795281,48103,3
493791014,48102,5
493790921,48101,11
493782493,48099,1
493782439,48098,1
493780087,48097,1
493779734,48096,3
493775615,48095,5
493756170,48093,3
493666180,48092,3
493647620,48089,1
493645416,48087,250
493645394,48086,250
493645373,48085,250
493572979,48081,8
493567425,48079,1
493475890,48078,2
493463706,48077,1
493450947,48076,2
493437339,48075,22
493426977,48074,6
493419381,48073,1
493418179,48072,2
493408349,48069,4
493407191,48068,5
493398095,48066,1
493369515,48061,13
493369176,48060,5
493354080,48059,1
493296466,48056,2
493280442,48055,38
493280259,48054,2
493278674,48053,2
493026913,48050,2
493026262,48049,2
492804665,48046,11
492804341,48045,1
492795986,48044,2
492795792,48043,1
492778063,48041,8
492758634,48040,4
492758401,48039,3
492758220,48038,18
492755355,48037,1
492720500,48034,5
492713170,48033,66
492698037,48032,6
492679512,48029,1
492676901,48028,3
492633351,48022,1
492620596,48017,1
492613104,48015,2
492607079,48014,1
492602694,48013,1
492397041,48007,4
492297940,48003,5
492243203,48002,10
492223392,48001,3
492222632,48000,7
492105226,47998,1
492083900,47997,1
492073161,47996,25
492066912,47995,1
492066382,47994,2
492065971,47993,1
492065038,47992,1
492063353,47991,1
492038959,47989,4
492038609,47988,12
491970535,47985,1
491948022,47982,6
491945300,47981,4
491940135,47979,5
491932617,47978,3
491919156,47976,1
491522101,47968,11
491497818,47967,3
491274835,47965,17
491258281,47964,1
491254369,47963,11
491253945,47962,11
491248901,47961,6
491245433,47960,12
491207446,47959,5
491201480,47958,128
491193988,47957,167
491158950,47955,8
491149843,47954,1
491126520,47952,4
491116374,47951,4
491114646,47950,7
491112556,47949,3
491108003,47948,108
491106445,47947,41
491091545,47945,2
491080594,47944,1
491078336,47943,1
490896790,47936,2
490794049,47934,4
490793629,47933,29
490710886,47932,3
490710540,47931,106
490710126,47930,3
490685957,47929,3
490661810,47927,19
490661759,47926,3
490653070,47925,107
490635988,47924,11
490620424,47923,105
490618140,47922,27
490617815,47921,17
490607261,47920,1
490604747,47919,250
490603541,47918,250
490594359,47916,3
490578245,47914,66
490572831,47912,1
490563479,47911,2
490531614,47907,99
490531525,47906,95
490531106,47905,74
490530724,47904,61
490524172,47903,1
490521455,47902,7
490520555,47901,1
490519890,47900,1
490505800,47899,1
490501635,47898,1
490496523,47897,9
490475714,47895,4
490451590,47894,1
490427544,47893,7
490290287,47888,250
490054186,47882,18
490032572,47881,1
489977710,47879,1
489871238,47877,1
489837150,47875,247
489826988,47873,1
489826209,47872,6
489822841,47871,68
489821279,47870,6
489821090,47869,3
489806193,47868,4
489674883,47866,2
489645764,47865,18
489602028,47864,14
489591001,47863,1
489588110,47862,97
489576518,47860,1
489565644,47857,4
489548619,47856,1
489547922,47855,5
489539971,47854,67
489539900,47853,3
489539568,47852,6
489535511,47851,1
489534310,47850,2
489524441,47848,5
489503756,47846,4
489470348,47844,4
489458005,47841,1
489441002,47836,1
489373410,47834,5
489366408,47833,3
489101455,47831,2
489065758,47830,1
489047024,47827,2
489001950,47822,1
488996650,47820,1
488988928,47819,5
488986231,47818,2
488928206,47813,1
488904937,47812,7
488893585,47811,1
488869758,47805,2
488866034,47804,2
488865514,47803,3
488840177,47794,5
488839726,47793,6
488660725,47785,2
488428563,47780,5
488428122,47779,30
488401813,47777,3
488384450,47776,13
488371249,47774,93
488332089,47771,11
488324151,47770,29
488296247,47769,2
488295095,47768,8
488283948,47767,1
488270307,47764,16
488243815,47762,12
488243383,47761,10
488214454,47760,1
488202698,47757,1
488196171,47756,2
488177956,47752,1
488172709,47751,1
488127636,47748,1
488083633,47745,2
488053195,47742,1
487840261,47737,18
487729307,47734,6
487707150,47733,1
487650066,47732,11
487640805,47731,1
487629335,47729,1
487607243,47728,14
487600910,47727,3
487583705,47725,1
487580552,47723,4
487577372,47722,26
487575608,47721,62
487548869,47718,1
487535110,47716,1
487530301,47715,1
487519118,47714,2
487499403,47712,4
487420467,47710,1
487355800,47708,5
486992891,47697,2
486965996,47695,1
486948520,47693,2
486947901,47692,2
486896479,47689,6
486881815,47688,92
486881720,47687,3
486881676,47686,2
486880977,47685,1
486880851,47684,25
486793196,47680,1
486779492,47679,1
486748325,47678,1
486559967,47675,2
486459885,47674,4
486341413,47671,1
486303837,47670,5
486275910,47669,2
486269256,47668,2
486242502,47665,1
486065082,47661,167
486065008,47660,167
485796626,47657,3
485777000,47656,1
485727708,47654,1
485663488,47653,5
485603692,47652,6
485603548,47651,11
485602665,47650,2
485594096,47649,10
485572234,47647,3
485564492,47645,1
485462688,47644,2
485456977,47643,5
485397006,47641,2
485321720,47639,2
485320451,47638,2
484995813,47628,13
484838649,47625,12
484838485,47624,85
484837086,47623,12
484810967,47622,1
484585159,47618,1
484583852,47617,3
484577835,47616,84
484459397,47611,2
484458904,47609,84
484458743,47608,2
484439198,47607,1
484251954,47593,2
484176846,47590,2
483565723,47584,46
483565537,47583,23
483564115,47582,46
483421599,47581,3
483398814,47579,1
483310234,47578,11
483223987,47576,19
483218754,47575,22
483218665,47574,12
483217965,47573,22
483217126,47572,3
483197178,47570,1
483174609,47568,10
483168928,47567,2
483159621,47566,2
483138693,47563,1
483135151,47561,2
483107064,47560,12
483079134,47556,1
483023504,47555,5
483022252,47554,8
482956929,47552,4
482532661,47548,2
482532163,47547,2
482386424,47546,1
482385814,47545,1
482381023,47544,4
482375004,47543,10
482374953,47542,7
482374690,47541,8
482374628,47540,5
482374381,47539,11
482335679,47537,1
482322088,47536,5
482307608,47535,1
482295704,47534,2
482248736,47532,1
482246964,47531,2
482230912,47530,7
482230768,47529,3
482230414,47528,2
482230029,47527,4
482209169,47526,6
482192504,47525,1
