issue_id,issue_no,title,body
739951293,11392,b'Enable Reverse Proxy and On Setup generate client keys',"b""The entire configuration could be made VASTLY more simple, especially for environments like kubernetes etc. if we could simply have RavenDb recognize that it is actually running in https by having it recognize reverse proxy headers being passed in (asp.net core allows this in your startup.cs) and then have it simply be open or use a temporary admin password you set in the config for the first load to gain access.  \r\n\r\nThen once you're in, you can generate client certificates directly in the UI.\r\n\r\nThe current approach is WAY too complex and prone to errors. I need to configure this on 3 test environments and it's just a massive PITA as it stands right now."""
739948213,11391,b'No browser prompts to choose client certificate',"b'I have ravendb behind haproxy on kubernetes configured per the instructions with a cert that was way too hard to configure.\r\n\r\nI\'ve loaded the pfx into my Personal store in Windows.\r\n\r\nWhen I got to the website I get an auth error saying that the server requires a client certificate for authentication but none was provided by the client. Looking up this error it says restart the browser. I\'ve restarted every browser and NONE including Internet Explorer prompt for a certificate when going to the site.\r\n\r\nThe certificate was generated using your ""generate-server-cert.ps1"" script if it matters.\r\n\r\nHow do I get this fixed so that it works properly?'"
739912038,11390,b'Add support for Certificates by Key + Crt',"b""The reason why is that if you're using cert-manager in Kubernetes it generates a crt and key file in a secret (tls.crt and tls.key within the secret). It would be really nice to be able to use the cert that is linked up automatically from this cert.\r\n\r\nAnd more so, it would be really nice to have it automatically update when those values change.\r\n\r\nI still don't have it working from the instructions for Azure Kubernetes because of certificate issues, and I've been at it for hours because this is WAY too complex as it stands right now."""
729251570,11314,b'Setting license on Embedded Instance does not appear to work',"b'We are trying to specify a license on an embedded instance by setting either `License` or `License.Path` like this:\r\n\r\n```csharp\r\nvar options = new ServerOptions\r\n{\r\n  AcceptEula = true,\r\n  DataDirectory = @""..."",\r\n  LogsDirectory = @""...""\r\n};\r\n\r\noptions.CommandLineArgs.Add(""--License.Path=C:\\Temp\\RavenLicense.json"");\r\n// OR\r\noptions.CommandLineArgs.Add(""--License={licenseText}"");\r\n\r\nEmbeddedServer.Instance.StartServer(options);\r\n```\r\n\r\nNeither of these works as expected. The server claims to be unlicensed.\r\n\r\nI grabbed a copy of the repo and added `--License.Path=C:\\Temp\\RavenLicense.json` to the debug arguments. I can confirm that the value is being picked up from the command line arguments and written to the [config object](https://github.com/ravendb/ravendb/blob/v5.0/src/Raven.Server/Config/Categories/LicenseConfiguration.cs#L22). It gets read back [during the folder permissions check](https://github.com/ravendb/ravendb/blob/v5.0/src/Raven.Server/Config/RavenConfiguration.cs#L386) but never again.'"
723155145,11264,b'Switch to System.Text.Json for .NET 5?',"b""Now that .NET 5 has a passable replacement for Newtonsoft.Json and is MUCH faster, is there a plan to switch?\r\n\r\nThe reason I ask is that I'm doing a blockchain that needs to hash the data of the row (plus timestamp, and previous hash of course).  My worry is that if RavenDb changes later, and the structure of the json changes because of this, the hashes won't be able to be validated directly with the data in the future.\r\n\r\nThanks!"""
722538041,11261,b'The database is currently locked because of Checking if we need to recreate index.',"b""Calling this with V5:\r\n\r\nstore.Maintenance.Server.Send(new CreateDatabaseOperation(new DatabaseRecord(dbName)));\r\n\r\nBegets this error:\r\n\r\nRaven.Client.Exceptions.Database.DatabaseDisabledException: 'Raven.Client.Exceptions.Database.DatabaseDisabledException: The database Test03484b96-d12f-480e-88df-295729c3de9f is currently locked because Checking if we need to recreate indexes\r\n   at Raven.Server.Documents.DatabasesLandlord.UnloadAndLockDatabase(String dbName, String reason) in C:\\Builds\\RavenDB-Stable-5.0\\50011\\src\\Raven.Server\\Documents\\DatabasesLandlord.cs:line 884\r\n   at Raven.Server.Web.System.AdminDatabasesHandler.Put() in C:\\Builds\\RavenDB-Stable-5.0\\50011\\src\\Raven.Server\\Web\\System\\AdminDatabasesHandler.cs:line 356\r\n   at Raven.Server.Routing.RequestRouter.HandlePath(RequestHandlerContext reqCtx) in C:\\Builds\\RavenDB-Stable-5.0\\50011\\src\\Raven.Server\\Routing\\RequestRouter.cs:line 196\r\n   at Raven.Server.RavenServerStartup.RequestHandler(HttpContext context) in C:\\Builds\\RavenDB-Stable-5.0\\50011\\src\\Raven.Server\\RavenServerStartup.cs:line 243\r\nThe server at /admin/databases?name=Test03484b96-d12f-480e-88df-295729c3de9f&replicationFactor=1&raft-request-id=c0e7dc18-7230-42fe-b437-a46c7c2c1ac2 responded with status code: ServiceUnavailable.'\r\n"""
715794225,11208,b'Possible memory leak',"b'Hello,\r\nWhen i used ravendbclient 4.2.106 and previous i have a lot of jsondocumentbuilder\r\n\r\n[BasicDirectFacade.txt](https://github.com/ravendb/ravendb/files/5334926/BasicDirectFacade.txt)\r\n[DocumentStoreHolder.txt](https://github.com/ravendb/ravendb/files/5334927/DocumentStoreHolder.txt)\r\n\r\n![image](https://user-images.githubusercontent.com/72458422/95222375-b5e68780-07f8-11eb-8078-372781ceb456.png)\r\n\r\nPlease help me !'"
701665068,11112,b'[3.5] BulkIngestion fails with `SynchronizationLockException`',"b'Besides getting #11108 we are also running into `SynchronizationLockException` with bulk ingestion. Something seems to be off with bulk ingestion potentially not freeing up system resources fast enough. \r\n\r\n```\r\nSystem.Threading.SynchronizationLockException: Could not get the PUT serial lock in (un)reasonable timeframe, aborting operation\r\n   at Raven.Database.Impl.PutSerialLock.Lock()\r\n   at Raven.Database.DocumentDatabase.Batch(IList`1 commands, CancellationToken token)\r\n   at Raven.Database.Server.Controllers.DocumentsBatchController.<BulkPost>d__1.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at System.Threading.Tasks.TaskHelpersExtensions.<CastToObject>d__1`1.MoveNext()\r\n```'"
700943907,11108,b'[3.5] Could not get token for bulk insert on BulkInsert even with anonymous access',b'One of our clients is getting\r\n\r\n```\r\nException:\r\nCould not get token for bulk insert\r\nStackTrace:\r\n   at Raven.Client.Document.RemoteBulkInsertOperation.<StartBulkInsertAsync>d__23.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Document.RemoteBulkInsertOperation.<DisposeAsync>d__45.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Document.ChunkedRemoteBulkInsertOperation.<DisposeAsync>d__19.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at ServiceControl.Audit.Auditing.AuditPersister.<Persist>d__2.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at ServiceControl.Audit.Auditing.AuditIngestionComponent.<<-ctor>b__8_0>d.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at NServiceBus.Transport.RabbitMQ.MessagePump.<Process>d__29.MoveNext()\r\nSource:\r\nRaven.Client.Lightweight\r\nTargetSite:\r\nVoid MoveNext()\r\nA task was canceled.\r\nData :System.Collections.DictionaryEntry\r\nStackTrace:\r\n   at Raven.Client.Connection.Implementation.HttpJsonRequest.<>c__DisplayClass36_0.<<SendRequestInternal>b__0>d.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Connection.Implementation.HttpJsonRequest.<RunWithAuthRetry>d__38`1.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Connection.Implementation.HttpJsonRequest.<ReadResponseJsonAsync>d__35.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Document.RemoteBulkInsertOperation.<GetAuthToken>d__26.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Document.RemoteBulkInsertOperation.<GetToken>d__25.MoveNext()\r\n--- End of stack trace from previous location where exception was thrown ---\r\n   at System.Runtime.ExceptionServices.ExceptionDispatchInfo.Throw()\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Document.RemoteBulkInsertOperation.<StartBulkInsertAsync>d__23.MoveNext()\r\nSource:\r\nRaven.Client.Lightweight\r\nTargetSite:\r\nVoid MoveNext()\r\nA task was canceled.\r\nStackTrace:\r\n   at System.Runtime.CompilerServices.TaskAwaiter.ThrowForNonSuccess(Task task)\r\n   at System.Runtime.CompilerServices.TaskAwaiter.HandleNonSuccessAndDebuggerNotification(Task task)\r\n   at Raven.Client.Connection.Implementation.HttpJsonRequest.<>c__DisplayClass36_0.<<SendRequestInternal>b__0>d.MoveNext()\r\nSource:\r\nmscorlib\r\nTargetSite:\r\nVoid ThrowForNonSuccess(System.Threading.Tasks.Task)\r\n```\r\n\r\nwhich seems to indicate that the GetToken call did fail\r\n\r\nhttps://github.com/ravendb/ravendb/blob/v3.5/Raven.Client.Lightweight/Document/RemoteBulkInsertOperation.cs#L119\r\n\r\n\r\nbut we are using Anonymous access. Why should this fail?\r\n\r\n'
688118055,11064,b'OnAfterConversationToEntity not called for the same session where it was registered',"b'Hi,\r\n\r\nNot sure the described behavior is expected. Please can you check.\r\n\r\nSubscribing to `OnAfterConversationToEntity` using the Session object:`session.Advanced.DocumentStore.OnAfterConversionToEntity`  does not fire the event listener for that session.\r\n\r\nThe event listener does get executed for the next session created.\r\n\r\n**Test**\r\n\r\nListener1 is registered directly on the `store` object.\r\nListener2 is registered by using `session.Advanced`.\r\n```\r\n    public class RavenDbTest : RavenTestDriver\r\n    {\r\n        private readonly ITestOutputHelper _output;\r\n\r\n        public RavenDbTest(ITestOutputHelper output)\r\n        {\r\n            _output = output;\r\n        }\r\n\r\n        [Fact]\r\n        public async Task ShouldCallEventListeners()\r\n        {\r\n            var listenerOneCalled = 0;\r\n            var listenerTwoCalled = 0;\r\n\r\n            IDocumentStore store = GetDocumentStore();\r\n\r\n            // Register listener 1\r\n            store.OnAfterConversionToEntity += (sender, args) =>\r\n            {\r\n                _output.WriteLine(""incrementing listenerOne"");\r\n                listenerOneCalled += 1;\r\n            };\r\n\r\n            // Insert data\r\n            {\r\n                IAsyncDocumentSession session = store.OpenAsyncSession();\r\n                await session.StoreAsync(new Entity(""bob"", ""bob""));\r\n                await session.SaveChangesAsync();\r\n            }\r\n\r\n            // FIRST LOAD\r\n            {\r\n                IAsyncDocumentSession session = store.OpenAsyncSession();\r\n\r\n                // Register listener 2\r\n                session.Advanced.DocumentStore.OnAfterConversionToEntity += (sender, args) =>\r\n                {\r\n                    _output.WriteLine(""incrementing listenerTwo"");\r\n                    listenerTwoCalled += 1;\r\n                };\r\n\r\n                _output.WriteLine(""Executing 1st LoadAsync()"");\r\n                Entity entity = await session.LoadAsync<Entity>(""bob"");\r\n                entity.Id.Should().Be(""bob"");\r\n            }\r\n\r\n            // SECOND LOAD\r\n            {\r\n                IAsyncDocumentSession session = store.OpenAsyncSession();\r\n\r\n                _output.WriteLine(""Executing 2nd LoadAsync()"");\r\n                Entity entity = await session.LoadAsync<Entity>(""bob"");\r\n                entity.Id.Should().Be(""bob"");\r\n            }\r\n\r\n            listenerOneCalled.Should().Be(2, ""we made 2 calls to LoadAsync()"");\r\n            listenerTwoCalled.Should().Be(2, ""we made 2 calls to LoadAsync()"");\r\n        }\r\n\r\n        public class Entity\r\n        {\r\n            public Entity(string id, string name)\r\n            {\r\n                Id = id;\r\n                Name = name;\r\n            }\r\n\r\n            private Entity()\r\n            {\r\n            }\r\n\r\n            public string Id { get; }\r\n\r\n            public string Name { get; }\r\n        }\r\n    }\r\n```\r\n\r\n**Output**\r\n\r\n```\r\nExecuting 1st LoadAsync()\r\nincrementing listenerOne\r\nExecuting 2nd LoadAsync()\r\nincrementing listenerOne\r\nincrementing listenerTwo\r\n```'"
