issue_no,comment_no,comment_body
13,149975,b'Should be fixed now\n'
21,150075,"b'Probably keep around the last 50 errors as well, for debugging purposes.\n'"
15,150494,"b""Keys in JSON must be double quoted according to the spec.  This isn't valid JSON.\nSee: http://awurl.com/mbsj9bz81#first_awesome_highlight\n\nI can handle it if you want, just do a replace on single quotes, but that could have unintended consequences (i.e. replacing intentional single quotes)\n"""
15,150501,"b""I know that they _should_, but the fact is that most people don't behave in this manner\nI don't really know why that decision was made, but I think we need to support it.\n"""
15,150572,"b'I don\'t really know how to do this without potentially impacting valid JSON like the following:\n\n{ ""name"" : ""ayende\'s name"" }\n\nI can replace single quotes with double quotes, but that will modify that valid JSON.  We can write our own JSON parser, but I don\'t know of any parsers that will accept malformed JSON and smartly (this is ambiguous) parse it.\n'"
15,150607,"b'Yeah, good point.\nI almost want to use eval for this, but I will resist.\nOkay, \n'"
11,150658,"b'Implemented.  I did notice, however that it seemed like the index validation might not be very robust.  In implementing this, it successfully accepted things like this: \n\nfrom doc in docs\nselect new {  \n'"
16,150659,b'Fixed.  Was a general issue with arrays of data.\n'
14,150787,b'Implemented.\n'
11,150789,"b'Going to re-write this for C# 4.0, should fix this.\n'"
17,150826,"b""I am able to query fine now.  I'm not sure if I fixed something.  Can you try again with the latest version?\n"""
17,150844,"b""Yes, a later version of me which isn't stupid\n"""
23,151121,"b'Done, possible and will be committed soon\n'"
25,151360,b'/indexes/UsersAndProjects?fetch=all_values - get all index fields\n/indexes/UsersAndProjects?fetch=name&fetch=project - get just the name & project fields\n'
20,152159,b'Done\n'
21,152163,b'Done\n'
22,152192,"b'The logic is:\nIf over 10 docs are indexed (to avoid disabling at the first doc) and if the failure rate is 15% or higher, index is disabled.\n'"
25,152203,b'Done\n'
3,153439,b'Done!\n'
18,153458,b'304 deals with this\n'
1,158181,b'Handled\n'
1,158182,b'So we can close this\n'
5,158183,"b""Tracking all those stats would be complex & probably expensive, closing this because it doesn't seem that important.\nMost of our work is done on the backend, anyway.\n"""
29,158184,b'Supported!\n'
30,158185,b'Done\n'
27,158198,"b'Done, yeah!\n'"
31,171156,"b'Not that useful, though\nNot going to implement this\n'"
34,177152,"b""I'll take a look at this\n"""
34,177195,"b'It will now say ""No View template was specified for this document"", there was only a JS action for status 200, I added one for 404 which was properly being detected and passed down, just not handled. Fix is in branch issue34\n'"
9,184391,b'This is done!\n'
8,184392,b'I think this is pretty much done\n'
35,184393,b'Done\n'
39,188056,b'Done\n'
41,188098,b'Done.\n'
42,188424,b'Handled\n'
40,188445,b'Working now:\nPOST /transaction/commit?tx=the-tx-id\nPOST /transaction/rollback?tx=the-tx-id\n'
43,188494,b'Implemented.\n'
37,191798,b'Fetching is implementing\n'
37,191809,"b'implemented, not implementing\n'"
38,205463,b'Fixed\n'
36,205465,"b'Done, done done\n'"
37,212119,b'Sorting works\n'
26,212120,b'Done now\n'
32,212124,"b""Done\nNote that this doesn't work with the WebUI\n"""
33,212227,b'Fixed\n'
44,214164,b'Duplicate of 45\n'
50,214223,"b'Fixed, but using PUT instead of POST\n'"
7,214226,"b'Too complex for now, not going to implement\n'"
28,214241,b'added the stats view in my fork.\n'
28,214268,"b'Merged, thanks!\n'"
24,214271,b'added an error message when an error from saving occurs.\n'
47,214279,b'Handled.\n'
48,214297,b'Bulk saves (and in a single tx) now works.\n'
24,214322,b'Awesome! Merged and pushed.\n'
52,216874,b'Fixed\n'
51,223085,b'Done\n'
46,223086,"b'Checked, it is there\n'"
49,223226,"b'Not going to implement this, it is pretty easy to handle this at the client API level\n'"
53,223243,b'Done\n'
54,223366,b'This is now supported\n'
55,224047,"b'This is a known issue, I am currently updating all the docs.\nJust cancel the crash dlg and the build will continue.\n'"
