pull_no,found_id,is_issue,is_pull_request
11110,11108,True,False
10973,10909,True,True
10828,3996,False,True
9506,9504,False,True
9505,9503,False,True
9504,9486,True,True
9503,9434,False,True
9441,9204,False,True
8574,10,True,False
8574,23,True,False
8512,0,False,False
8512,0,False,False
8215,8159,True,True
4094,53,True,False
3200,22915,False,False
3012,3007,False,True
2428,39,True,False
1741,1739,True,True
1597,1595,False,True
935,2,True,False
422,421,True,False
156,91,True,False
151,145,True,False
