pull_id,pull_no,title,body
748268633,11450,b'RavenDB-15844  Database list view - Alerts and perf hints should be l\xe2\x80\xa6',b'\xe2\x80\xa6inks'
748248898,11449,b'RavenDB-15882 - fix failing tests',b''
748224036,11448,b'RavenDB-15588 Stay in rehab with index error',b''
748075499,11447,b'RavenDB-15885 fixed issue with resolving custom analyzers',b''
748075326,11446,b'RavenDB-15885 added test',b''
747356986,11445,b'RavenDB-15877 Optimizing between queries',b'Changing the settings for between queries that are used as secondary filter to avoid preloading a lot of data in most common situations.'
746839414,11444,b'RavenDB-15783  Setting value to zero will save it as null',b''
746717198,11443,b'RavenDB-15376 : Error when patching multiple types',b'https://issues.hibernatingrhinos.com/issue/RavenDB-15376'
746576685,11442,b'RavenDB-15872 Additional Assemblies Syntax tooltip',b''
746437027,11441,"b'HRINT-1967 [build scripts] Add a NoBundling option, globalize build c\xe2\x80\xa6'",b'\xe2\x80\xa6onfiguration switch'
745412619,11440,"b'RavenDB-15475 Adding unused database Ids to import/export for prevent ing ""conflict"" in import destination cluster replication'","b'So to reproduce the issue there need to be two steps before the replication:\r\n1. The document and its revision have to come from export/backup & import.\r\n2. last revision has to be a deletion revision.\r\n* One obligate state - the first revision has a ""conflict"" with the deletion.\r\n\r\nReason:\r\n1. If the document came from the same database the `UnusedDatabaseIds` solve the conflict.\r\n2. The `import` deal first with documents so if the document is not deleted the first revision will be created by the destination of the import and be the same as the final document so all the rest of the revision will be treated as conflict but the final result be the desired document.\r\n\r\nOne way to solve it is to import the `UnusedDatabaseIds` as well (as proposed in this PR).\r\nAnother way can be to remove the unused database Ids from the document in the import process but this will require specific treatment in documents that there change vector composed of just unused database ids.'"
745153950,11439,b'RavenDB-15718  Add Mentor Node to Server Wide Backup and external rep\xe2\x80\xa6',b'\xe2\x80\xa6lication'
744845246,11438,b'RavenDB-15846 Update the Enforce Revisions Configuration popup in 5.1',b''
744767547,11437,b'RavenDB-15720 Ongoing Hub & Sink Tasks Details: refactor details text',b''
744712922,11436,b'RavenDB-15830 Edit index tabs - Enhancements',b''
744707281,11435,b'RavenDB-15819: use unreachable cluster index in test',b''
744683562,11434,b'RavenDB-15784: Resolve duplicate attachments in conflicted documents',b''
744618617,11433,b'HRINT-1952 fix docker image tags using ubuntu focal',b''
744600074,11432,"b""RavenDB-15870 / RavenDB-15856 Let's try to throw ObjectDisposedExcept\xe2\x80\xa6""","b""\xe2\x80\xa6ion if we get InvalidHandle error code in 32 bits pager. In general if we don't manage to ensure vald pager pointer then we cannot use the buffer for decompression."""
744598956,11431,b'HRINT-1952 change docker tags - latest tags should point to 5.1',b''
744589999,11430,b'HRINT-1952 change docker tags - latest tags should point to 5.1',b''
744538645,11429,b'RavenDB-15800 - fix backup tests',b''
744181267,11428,b'RDBCL-1656 fix native bin extension for osx',b''
744143421,11427,b'RavenDB-15832 Show counts on tabs when editing an index to indicate t\xe2\x80\xa6',b'\xe2\x80\xa6hat there is something set there'
744045944,11426,b'RavenDB-15875 - Improve the performance of initial index run',b'https://issues.hibernatingrhinos.com/issue/RavenDB-15875'
743863367,11425,b'RDBCL-1656 copy native binaries outside of publish pipeline',b''
743795697,11424,b'RavenDB-15874 Additional Assemblies From NuGet should be licensed',b''
743750033,11423,"b'RavenDB-15606 Add ""/admin/stats"" end point to debug package'",b'https://issues.hibernatingrhinos.com/issue/RavenDB-15606'
743733064,11422,b'RavenDB-15625 stay in rehab with disabled index',b''
743721946,11421,b'5.0 to 5.1 merge',b''
743340750,11420,b'4.2 to 5.0 merge',b''
743329747,11419,"b'RavenDB-15814 When node is passive and license is not activated, stat\xe2\x80\xa6'",b'\xe2\x80\xa6e so on the License View'
743324284,11418,b'RavenDB-15868',b'- avoid sending license update commands to cluster when it is passive\r\n- if config does not exist return false instead of throwing'
743303053,11417,b'RavenDB-15866 support type in HashCalculator',b''
743259091,11416,b'RavenDB-15836',b'https://issues.hibernatingrhinos.com/issue/RavenDB-15836'
743255209,11415,b'RavenDB-15722 Connections strings that are used by tasks - Fix behavior',b''
743237056,11414,b'RavenDB-15855 Avoid duplicated tasks of pull Replication',b''
743224640,11413,b'RavenDB-15714 refactor code',b''
743188907,11412,"b'RavenDB-15606 Add ""/admin/stats"" end point to debug package'",b'https://issues.hibernatingrhinos.com/issue/RavenDB-15606'
742359188,11411,b'RavenDB-15856 Throw ObjectDisposedException instead of NRE when the p\xe2\x80\xa6',"b""\xe2\x80\xa6ages is being disposed. It's expected and handled by DecompressionBuffers"""
