pull_no,comment_no,comment_body
408,278604,"b'Check was added to alert developers who are unaware of the added ValueTypeKey property. If, for some reason, they start to use ShardedDocumentSession.Load<T>(ValueType id) as well, they will get an exception in the ShardResolutionStrategy when they are accessing the string-typed Key property.\n'"
408,278617,"b'This worked fine on a single instance DB, but threw an exception when using a sharded DB.\n'"
408,278620,b'Load was implemented without using the sharded nature of the store. This has now been updated.\n'
552,11952579,"b'The or statement looks suspiciously like the same statement in GenerateEntityIdOnTheClient, but it is inversed.  Instead of going ahead and generating the id, it is instead indicates we are done already.\n'"
552,11952732,"b'Not sure why this is static, made it an instance method so I can access the new shared method to do coercion to string if the property type is not already a string.\n'"
563,16816268,b'This is where the issue occurs - ConfigureRequest puts the default Timeout value back onto the request \n'
563,16816280,b'By switching we ensure the desired timeout is kept.\n'
592,30507840,b'Is this the type of storage to use? `Voron` or `Esent`? Default is `Voron` ? Docs (which I copied) say `munin` also.. ??\n'
592,30507909,"b'These are custom bundles? How does this differ to `activeBundles`, below?\n\nLink to an example how this is setup (how i would create an instance, which is to be passed in) would be awesome, please.\n'"
592,30507938,b'Is this about the license? whether to use one or not?\n'
592,30507954,b'Not sure what this is....\n'
592,30577650,"b'Yes, Voron / Esent.\nMunin is no longer used in 3.0\n'"
592,30577694,"b""activeBundles are always compiled and present, but are switched on / off on demand.\n\ncatalog contains user custom bundles (stuff that doesn't come with RavenDB)\n"""
592,30577713,"b'Yes, in general, you can ignore that. This is used internally to enable auth for tests that require it.\n'"
592,30577733,"b'configureStore is an Action delegate, that allow you to configure the DocumentStore instance that you get back.\n'"
592,30684206,"b""This method signature is interesting. Right now it's designed to take a collection of collections:\n\neg. \n\n```\nvar seedData = new IEnumerable[]\n        {\n            FakeModelHelpers.CreateFakeCats(),\n            FakeModelHelpers.CreateFakeDogs()\n        };\n```\n\nBut i was wondering if it might be kewl to make it accept just a single object and I try and see if that object is `Enumerable` and if so, iterate through it? (and do that 2x - first for the top collection, 2nd check for the items in each collection).\n\nWhy? just to make it easier for a developer to consume this method.\neg.\n\n```\nvar seedData = new Cat();\nvar seedData = CreateFakeCats(); // IEnumerable<Cat>\nvar seedData = new IEnumerable[] { .. // as above in the top of this comment ... };\n```\n"""
592,30792200,"b'It is better to have multiple overloads, rather than something that does so\nmuch dynamic magic.\n\n*Hibernating Rhinos Ltd  *\n\nOren Eini\\* l CEO l *Mobile: + 972-52-548-6969\n\nOffice: +972-4-622-7811 *l *Fax: +972-153-4-622-7811\n\nOn Wed, May 20, 2015 at 12:28 PM, Pure Krome notifications@github.com\nwrote:\n\n> In Raven.Tests.Helpers/RavenTestBase.cs\n> https://github.com/ravendb/ravendb/pull/592#discussion_r30684206:\n> \n> > @@ -865,5 +962,65 @@ protected static void DeployNorthwind(DocumentStore store, string databaseName =\n> >             var request = requestFactory.CreateHttpJsonRequest(new CreateHttpJsonRequestParams(null, url + ""/studio-tasks/createSampleData"", ""POST"", store.DatabaseCommands.PrimaryCredentials, store.Conventions));\n> >             request.ExecuteRequest();\n> >         }\n> > +\n> > -        private static void StoreSeedData(IEnumerable<IEnumerable> seedData,\n> \n> This method signature is interesting. Right now it\'s designed to take a\n> collection of collections:\n> \n> eg.\n> \n> var seedData = new IEnumerable[]\n>         {\n>             FakeModelHelpers.CreateFakeCats(),\n>             FakeModelHelpers.CreateFakeDogs()\n>         };\n> \n> But i was wondering if it might be kewl to make it accept just a single\n> object and I try and see if that object is Enumerable and if so, iterate\n> through it? (and do that 2x - first for the top collection, 2nd check for\n> the items in each collection).\n> \n> Why? just to make it easier for a developer to consume this method.\n> eg.\n> \n> var seedData = new Cat();\n> var seedData = CreateFakeCats(); // IEnumerable<Cat>\n> var seedData = new IEnumerable[] { .. // as above in the top of this comment ... };\n> \n> \xe2\x80\x94\n> Reply to this email directly or view it on GitHub\n> https://github.com/ravendb/ravendb/pull/592/files#r30684206.\n'"
592,30799442,"b""I thought so too - when dynamic magic is involved it's extremely hard for developers to discover what it can do.\n\nI'll go and add some new overloads to make it more awesome for developers. I'll update the PR now :)\n"""
592,30801349,"b""Damn it. Just added 2 more methods with a different (last) overload and the calling code doesn't know which one to use (if no seed data was provided).\n\nSo I'll just leave the PR as it is then. Drats! was hoping to be tricky :)\n"""
592,30803262,"b'Okay, are there any other changes you want to make before we pull this in?\n'"
592,30803337,b'Nope :cake: :balloon: :tada: \n'
606,40351334,b'you can use AsyncHelpers for this instead of introducing AsyncPump:\nhttps://github.com/ravendb/ravendb/blob/master/Raven.Abstractions/Util/AsyncHelpers.cs\n'
606,40366335,"b""I'll have a look after I got some feedback about the chances that this PR gets accepted\n"""
627,48123592,"b""This is a breaking change in the API.\nWe can't apply it in 3.x - Can you send the same PR for 4.0?\n"""
