group,oldest_pull,pulls_total,commits_total
0,154,1,3
1,153,1,1
2,311,1,236
3,350,1,35
4,351,1,1
5,357,1,2
6,358,1,1
7,367,1,22
8,363,1,1
9,440,1,2
10,444,1,1
11,463,1,1
12,470,1,12
13,477,1,2
14,476,1,3
15,482,1,1
16,484,1,1
17,491,1,3
18,493,1,1
19,494,1,1
20,495,1,1
21,497,1,1
22,498,1,11
23,499,1,4
24,500,1,1
25,501,1,1
26,502,1,18
27,503,1,2
28,506,1,1
29,508,1,1
30,510,1,1
31,513,1,1
32,514,1,1
33,515,1,2
34,517,1,1
35,519,1,3
36,520,1,1
37,522,1,3
38,524,1,1
39,526,1,1
40,528,1,2
41,530,1,1
42,533,1,1
43,534,1,1
44,536,1,1
45,537,1,1
46,538,1,4
47,540,1,1
48,543,1,1
49,545,1,1
50,546,1,1
51,548,1,1
52,600,1,1000
53,555,1,1
54,557,1,6
55,566,1,23
56,569,1,1000
57,567,1,3
58,568,1,1
59,570,1,54
60,582,1,986
61,576,1,5
62,574,1,4
63,575,1,1
64,578,1,3
65,579,1,2
66,580,1,3
67,589,1,588
68,584,1,1
69,593,1,394
70,590,1,3
71,591,1,1
72,594,1,1
73,601,1,212
74,599,1,1
75,604,1,75
76,602,1,1
77,606,1,1
78,607,1,1
79,692,1,27
80,679,1,23
81,668,1,1
82,670,1,1
83,673,1,1
84,677,1,1
85,676,1,1
86,686,1,1
87,689,1,1
88,690,1,1
89,693,1,1
90,702,1,63
91,695,1,1
92,696,1,1
93,707,1,11
94,699,1,5
95,704,1,1
96,734,1,58
97,727,1,2
98,735,1,3
99,736,1,1
100,737,1,1
101,738,1,3
102,752,1,12
103,743,1,3
104,751,1,2
105,753,1,2
106,750,1,1
107,754,1,1
108,755,1,1
109,772,1,5
110,759,1,1
111,760,1,1
112,761,1,1
113,766,1,1
114,767,1,1
115,770,1,1
116,769,1,1
117,771,1,2
118,773,1,1
119,774,1,1
120,776,1,1
121,778,1,1
122,779,1,1
123,780,1,1
124,781,1,1
125,782,1,1
126,787,1,1
127,788,1,1
128,786,1,1
129,785,1,1
130,775,1,1
131,791,1,1
132,792,1,1
133,794,1,1
134,793,1,1
135,795,1,1
136,796,1,1
137,797,1,1
138,799,1,2
139,801,1,1
140,800,1,1
141,798,1,1
142,802,1,1
143,803,1,1
144,805,1,2
145,807,1,1
146,806,1,1
147,804,1,1
148,814,1,1
149,815,1,2
150,811,1,1
151,819,1,1
152,822,1,1
153,824,1,1
154,825,1,1
155,827,1,1
156,828,1,2
157,830,1,1
158,836,1,3
159,831,1,2
160,832,1,1
161,833,1,1
162,837,1,1
163,838,1,1
164,841,1,1
165,842,1,1
166,843,1,1
167,844,1,1
168,847,1,1
169,845,1,1
170,850,1,1
171,849,1,1
172,851,1,1
173,852,1,1
174,855,1,5
175,861,1,2
176,863,1,5
177,862,1,1
178,873,1,1
179,872,1,1
180,871,1,1
181,870,1,1
182,874,1,3
183,866,1,8
184,876,1,1
185,867,1,3
186,864,1,2
187,877,1,1
188,875,1,9
189,881,1,1
190,888,1,3
191,883,1,1
192,884,1,1
193,886,1,4
194,887,1,1
195,892,1,1
196,893,1,1
197,891,1,6
198,895,1,5
199,900,1,1
200,894,1,1
201,898,1,1
202,901,1,1
203,897,1,2
204,902,1,10
205,927,1,10
206,903,1,1
207,904,1,2
208,905,1,1
209,906,1,3
210,925,1,5
211,909,1,1
212,911,1,2
213,910,1,2
214,915,1,9
215,914,1,1
216,916,1,1
217,918,1,1
218,917,1,1
219,920,1,2
220,921,1,1
221,922,1,3
222,923,1,1
223,926,1,4
224,930,1,1
225,934,1,1
226,933,1,1
227,932,1,2
228,931,1,1
229,935,1,1
230,936,1,1
231,938,1,1
232,945,1,1
233,948,1,1
234,951,1,1
235,950,1,2
236,949,1,1
237,952,1,1
238,953,1,1
239,956,1,1
240,954,1,1
241,957,1,1
242,960,1,34
243,965,1,4
244,959,1,1
245,962,1,2
246,964,1,1
247,963,1,1
248,961,1,2
249,966,1,1
250,967,1,1
251,968,1,1
252,969,1,4
253,970,1,2
254,971,1,1
255,974,1,1
256,975,1,2
257,976,1,1
258,977,1,1
259,978,1,1
260,980,1,1
261,981,1,1
262,982,1,8
263,986,1,1
264,985,1,1
265,988,1,1
266,987,1,1
267,989,1,1
268,990,1,1
269,991,1,1
270,993,1,1
271,992,1,1
272,994,1,1
273,997,1,2
274,1005,1,3
275,1004,1,1
276,1010,1,1
277,1006,1,1
278,1007,1,1
279,1008,1,1
280,1009,1,1
281,1011,1,1
282,1012,1,2
283,1013,1,2
284,1014,1,1
285,1016,1,2
286,1015,1,1
287,1017,1,2
288,1018,1,3
289,1019,1,2
290,1020,1,2
291,1021,1,1
292,1022,1,1
293,1025,1,2
294,1029,1,1
295,1030,1,1
296,1031,1,1
297,1032,1,3
298,1034,1,1
299,1033,1,4
300,1035,1,2
301,1037,1,1
302,1038,1,1
303,1036,1,1
304,1039,1,1
305,1041,1,1
306,1042,1,1
307,1043,1,4
308,1044,1,7
309,1052,1,2
310,1048,1,1
311,1051,1,1
312,1045,1,1
313,1046,1,1
314,1049,1,1
315,1053,1,2
316,1054,1,5
317,1055,1,1
318,1057,1,8
319,1058,1,1
320,1059,1,1
321,1061,1,1
322,1062,1,1
323,1060,1,1
324,1064,1,2
325,1065,1,1
326,1066,1,3
327,1069,1,3
328,1072,1,1
329,1071,1,11
330,1063,1,1
331,1050,1,2
332,1068,1,1
333,1075,1,5
334,1076,1,1
335,1079,1,1
336,1077,1,4
337,1080,1,1
338,1081,1,1
339,1078,1,1
340,1083,1,1
341,1084,1,2
342,1082,1,2
343,1085,1,1
344,1088,1,1
345,1089,1,1
346,1090,1,1
347,1092,1,1
348,1093,1,1
349,1096,1,3
350,1097,1,2
351,1100,1,1
352,1101,1,1
353,1102,1,1
354,1103,1,3
355,1104,1,1
356,1109,1,1
357,1110,1,1
358,1106,1,2
359,1111,1,6
360,1116,1,1
361,1113,1,2
362,1117,1,1
363,1118,1,2
364,1112,1,1
365,1115,1,3
366,1120,1,1
367,1119,1,1
368,1121,1,2
369,1122,1,1
370,1123,1,1
371,1124,1,1
372,1125,1,1
373,1158,1,6
374,1126,1,1
375,1127,1,2
376,1130,1,2
377,1128,1,1
378,1131,1,3
379,1132,1,1
380,1134,1,2
381,1135,1,2
382,1141,1,2
383,1143,1,1
384,1148,1,16
385,1145,1,1
386,1144,1,1
387,1146,1,3
388,1147,1,1
389,1149,1,1
390,1159,1,2
391,1162,1,1
392,1161,1,1
393,1163,1,1
394,1164,1,3
395,1165,1,1
396,1166,1,4
397,1168,1,1
398,1167,1,1
399,1171,1,1
400,1172,1,2
401,1187,1,6
402,1173,1,1
403,1174,1,1
404,1175,1,1
405,1176,1,1
406,1177,1,1
407,1178,1,1
408,1180,1,1
409,1179,1,1
410,1181,1,1
411,1183,1,3
412,1182,1,1
413,1184,1,1
414,1185,1,1
415,1189,1,3
416,1188,1,1
417,1191,1,3
418,1192,1,1
419,1195,1,2
420,1194,1,2
421,1196,1,4
422,1197,1,6
423,1198,1,1
424,1199,1,1
425,1200,1,1
426,1204,1,4
427,1203,1,2
428,1205,1,3
429,1206,1,3
430,1237,1,7
431,1207,1,1
432,1208,1,1
