pull_id,pull_no,total_commits
525893710,11456,1
525861434,11455,1
525861132,11454,4
525717879,11453,1
525661705,11452,2
525621482,11451,1
525302073,11450,1
525287864,11449,2
525270042,11448,1
525169685,11447,1
525169577,11446,1
524593558,11445,3
524162500,11444,1
524062859,11443,5
523945951,11442,2
523830621,11441,1
522982572,11440,1
522761937,11439,1
522502247,11438,1
522436684,11437,1
522390396,11436,1
522385728,11435,1
522365435,11434,3
522311023,11433,1
522295504,11432,1
522294593,11431,1
522287286,11430,2
522245725,11429,2
521950905,11428,1
521918567,11427,1
521834584,11426,4
521684946,11425,1
521630632,11424,2
521593944,11423,1
521580435,11422,4
521571625,11421,33
521256675,11420,6
521248618,11419,2
521244662,11418,1
521228950,11417,2
521197089,11416,1
521194298,11415,1
521181296,11414,1
521173053,11413,1
521148928,11412,1
520505456,11411,1
520410354,11410,5
520187109,11409,3
520074047,11408,2
519973460,11407,1
519941211,11406,1
519936865,11405,1
519863400,11404,1
519778235,11403,7
519751164,11402,1
519542257,11401,1
519447609,11400,2
519412028,11399,2
519255658,11398,1
519100279,11397,4
519096394,11396,3
519076261,11395,2
519064175,11394,1
518759232,11393,1
518458373,11389,8
518406667,11388,1
518350552,11387,2
518297951,11386,1
518289768,11385,1
518274670,11384,3
517747382,11383,1
517721370,11382,1
517716718,11381,1
517680098,11380,20
517652423,11379,13
517537758,11378,1
517523490,11377,2
517365578,11376,2
517331372,11375,1
517314009,11374,1
517308887,11373,1
517296576,11372,3
517294967,11371,1
517284565,11370,5
517283243,11369,2
517282814,11368,2
517263707,11367,1
517136652,11366,3
517116262,11365,1
516803127,11364,4
516202704,11363,1
516058894,11362,1
515941447,11361,1
515823585,11360,1
515555521,11359,11
515489224,11358,5
515414997,11357,1
515390932,11356,2
515379536,11355,1
515362115,11354,1
515361394,11353,1
515265856,11352,1
515264295,11351,1
515186194,11350,1
515184924,11349,1
515001793,11348,2
514996861,11347,1
514926066,11346,20
514792204,11345,3
514778761,11344,1
514749799,11343,1
514736782,11342,10
514729265,11341,2
514620820,11340,2
514541535,11339,1
514233085,11338,2
514098603,11337,1
514076330,11336,1
514004897,11335,4
513985870,11334,2
513631735,11333,1
513610898,11332,4
513610825,11331,1
513582517,11330,1
512791921,11329,1
512790622,11328,2
512435578,11327,4
512316332,11326,3
512132209,11325,29
512129369,11324,1
511641453,11323,18
511508156,11322,1
511455430,11321,32
511162886,11320,2
510730534,11319,1
510550386,11318,12
510524953,11317,1
510513288,11316,1
510034610,11315,11
509663888,11313,2
509595167,11312,1
509589709,11311,4
509568491,11310,2
509553983,11309,3
509480356,11308,4
509254687,11307,3
508923709,11306,2
508859325,11305,1
508811622,11304,1
508758304,11303,2
508556006,11302,1
508329634,11301,20
508294802,11300,2
508265142,11299,1
508131017,11298,2
508076649,11297,1
507828590,11296,25
507576835,11295,1
507512052,11294,1
507385367,11293,3
507344264,11292,9
507274057,11291,1
507266772,11290,1
507256632,11289,1
506972536,11288,2
506912268,11287,2
506897242,11286,10
506834424,11285,4
506832065,11284,1
506809451,11283,1
506731000,11282,1
506729671,11281,1
506662838,11280,3
506662402,11279,1
506648518,11278,2
506048765,11277,1
505984990,11276,2
505925472,11275,3
505904238,11274,1
505842710,11273,1
505823737,11272,1
505823357,11271,1
505703851,11270,2
505702554,11269,2
505475503,11268,2
505465293,11267,1
505098136,11266,7
504837842,11265,5
504780036,11263,1
504753211,11262,1
504158540,11260,2
503940926,11259,1
503927134,11258,1
503870166,11257,1
503531031,11256,1
503398001,11255,3
503352592,11254,10
503292205,11253,1
503288513,11252,1
503268575,11251,2
503190738,11250,7
503105704,11249,2
502413455,11248,4
502273152,11247,16
502120684,11246,1
502089139,11245,13
501999579,11244,1
501605778,11243,1
501580817,11242,1
501454110,11241,1
501449689,11240,1
501436209,11239,1
501392535,11238,1
501389353,11237,16
501385359,11236,11
501383332,11235,1
501382012,11234,3
501165151,11233,1
501148076,11232,1
501132285,11231,1
501127833,11230,1
501127164,11229,2
501115430,11228,3
