group,oldest_pull,pulls_total,commits_total
0,1,1,1
1,41157,1,568
2,2,1,1
3,4,1,1
4,6,1,2
5,10,1,1
6,65,1,1
7,80,1,3
8,135,1,1
9,169,1,2
10,172,1,1
11,203,1,5
12,255,1,1
13,278,1,1
14,209,1,1
15,390,1,37
16,337,1,4
17,315,1,1
18,318,1,1
19,319,1,1
20,322,1,1
21,316,1,1
22,339,1,4
23,326,1,4
24,330,1,1
25,329,1,4
26,332,1,2
27,343,1,13
28,336,1,3
29,338,1,4
30,340,1,1
31,341,1,1
32,346,1,1
33,348,1,1
34,350,1,7
35,356,1,13
36,354,1,1
37,331,1,1
38,359,1,1
39,371,1,3
40,381,1,2
41,379,1,7
42,382,1,1
43,383,1,1
44,368,1,1
45,412,1,12
46,394,1,5
47,352,1,1
48,393,1,1
49,397,1,2
50,398,1,4
51,402,1,1
52,405,1,1
53,488,1,15
54,184,1,1
55,440,1,17
56,414,1,1
57,416,1,2
58,417,1,1
59,418,1,7
60,419,1,1
61,422,1,1
62,424,1,1
63,427,1,4
64,428,1,2
65,429,1,1
66,436,1,7
67,434,1,2
68,477,1,6
69,435,1,1
70,442,1,1
71,421,1,1
72,445,1,4
73,471,1,14
74,444,1,1
75,455,1,1
76,457,1,2
77,458,1,9
78,453,1,8
79,460,1,3
80,461,1,1
81,467,1,1
82,469,1,4
83,479,1,16
84,480,1,7
85,481,1,1
86,482,1,4
87,485,1,1
88,484,1,4
89,527,1,8
90,487,1,1
91,490,1,2
92,491,1,1
93,493,1,3
94,497,1,1
95,499,1,2
96,500,1,3
97,503,1,1
98,510,1,6
99,514,1,1
100,513,1,5
101,517,1,2
102,415,1,1
103,525,1,1
104,536,1,3
105,532,1,1
106,533,1,2
107,538,1,1
108,539,1,3
109,544,1,1
110,545,1,2
111,552,1,1
112,555,1,1
113,589,1,8
114,566,1,2
115,573,1,1
116,574,1,1
117,569,1,11
118,586,1,1
119,587,1,1
120,590,1,1
121,591,1,1
122,598,1,4
123,603,1,1
124,609,1,2
125,606,1,1
126,601,1,1
127,579,1,4
128,673,1,14
129,627,1,5
130,26,1,1
131,638,1,2
132,639,1,1
