issue_no,found_id,is_issue,is_pull_request
44925,41897,False,True
44895,14535,True,False
44810,38826,True,False
44704,43569,True,False
44663,41470,True,False
44663,41471,True,False
44663,41472,True,False
44663,41519,True,False
44663,41520,True,False
44663,41758,True,False
44661,44642,True,False
44661,44643,True,False
44661,44648,True,False
44605,43411,True,False
44578,44554,False,True
44524,44523,False,True
44517,42643,True,False
44517,35989,True,False
44515,33486,True,False
44515,34739,True,False
44515,36515,True,False
44494,40881,True,False
44467,1179,True,False
44467,1180,False,True
44457,36907,True,False
44232,41897,False,True
44219,44202,False,True
44219,44069,False,True
44214,44069,False,True
44044,35401,True,False
43958,44045,True,True
43958,345,False,True
43958,44046,True,True
43958,44046,True,True
43866,39192,True,True
43795,536,True,False
43778,43690,True,False
43778,43691,True,False
43778,43692,True,False
43778,43693,True,False
43778,43694,True,False
43778,43689,True,False
43778,43783,True,False
43778,44859,True,False
43774,30960,True,False
43748,1953,True,False
43697,43397,False,True
43697,38225,True,True
43554,0,False,False
43554,1,False,True
43554,2,False,True
43554,3,False,False
43554,4,False,True
43554,5,False,True
43554,6,False,True
43554,7,False,True
43554,8,True,False
43554,9,True,False
43554,10,False,True
43554,11,False,True
43554,12,False,True
43554,13,False,True
43554,14,False,True
43554,15,False,True
43518,43786,True,True
43490,58,False,True
43447,43346,True,False
43416,43717,True,True
43411,43363,True,True
43351,41897,False,True
43351,43651,True,True
43349,0,False,False
43349,1,False,True
43349,2,False,True
43349,3,False,False
43349,4,False,True
43349,5,False,True
43349,6,False,True
43349,7,False,True
43349,8,True,False
43349,9,True,False
43325,41126,False,True
43222,1559,True,False
43147,167,False,True
43122,42836,False,True
43079,42265,True,False
43071,43423,False,True
43071,43072,True,False
43071,41299,True,False
43016,26541,True,False
42978,766,True,False
42954,40435,False,True
42948,40862,True,False
42926,42824,False,True
42897,42890,True,False
42845,42840,True,False
42641,1,False,True
42592,39210,True,False
42497,2,False,True
42479,42221,True,True
42472,1510,True,False
42418,42333,True,False
42418,42371,True,True
42418,42381,True,True
42418,37491,False,True
42418,37491,False,True
42418,42333,True,False
42392,42408,True,True
42392,42409,True,True
42390,42408,True,True
42390,42409,True,True
42384,40074,True,False
42341,32205,True,False
42333,37491,False,True
42288,42402,False,True
42264,24148,True,False
42250,41616,False,True
42230,42229,True,False
42229,42230,True,False
42128,41670,True,False
42108,40412,True,False
42108,42420,True,True
42108,42989,False,True
42081,413,True,False
42036,30495,True,False
42023,40435,False,True
42022,40435,False,True
41991,1,False,True
41958,31,False,True
41952,40708,True,False
41915,9,True,False
41902,13691,True,False
41759,41526,True,True
41732,38720,False,True
41727,29683,True,False
41604,161,False,True
41584,40167,False,True
41582,41584,True,False
41556,5375,True,False
41542,35020,False,True
41542,40810,True,False
41542,13425,True,False
41531,41022,False,True
41530,41022,False,True
41523,41304,True,False
41514,41444,False,True
41446,4732,True,False
41446,4737,True,False
41409,41335,False,True
41402,39313,False,True
41376,41234,True,True
41355,36941,True,False
41354,41760,True,True
41354,41760,True,True
41292,35034,True,False
41275,1457,False,True
41258,40882,True,True
41235,41239,False,True
41168,40435,False,True
41162,41161,True,False
41133,41131,True,False
41131,40435,False,True
41131,41133,True,False
41119,40435,False,True
41100,46575,False,False
40954,33367,True,False
40939,39603,True,False
40927,40841,False,True
40926,40841,False,True
40901,40727,True,False
40886,40841,False,True
40764,22838,True,False
40764,22838,True,False
40718,12809,True,False
40704,40683,True,False
40651,13041,True,False
40640,40639,True,False
40631,39011,True,False
40489,40124,False,True
40453,1425,True,False
40402,24286,True,False
40394,13348,True,False
40391,38748,True,True
40359,8307,True,False
40351,1748,True,False
40328,26141,True,False
40328,39250,False,True
40328,39781,False,True
40323,39464,False,True
40218,40829,True,True
40115,41412,True,True
40080,40076,True,False
40076,40074,True,False
40076,40074,True,False
39953,2,False,True
39922,19933,True,False
39908,39888,False,True
39896,29177,True,False
39845,39023,True,False
39776,39756,True,False
39756,40076,True,False
39687,39269,True,True
39603,39086,False,True
39603,41882,False,True
39472,39338,True,False
39449,40836,True,True
39440,39416,False,True
39436,5051,True,False
39413,139,True,True
39405,139,True,True
39405,39269,True,True
39341,40031,False,True
39094,38957,False,True
38994,21319,True,False
38943,40837,False,True
38920,38541,True,False
38781,38744,True,False
38755,36847,False,True
38755,185,True,False
38705,34675,False,True
38703,38701,True,False
38631,38549,True,False
38627,40031,False,True
38559,37962,True,True
38504,31149,True,False
38480,38728,True,True
38456,40882,True,True
