issue_no,pull_no,actor,created_at,event
44906,44915,hoyosjs,2020-11-19 01:59:03,connected
44646,44850,briansull,2020-11-18 19:07:27,connected
32400,44850,briansull,2020-11-18 19:06:23,connected
42311,44748,hoyosjs,2020-11-16 22:25:08,connected
44152,44155,jkoritzinsky,2020-11-02 17:43:08,connected
42178,43899,briansull,2020-10-27 17:55:14,connected
43067,43070,davidwrighton,2020-10-06 01:14:39,connected
10959,42964,echesakovMSFT,2020-10-05 23:02:00,connected
10959,42964,echesakovMSFT,2020-10-05 23:02:00,connected
10959,42964,echesakovMSFT,2020-10-05 23:02:00,connected
10959,42964,echesakovMSFT,2020-10-05 23:02:00,connected
42943,42942,davmason,2020-10-01 09:49:22,connected
