pull_no,found_id,is_issue,is_pull_request
45001,44990,True,True
44985,44975,False,True
44950,20597,True,False
44938,44886,True,False
44933,44848,True,False
44927,20594,True,False
44923,44598,True,False
44877,44675,True,True
44872,43843,False,True
44854,44300,True,True
44844,44821,True,False
44844,44822,True,False
44837,44833,False,True
44837,44808,True,False
44827,14574,True,False
44823,43795,True,False
44823,44732,False,True
44819,20587,True,False
44777,43498,True,False
44753,44598,True,False
44748,42900,True,True
44732,44823,False,True
44680,44500,True,False
44677,13507,True,False
44665,44611,True,True
44631,13404,True,False
44620,44502,True,False
44620,44607,False,True
44608,43722,False,True
44608,36541,True,False
44608,36561,True,False
44591,1712,True,False
44591,33418,True,False
44589,44287,True,False
44576,44553,False,True
44563,44471,False,True
44563,44549,False,True
44548,43389,True,False
44539,44549,False,True
44509,44494,True,False
44482,44104,True,True
44482,44483,True,False
44477,44474,False,True
44465,44730,True,False
44462,43865,True,False
44452,44421,True,False
44437,44384,False,True
44431,20560,True,False
44416,20559,True,False
44398,341,False,True
44384,44383,True,False
44366,44183,True,False
44360,44362,False,True
44334,20555,True,False
44305,44210,True,False
44303,20553,True,False
44298,44297,True,False
44282,756,True,False
44267,43711,False,True
44266,43386,False,True
44238,44232,True,False
44212,44081,True,True
44184,44176,True,False
44160,44158,True,False
44157,43962,False,True
44142,44054,True,False
44134,20540,True,False
44127,20537,True,False
44122,13652,True,False
44052,43719,True,False
44047,43729,False,True
44023,44004,False,True
44010,43984,True,False
43982,43786,True,True
43969,43967,True,False
43969,43967,True,False
43907,43590,True,False
43903,43776,False,True
43882,43858,True,False
43862,20518,True,False
43833,20517,True,False
43790,43238,False,True
43790,43238,False,True
43741,43739,False,True
43734,20508,True,False
43724,20504,True,False
43723,36999,True,False
43723,36999,True,False
43718,43714,True,False
43710,43704,True,False
43681,20500,True,False
43677,20499,True,False
43673,42848,False,True
43667,1023,True,False
43661,41585,True,False
43645,1332,True,False
43628,43575,True,False
43627,43502,True,False
43625,27723,True,False
43625,27723,True,False
43615,43611,True,True
43600,20492,True,False
43598,43589,False,True
43593,43592,False,True
43556,43700,True,False
43523,43401,False,True
43505,20487,True,False
43500,43338,True,False
43472,48574,False,False
43442,42427,False,True
43441,43387,True,True
43435,20483,True,False
43427,43420,False,True
43427,43417,True,False
43392,43455,True,False
43375,35180,True,False
43362,42578,False,True
43362,42578,False,True
43358,20476,True,False
43356,6327,True,False
43353,43299,False,True
43310,43256,True,False
43307,42725,True,True
43302,34637,True,False
43297,36510,True,False
43278,37555,False,True
43258,6305,True,False
43237,43235,True,True
43220,20472,True,False
43217,20471,True,False
43213,42974,True,True
43191,42386,False,True
43175,20467,True,False
43173,20465,True,False
43170,20464,True,False
43167,20463,True,False
43164,42942,False,True
43159,43039,True,True
43154,43337,True,False
43154,43337,True,False
43152,40112,True,False
43148,13837,True,False
43148,13837,True,False
43123,42836,False,True
43115,43002,True,True
43100,42924,True,False
43099,43064,False,True
43099,43042,True,False
43099,41851,False,True
43098,3566,True,False
43098,42986,True,True
43098,3569,True,False
43040,42053,False,True
43031,42756,True,True
43020,42637,True,False
43009,40738,True,False
43006,40846,True,False
43006,40899,False,True
42990,42862,True,False
42989,41851,False,True
42977,20453,True,False
42945,42839,True,False
42939,41639,True,False
42936,20448,True,False
42934,42435,True,True
42930,40691,False,True
42930,42824,False,True
42911,42861,True,False
42911,42861,True,False
42901,40690,True,True
42884,42486,True,True
42884,42658,False,True
42884,42666,True,True
42882,42878,False,True
42879,42334,True,False
42878,42870,True,False
42871,41232,True,False
42854,42744,False,True
42853,42689,True,True
42849,42822,True,True
42848,12446,True,False
42819,20440,True,False
42811,41126,False,True
42804,20438,True,False
42797,20436,True,False
42758,20435,True,False
42726,42188,False,True
42726,41670,True,False
42712,42659,False,True
42701,42640,False,True
42699,42639,True,True
42685,20431,True,False
42674,42517,True,False
42667,20430,True,False
42660,42557,True,False
42659,42596,True,False
42653,42603,False,True
42638,42622,True,True
42638,42581,True,False
42631,20425,True,False
42626,42188,False,True
42626,42188,False,True
42623,42535,False,True
42604,42274,True,True
42586,42565,False,True
42586,42159,False,True
42580,20423,True,False
42565,42159,False,True
42558,42483,False,True
42551,42541,False,True
42537,42533,False,True
42531,20418,True,False
42528,42402,False,True
42522,42111,True,True
42496,42480,False,True
42494,42355,False,True
42477,42470,True,True
42477,42418,True,False
42477,37491,False,True
42474,42474,False,True
42473,42455,True,False
42462,20408,True,False
42454,42442,False,True
42453,42452,False,True
42453,42448,True,False
42449,42432,True,True
42449,42423,True,False
42431,40601,False,True
42410,42385,True,True
42409,42408,True,True
42409,42390,True,False
42409,42392,True,False
42403,42255,True,True
42398,20405,True,False
42394,42159,False,True
42393,42428,True,False
42393,42428,True,False
42391,42357,False,True
42385,41595,True,False
42381,42371,True,True
42381,802,True,False
42368,42307,False,True
42366,42315,False,True
42353,42331,False,True
42351,20400,True,False
42349,41650,True,False
42349,41650,True,False
42331,42324,True,False
42313,987,True,False
42299,42227,True,True
42285,37431,True,False
42270,42343,False,True
42270,42320,False,True
42267,42074,False,True
42267,42063,False,True
42267,42010,True,True
42263,42227,True,True
42263,41973,True,False
42260,40690,True,True
42251,20395,True,False
42240,41539,False,True
42228,41925,True,False
42216,42215,False,True
42216,40518,True,False
42213,42152,True,True
42212,42115,True,False
42208,20386,True,False
42204,42077,False,True
42203,41874,False,True
42191,42172,True,False
42189,42186,False,True
42188,42128,True,False
42188,38620,False,True
42188,42128,True,False
42188,38620,False,True
42181,20382,True,False
42180,42751,True,False
42180,42751,True,False
42164,13647,True,False
42158,41616,False,True
42158,42250,True,False
42158,41616,False,True
42158,42250,True,False
42141,42112,False,True
42141,41674,True,False
42138,20379,True,False
42137,20378,True,False
42120,42091,True,True
42112,41674,True,False
42102,42089,False,True
42100,42083,False,True
42088,42026,False,True
42075,41955,False,True
42075,41949,True,False
42071,41184,False,True
42071,41271,False,True
42071,41694,False,True
42071,41683,False,True
42071,41682,False,True
42071,41700,False,True
42071,40924,False,True
42071,41891,False,True
42071,41963,False,True
42071,41985,False,True
42069,41967,False,True
42067,40910,False,True
42064,42052,False,True
42064,41699,True,False
42055,42334,True,False
42055,42334,True,False
42054,38900,False,True
42042,41913,False,True
42033,41140,True,False
42028,41691,True,True
42014,41800,False,True
42014,40388,True,False
42014,38774,False,True
42007,42000,True,False
41995,41856,False,True
41989,41657,False,True
41987,41087,True,False
41986,41966,False,True
41985,41087,True,False
41983,41974,False,True
41976,41087,True,False
41972,20361,True,False
41971,41087,True,False
41961,20357,True,False
41913,20354,True,False
41912,39967,True,False
41908,41840,False,True
41907,41809,True,True
41895,41894,True,True
41890,41784,False,True
41888,41087,True,False
41884,41087,True,False
41882,41787,True,True
41879,41784,False,True
41877,41835,False,True
41875,41815,False,True
41868,41862,True,True
41845,41731,True,True
41845,41696,True,False
41843,41801,True,True
41842,41803,True,True
41838,40871,False,True
41838,40535,False,True
41836,41731,True,True
41835,41770,True,False
41833,41791,True,True
41828,41358,True,True
41827,41825,True,False
41824,41476,False,True
41820,40641,True,True
41820,41817,True,True
41820,40641,True,True
41817,40641,True,True
41817,40641,True,True
41814,41776,False,True
41810,41795,True,True
41806,41799,True,True
41799,40163,True,False
41791,10756,True,False
41784,40642,False,True
41783,38793,False,True
41762,41746,False,True
41762,41034,True,False
41761,40486,True,True
41755,41671,True,True
41747,41508,True,True
41747,41668,True,True
41735,41711,False,True
41734,41703,False,True
41733,41039,True,True
41726,41648,True,True
41725,41648,True,True
41715,41688,False,True
41709,20332,True,False
41702,41633,False,True
41701,42000,True,False
41694,41087,True,False
41681,41641,False,True
41672,41445,False,True
41669,41441,False,True
41668,41508,True,True
41663,41445,False,True
41662,41441,False,True
41660,41655,False,True
41645,41638,False,True
41642,41004,False,True
41641,37467,True,False
41628,20330,True,False
41624,41430,False,True
41624,41267,True,False
41613,24948,True,False
41610,40338,False,True
41601,41277,False,True
41574,20328,True,False
41547,41532,False,True
41546,20323,True,False
41536,20321,True,False
41517,41515,True,False
41501,41400,False,True
41490,41484,False,True
41486,40699,True,True
41483,41467,True,True
41479,41447,True,False
41476,20131,True,False
41476,41512,True,False
