group,oldest_pull,pulls_total,commits_total
0,32912,1,607
1,33494,1,147
2,33678,1,18
3,37103,1,13
4,34077,1,18
5,34,1,1
6,35,1,1
7,37,1,1
8,39,1,1
9,42,1,5
10,41,1,1
11,36,1,1
12,44,1,1
13,46,1,1
14,48,1,1
15,47,1,1
16,38,1,1
17,49,1,1
18,53,1,1
19,54,1,1
20,43,1,1
21,50,1,1
22,59,1,1
23,60,1,1
24,56,1,1
25,62,1,1
26,61,1,1
27,69,1,1
28,87,1,1
29,88,1,1
30,90,1,1
31,94,1,1
32,83,1,1
33,102,1,1
34,91,1,1
35,104,1,1
36,111,1,2
37,113,1,6
38,107,1,1
39,86,1,1
40,105,1,1
41,125,1,2
42,122,1,1
43,117,1,1
44,85,1,1
45,128,1,1
46,130,1,1
47,136,1,2
48,138,1,1
49,135,1,1
50,144,1,1
51,145,1,5
52,146,1,3
53,148,1,2
54,152,1,2
55,120,1,1
56,151,1,1
57,132,1,1
58,154,1,1
59,157,1,2
60,158,1,2
61,106,1,1
62,101,1,1
63,169,1,6
64,115,1,1
65,153,1,1
66,176,1,1
67,174,1,1
68,182,1,1
69,142,1,1
70,171,1,1
71,161,1,1
72,187,1,2
73,160,1,1
74,194,1,2
75,178,1,1
76,197,1,1
77,163,1,1
78,175,1,1
79,193,1,1
80,188,1,1
81,183,1,1
82,211,1,1
83,179,1,1
84,186,1,1
85,103,1,1
86,192,1,1
87,205,1,1
88,210,1,1
89,204,1,1
90,215,1,3
91,216,1,1
92,206,1,1
93,214,1,1
94,172,1,1
95,202,1,1
96,218,1,1
97,220,1,1
98,238,1,1
99,180,1,1
100,217,1,1
101,240,1,1
102,223,1,1
103,201,1,1
104,189,1,1
105,78,1,1
106,209,1,1
107,236,1,1
108,225,1,1
109,241,1,1
110,251,1,1
111,230,1,1
112,167,1,1
113,266,1,7
114,250,1,1
115,252,1,1
116,239,1,1
117,268,1,1
118,249,1,1
119,222,1,1
120,271,1,1
121,278,1,1
122,285,1,1
123,262,1,1
124,244,1,1
125,243,1,1
126,289,1,1
127,259,1,1
128,229,1,1
129,269,1,1
130,258,1,1
131,231,1,1
132,301,1,1
133,311,1,1
134,300,1,1
135,293,1,1
136,228,1,1
137,233,1,1
138,263,1,1
139,331,1,2
140,324,1,1
141,326,1,1
142,279,1,1
143,270,1,1
144,198,1,1
145,310,1,1
146,277,1,1
147,288,1,1
148,287,1,1
149,343,1,1
150,261,1,1
151,340,1,1
152,337,1,1
153,327,1,1
154,352,1,1
155,264,1,1
156,275,1,1
157,370,1,1
158,374,1,1
159,274,1,1
160,383,1,1
161,373,1,1
162,344,1,1
163,384,1,1
164,396,1,1
165,401,1,1
166,407,1,1
167,338,1,1
168,303,1,1
169,426,1,1
170,397,1,1
171,424,1,1
172,441,1,1
173,322,1,1
174,350,1,1
175,309,1,1
176,459,1,4
177,375,1,1
178,317,1,1
179,450,1,1
180,449,1,1
181,447,1,1
182,312,1,1
183,468,1,1
184,305,1,1
185,470,1,3
186,455,1,1
187,458,1,1
188,456,1,1
189,348,1,1
190,306,1,1
191,369,1,1
192,481,1,1
193,484,1,1
194,488,1,1
195,482,1,1
196,294,1,1
197,497,1,3
198,308,1,1
199,501,1,1
200,398,1,1
201,500,1,1
202,471,1,1
203,511,1,1
204,519,1,2
205,516,1,1
206,496,1,1
207,526,1,1
208,464,1,1
209,466,1,1
210,549,1,1
211,546,1,1
212,523,1,1
213,499,1,1
214,491,1,1
215,561,1,1
216,562,1,1
217,564,1,1
218,547,1,1
219,559,1,1
220,445,1,1
221,538,1,1
222,541,1,1
223,581,1,2
224,548,1,1
225,555,1,1
226,583,1,1
227,585,1,1
228,472,1,1
229,566,1,1
230,544,1,1
231,588,1,1
232,579,1,1
233,530,1,1
234,565,1,1
235,346,1,1
236,570,1,1
237,532,1,1
238,595,1,1
239,478,1,1
240,495,1,1
241,603,1,1
242,560,1,1
243,537,1,1
244,607,1,1
245,542,1,1
246,520,1,1
247,313,1,1
248,619,1,1
249,584,1,1
250,600,1,1
251,551,1,1
252,292,1,1
253,623,1,1
254,631,1,2
255,591,1,1
256,592,1,1
257,290,1,1
258,625,1,1
259,692,1,5
260,390,1,1
261,388,1,1
262,659,1,1
263,658,1,1
264,675,1,1
265,386,1,1
266,613,1,1
267,634,1,1
268,664,1,1
269,671,1,1
270,669,1,1
271,626,1,1
272,296,1,1
273,533,1,1
274,608,1,1
275,400,1,1
276,451,1,1
277,711,1,2
278,642,1,1
279,586,1,1
280,652,1,1
281,503,1,1
282,719,1,3
283,713,1,1
284,614,1,1
285,741,1,1
286,685,1,1
287,710,1,1
288,716,1,1
289,744,1,1
290,436,1,1
291,697,1,1
292,769,1,3
293,691,1,1
294,763,1,1
295,762,1,1
296,708,1,3
297,750,1,1
298,318,1,1
299,723,1,1
300,316,1,1
301,672,1,1
302,679,1,1
303,590,1,1
304,784,1,4
305,714,1,1
306,751,1,1
307,684,1,1
308,748,1,1
309,700,1,1
310,791,1,1
311,755,1,1
312,699,1,1
313,777,1,1
314,775,1,1
315,797,1,1
316,637,1,1
317,815,1,1
318,790,1,1
319,828,1,1
320,729,1,1
321,758,1,1
322,814,1,1
323,823,1,1
324,835,1,1
325,793,1,1
326,494,1,2
327,647,1,1
328,795,1,1
329,841,1,1
330,844,1,1
331,838,1,1
332,846,1,1
333,859,1,1
334,843,1,1
335,602,1,1
336,868,1,1
337,747,1,1
338,457,1,1
339,879,1,1
340,746,1,1
341,878,1,1
342,257,1,3
343,467,1,1
344,454,1,1
345,900,1,1
346,899,1,1
347,737,1,1
348,845,1,2
349,993,1,7
350,367,1,1
351,267,1,1
352,896,1,1
353,975,1,1
354,874,1,1
355,984,1,2
356,985,1,1
357,977,1,1
358,903,1,1
359,875,1,1
360,873,1,1
361,722,1,1
362,1001,1,1
363,1003,1,1
364,740,1,1
365,813,1,1
366,980,1,1
367,453,1,1
368,1004,1,1
369,1013,1,1
370,842,1,1
371,1006,1,1
372,848,1,1
373,1016,1,1
374,999,1,1
375,990,1,1
376,1033,1,1
377,1063,1,1
378,604,1,1
379,833,1,1
380,1066,1,1
381,1043,1,1
382,1073,1,5
383,991,1,1
384,378,1,1
385,986,1,1
386,1090,1,1
387,1077,1,1
388,1092,1,1
389,1110,1,1
390,1113,1,1
391,1125,1,1
392,1126,1,1
393,1086,1,1
394,1133,1,1
395,1131,1,1
396,1151,1,1
397,1169,1,1
398,1159,1,1
399,881,1,1
400,872,1,1
401,276,1,1
402,1184,1,1
403,1175,1,1
404,1188,1,1
405,1183,1,1
406,752,1,1
407,837,1,1
408,894,1,1
409,1078,1,1
410,1157,1,1
411,1146,1,1
412,1195,1,10
413,1067,1,1
414,1209,1,1
415,706,1,1
416,1205,1,1
417,1216,1,1
418,1214,1,1
419,1226,1,3
420,1202,1,1
421,528,1,1
422,1093,1,1
423,1196,1,1
424,1240,1,1
425,1084,1,1
426,376,1,1
427,1180,1,1
428,1136,1,1
429,654,1,1
430,1223,1,1
431,1160,1,1
432,1247,1,1
433,1254,1,1
434,1253,1,1
435,1190,1,1
436,1263,1,1
437,1284,1,1
438,1201,1,1
439,1234,1,1
440,1295,1,1
441,1302,1,1
442,1304,1,1
443,1303,1,1
444,1299,1,1
445,1283,1,1
446,1312,1,1
447,1072,1,1
448,686,1,1
449,1307,1,1
450,1200,1,1
451,1038,1,1
452,1306,1,1
453,892,1,1
454,1292,1,1
455,1324,1,1
456,1017,1,1
457,1083,1,1
458,1272,1,1
459,1328,1,1
460,1335,1,1
461,1319,1,1
462,1103,1,1
463,1330,1,1
464,1336,1,1
465,1243,1,1
466,1337,1,1
467,1331,1,1
468,1313,1,1
469,1005,1,1
470,1032,1,1
471,1305,1,1
472,1057,1,1
473,1288,1,1
474,1271,1,1
475,1358,1,1
476,1359,1,1
477,1279,1,1
478,1181,1,1
479,1356,1,1
480,1354,1,1
481,1345,1,1
482,1373,1,3
483,1236,1,1
484,1102,1,2
485,1369,1,1
486,1370,1,1
487,1376,1,1
488,1385,1,1
489,1346,1,3
490,1339,1,1
491,1389,1,1
492,1372,1,1
493,808,1,1
494,1381,1,1
495,1364,1,1
496,545,1,1
497,1447,1,1
498,1441,1,1
499,1450,1,1
500,1036,1,1
501,1371,1,1
502,1474,1,1
503,1467,1,1
