pull_id,pull_no,total_commits
525207141,45064,1
525202274,45062,19
525185128,45058,1
525184325,45057,2
525167258,45054,2
525159236,45052,1
525037510,45046,1
525036912,45044,12
525024001,45043,1
525020510,45042,1
525018353,45041,1
525016471,45040,1
525007728,45038,3
524991705,45036,1
524963010,45029,1
524947852,45025,9
524942707,45024,1
524936122,45022,3
524930220,45020,18
524929169,45019,1
524925788,45018,1
524907113,45015,1
524903479,45014,2
524886464,45012,2
524850818,45009,1
524807567,45005,1
524804083,45004,1
524801949,45003,2
524738949,45001,2
524705084,45000,5
524683072,44999,2
524680998,44998,1
524663672,44993,5
524636201,44990,2
524609524,44989,2
524439796,44987,9
524433651,44985,1
524418402,44984,1
524391838,44983,11
524389351,44982,2
524381368,44980,4
524378067,44979,1
524370105,44978,1
524352865,44977,2
524348965,44976,1
524346857,44975,1
524316529,44973,4
524309973,44972,1
524302441,44971,1
524280178,44970,2
524189406,44964,16
524173859,44962,1
524162045,44959,3
524151808,44954,1
524148632,44953,2
524126780,44951,1
524116221,44950,1
523998366,44945,4
523965438,44942,2
523804753,44938,2
523796218,44937,1
523709483,44934,1
523709010,44933,1
523698158,44932,1
523681969,44930,1
523658651,44927,1
523642024,44923,1
523633795,44921,1
523625742,44918,1
523625721,44917,1
523622595,44915,1
523618382,44913,1
523604270,44911,4
523592590,44908,1
523560538,44905,1
523548428,44904,1
523544716,44902,1
523515574,44901,2
523502410,44899,1
523495082,44898,3
523490490,44896,1
523485349,44893,1
523468353,44892,1
523464854,44891,1
523449865,44889,4
523438173,44888,1
523429347,44887,1
523397070,44885,2
523375578,44883,1
523327829,44881,1
523295975,44880,1
523273005,44877,3
523245641,44874,1
523218590,44872,1
523195027,44870,1
523179755,44868,1
523166984,44867,1
523095446,44863,1
523040692,44857,1
522928107,44854,1
522903320,44853,2
522862441,44851,1
522835043,44850,2
522806638,44847,2
522802416,44846,1
522802233,44845,2
522794941,44844,1
522789458,44843,4
522767776,44839,2
522766552,44838,2
522757417,44837,1
522746472,44836,1
522736640,44835,3
522735524,44834,3
522711331,44833,1
522706878,44832,3
522681680,44828,2
522679499,44827,1
522669124,44825,1
522651017,44823,3
522631951,44819,1
522604572,44815,1
522592617,44814,3
522586023,44813,1
522581593,44812,2
522575279,44811,1
522568540,44809,3
522458667,44802,3
522376876,44800,13
522356917,44797,6
522298207,44791,3
522291737,44790,2
522240701,44787,4
522204990,44783,1
522193192,44781,11
522093709,44777,1
522070245,44774,3
522053599,44772,3
522048607,44771,6
522032684,44765,1
521978970,44760,1
521974753,44759,1
521932196,44757,2
521920107,44756,1
521919486,44755,1
521898194,44753,1
521877891,44751,4
521873035,44750,1
521864240,44749,4
521855889,44748,1
521853729,44747,12
521838599,44746,1
521816307,44741,3
521804099,44737,1
521763292,44734,1
521737774,44732,3
521734611,44731,1
521676663,44727,3
521561049,44722,6
521399796,44716,2
521350741,44715,2
521311001,44712,2
521296939,44711,1
521256879,44709,1
521236512,44706,2
521215334,44703,2
521131865,44696,1
521127193,44694,1
521120892,44693,1
521049975,44691,1
521043448,44688,21
521030097,44685,1
521026945,44684,1
520971532,44682,2
520957292,44680,2
520932992,44677,2
520923523,44675,4
520910570,44672,1
520906790,44671,1
520901502,44670,8
520884215,44668,3
520854265,44665,4
520850969,44664,1
520844550,44662,1
520827226,44658,9
520760662,44656,1
520674672,44651,1
520669186,44650,1
520659778,44649,3
520648648,44647,2
520633253,44645,1
520615869,44644,3
520551776,44640,6
520510725,44637,9
520506193,44635,1
520487973,44634,1
520387881,44633,9
520381915,44632,1
520355403,44631,1
520289617,44629,5
520276763,44627,1
520267425,44625,2
520263431,44624,2
520232120,44620,2
520227301,44618,3
520221534,44617,1
520210978,44615,1
520204344,44613,1
520183739,44612,1
520156376,44611,4
520145618,44609,2
520144099,44608,3
520131284,44607,1
520109697,44604,1
520079228,44603,2
520070916,44601,1
520055076,44597,1
519992597,44594,3
519916491,44593,1
519897143,44591,7
519882084,44589,3
519825146,44586,2
519794594,44585,10
519731332,44581,3
519603295,44577,1
519571905,44576,1
519566108,44574,4
519563196,44572,2
519556188,44571,1
519548242,44568,1
