issue_no,found_id,is_issue,is_pull_request
14673,14379,False,True
13938,8686,True,False
13890,13893,False,True
13560,4731,True,False
13080,13078,False,True
13080,13079,False,True
13080,13081,True,False
13080,13093,False,True
13080,12916,True,False
13003,3871,True,False
12921,15448,False,False
12921,19861,False,False
12900,11225,True,False
12900,11226,True,False
12900,1458,True,False
12900,867,True,False
12900,11227,True,False
12900,12387,True,False
12899,11165,True,False
12611,9787,True,False
12473,5509,True,False
12387,317,True,True
12357,10100,True,False
12075,1,True,False
12037,6277,True,False
11870,1,True,False
11845,37196,False,False
11803,1750,True,False
11733,4706,True,False
11556,11234,True,False
11537,20200306,False,False
11243,17265,False,False
11230,11229,True,False
11229,104,True,False
11225,11556,True,False
11157,10878,True,False
11010,34033,False,False
10575,1841,True,True
10562,74,False,True
10432,4283,True,False
10423,13749,False,True
10300,11066,False,True
10289,10127,True,False
10160,10000,True,False
10152,4283,True,False
10143,5224,True,False
10123,9851,True,False
10119,6145,True,False
10119,10009,True,False
10084,1159,True,False
10054,4952,True,False
10054,4953,True,False
10030,2774,False,True
10023,8601,True,False
10002,7644,True,False
9998,4873,True,False
9997,3097,False,True
9988,4587,True,False
9987,2698,True,False
9985,145,True,False
9982,154,True,True
9978,7603,True,False
9976,5880,True,False
9969,1855,True,False
9967,4809,True,False
9965,7581,True,False
9963,2700,True,True
9954,1851,True,True
9949,9695,True,False
9949,7011,True,False
9949,9695,True,False
9949,3619,True,False
9946,7527,True,False
9942,5290,True,False
9940,7525,True,False
9938,7524,True,False
9936,7514,True,False
9935,1841,True,True
9931,7509,True,False
9926,426,True,True
9923,2646,True,True
9913,5287,True,False
9912,10295,True,False
9908,3947,False,True
9898,1826,True,True
9888,4710,True,False
9880,1819,True,True
9879,1692,False,True
9876,7431,True,False
9872,1836,True,False
9856,3829,False,True
9840,1795,False,True
9839,1794,False,True
9813,13544,False,True
9799,10104,True,False
9793,9744,True,False
9792,10174,True,False
9791,9744,True,False
9780,1773,True,False
9760,7321,True,False
9758,7839,True,False
9752,32319,False,False
9748,1661,True,True
9743,3537,False,True
9741,1660,False,True
9738,1659,True,True
9734,6869,True,False
9722,4543,True,False
9712,8367,True,False
9704,10059,True,False
9704,9924,True,False
9704,9917,True,False
9702,4511,True,False
9693,1649,False,True
9691,4497,True,False
9686,7232,True,False
9685,4309,True,False
9684,3443,False,True
9681,90,True,True
9675,7217,True,False
9675,8809,True,False
9674,1645,False,True
9670,9986,True,False
9668,9847,True,False
9665,3627,True,False
9663,7204,True,False
9653,1640,True,True
9648,7191,True,False
9637,7165,True,False
9629,9029,True,False
9627,1701,False,True
9620,4413,True,False
9617,1596,True,False
9615,4391,True,False
9614,4390,True,False
9613,31259,False,False
9600,4372,True,False
9596,2446,True,False
9595,7117,True,False
9592,28532,False,False
