issue_no,actor,event,event_id,created_at
14497,sahalsaad,referenced,4040379077,2020-11-26 01:23:09
14712,sfoslund,closed,4039900788,2020-11-25 21:25:08
14691,msftbot[bot],closed,4039372435,2020-11-25 18:25:16
14461,msftbot[bot],closed,4039372429,2020-11-25 18:25:16
14712,sfoslund,milestoned,4039089531,2020-11-25 17:08:42
14712,sfoslund,assigned,4039089169,2020-11-25 17:08:38
11820,solazs,subscribed,4039001056,2020-11-25 16:47:23
11820,solazs,mentioned,4039001053,2020-11-25 16:47:23
14712,RussKie,transferred,4037441902,2020-11-25 10:48:34
14691,billwert,subscribed,4037410778,2020-11-25 10:41:13
14691,billwert,mentioned,4037410774,2020-11-25 10:41:13
9180,nguerrera,subscribed,4036723937,2020-11-25 08:01:31
9180,nguerrera,mentioned,4036723934,2020-11-25 08:01:31
14602,vuplea,closed,4036452961,2020-11-25 06:37:16
14602,vitek-karas,subscribed,4036451365,2020-11-25 06:36:48
14602,vitek-karas,mentioned,4036451363,2020-11-25 06:36:48
14602,dsplaisted,subscribed,4036451359,2020-11-25 06:36:48
14602,dsplaisted,mentioned,4036451354,2020-11-25 06:36:48
14712,Zheng-Li01,renamed,4036302787,2020-11-25 05:49:18
9180,marcpopMSFT,subscribed,4035904766,2020-11-25 03:17:00
9180,marcpopMSFT,mentioned,4035904759,2020-11-25 03:17:00
9180,KathleenDollard,subscribed,4035904754,2020-11-25 03:17:00
9180,KathleenDollard,mentioned,4035904752,2020-11-25 03:17:00
9180,nguerrera,subscribed,4035782674,2020-11-25 02:30:42
9180,nguerrera,mentioned,4035782668,2020-11-25 02:30:42
12035,sbomer,referenced,4035434874,2020-11-25 00:42:37
14642,sbomer,referenced,4035434872,2020-11-25 00:42:37
14691,adamsitnik,subscribed,4035122799,2020-11-24 22:44:27
14691,adamsitnik,mentioned,4035122796,2020-11-24 22:44:27
14691,sfoslund,subscribed,4034967596,2020-11-24 21:52:59
14691,sfoslund,mentioned,4034967587,2020-11-24 21:52:59
13513,dsplaisted,subscribed,4034837857,2020-11-24 21:13:26
13513,dsplaisted,mentioned,4034837852,2020-11-24 21:13:26
14272,cartermp,subscribed,4034764811,2020-11-24 20:52:35
14272,cartermp,mentioned,4034764809,2020-11-24 20:52:35
14691,sfoslund,milestoned,4034262338,2020-11-24 18:29:35
14691,sfoslund,assigned,4034262055,2020-11-24 18:29:31
14691,sfoslund,subscribed,4034156672,2020-11-24 18:02:35
14691,sfoslund,mentioned,4034156659,2020-11-24 18:02:35
14691,adamsitnik,subscribed,4033973976,2020-11-24 17:19:20
14691,adamsitnik,mentioned,4033973972,2020-11-24 17:19:19
14602,wli3,subscribed,4032101461,2020-11-24 10:53:49
14602,wli3,mentioned,4032101459,2020-11-24 10:53:48
14602,dsplaisted,subscribed,4032101453,2020-11-24 10:53:48
14602,dsplaisted,mentioned,4032101449,2020-11-24 10:53:48
14683,FixBo,renamed,4031785644,2020-11-24 09:45:42
14497,russcam,referenced,4031179064,2020-11-24 07:16:58
14673,msftbot[bot],closed,4030410727,2020-11-24 01:56:47
9782,jonsequitur,subscribed,4030030749,2020-11-23 23:11:42
9782,jonsequitur,mentioned,4030030747,2020-11-23 23:11:42
14667,sfoslund,milestoned,4030030008,2020-11-23 23:11:23
14667,wli3,subscribed,4030029830,2020-11-23 23:11:19
14667,wli3,mentioned,4030029827,2020-11-23 23:11:19
14660,sfoslund,closed,4030010944,2020-11-23 23:04:06
14673,sfoslund,milestoned,4029695704,2020-11-23 21:21:26
14673,sfoslund,assigned,4029695354,2020-11-23 21:21:22
14673,sfoslund,subscribed,4029672941,2020-11-23 21:15:30
14673,sfoslund,mentioned,4029672936,2020-11-23 21:15:30
14667,mairaw,transferred,4028898797,2020-11-23 17:45:07
14660,sfoslund,milestoned,4028659557,2020-11-23 16:52:15
14660,sfoslund,assigned,4028659208,2020-11-23 16:52:10
14660,sebastienros,subscribed,4028658910,2020-11-23 16:52:06
14660,sebastienros,mentioned,4028658905,2020-11-23 16:52:06
1522,mustakimali,referenced,4028429930,2020-11-23 16:05:31
14660,sfoslund,subscribed,4028382935,2020-11-23 15:56:52
14660,sfoslund,mentioned,4028382932,2020-11-23 15:56:52
14489,motowilliams,subscribed,4027980519,2020-11-23 14:37:37
14489,motowilliams,mentioned,4027980507,2020-11-23 14:37:37
14657,javiercn,transferred,4027538034,2020-11-23 13:02:40
14497,lucavice,subscribed,4027440537,2020-11-23 12:38:24
