commit_sha,pull_no,issue_no
65f3634e533c9c360d9cff9d05c524305491ad5e,14727,None
416c66ee2ca87c4e9637bb65fcb8ca42f45bf941,14723,None
f792872a53266924a0a7e3eaedc49fcfc92e24b1,14718,None
2a4d0e5a0c9e4040180802cc0b888be71f592854,14706,None
831a396cd023ea9cb4984e5d688ada3961f4eea6,14701,None
1080365579424c1192a41766b7655f12ef11e45c,14718,None
2657590b83bdcb0cdcffc7d9c3b5751699022856,14713,None
fa5dad93ed8ba4d2731729e5270e2f4a790e788f,14710,None
3daf16483a1328390bdf2ac92e836a76c99dbda4,14695,None
2b64a734366b7b8cdbf9b18cf0b5b880def65f2b,14694,None
bce9190d492f0f9269bf24f4c08819c1aff43ec9,14682,None
f33ae5a6440678687814dc9c9ad07fe5ab8e2f47,14685,None
176d839a9d164835e625fb4703000b49f52f7b46,14684,None
d257737066a1d5ca4e941195c8272debd7471afc,14687,None
44eebc0df07abafdd35929c374451dc78b26afa4,14686,None
1b02d50506ccdfd418cadc60f2ca7aeba29d7bb3,14662,None
af2f7aec56fe6c763be2ea3ad7bc7e862b6e48c9,14690,None
8ed60c62b7fe25ecee657f79485325ebda970a84,14678,None
c43a25ed49e794c48b48550bb232be1fdedc8327,14677,None
ba13a9d1ac890ffd107b364242289fddbc3671d2,14676,None
5bdda325a242cee516adab7b6de7ba9707d01bf0,14678,None
d2384afb2c28b418e900e51cc41d08fffcfaf0db,14658,None
74a8a3df651fdf3d818033d761daec7c17707bf5,14674,None
34b73250dcd243ecd1e104ed0d86f6b0735e973f,14678,None
39ff04e8d0c8129b17bb4a56e171fcdde3496047,14664,None
311d80f953872e097efd467862a1c6afc3755195,14644,None
cad3fa309825d8c97e6d28075e594a51aa251a32,14671,None
592abc40952cda514b4e130780bc80639205e02f,14603,None
fa847406f81286a75073a2f58b0033c176a2560e,14663,None
ec659b1608bbe355da859a2c65b0aed64e4b4d96,14664,None
ed01797db0c14195e75ffd523191a2e3eac3f1f6,14655,None
008254c7a77e54b883d9b46b5d2d9042d24d8d47,14632,None
cf2e279ae8c226ee98b6f03216bd08f76ebfe841,14643,None
4a3d1666b2a5b9445893845e95692ba7f97a0af2,14654,None
67d902bf9382641e63f993da916784c6a268b553,14633,None
3e8a182b664643bba50b39a2e89c7deb2225db8c,14650,None
cbb23f3f61f780af60e0f09a43697121bda25ca5,14639,None
0a00ed22019ad71d05bcb34568c9099b04f95e22,14644,None
f4a7b58a262af42f46811a19b95c366d262e224f,14637,None
3d4a6845ddc32ea54ea6d6738e93bf7b5d7edee1,14629,None
072b4f71ab7a9b1b35ec7dd6c4fd78c97cf5f805,14628,None
72240bdb646415a1ae5c184910e12d537579c0c4,14589,None
edc51a7b10b348aa199654c7e1f2bcb61db0ddb7,14611,None
9e767ddf3cf9737363e8e0a63370c6e30a7b6f71,14612,None
19c295b643207da3a70b7c41225cc4134f88f447,14613,None
53c306441eb4f112891881aa29a5284f5540b63c,14532,None
3c597f2cedff21c4808f4eb5728b24cda39f791a,14616,None
0c12b8c7c46c3e2582ee99c28ef41d4f2a630e5c,14614,None
5e440989fcadb67a4f91dc4da993c85c927e4be5,14379,1077
4ad223ed3fe7ad36673e869315ea44d0fd0c991b,14596,None
8707c5aa7e3e72a5dfa518bb89c625be5270c720,14595,None
2829afcb4f31f65f195f5b4dc82b4d84ae096610,14593,None
d058470bad35d9188d0a50d36e4ee47623f0b419,14592,None
3666e2dc04720a5efc3dc605852d7bcc9ef29a5d,14590,None
28e2e905f4ddca342d207a432542cdc3c993672f,14575,None
75ffe7c838d42c3f7c90c225e631f237c1eeaf07,14588,None
dad1651340e67b54ff2717bd7691951d7dfe21db,14586,None
279bfa32d4ab3fe30f949be8a1bec6c82eccceae,14583,None
5927d4ccad0aa47cfccb95ba5c8a6b6b0e6decbe,14379,1077
700880cc76469971e9b757ea19dfec351f4067b6,14580,None
11fb8eb20ba29c63b6d9bd69158680bd95244382,14567,None
386318ac6e50ffee97d92e9e01d4f0d4ce0fd723,14533,None
067145a69bbf304d35085db2447d840c5e0a9701,14577,None
7ecdb8d27abcf9092f0ba80543d705d8a55ce8f0,14573,None
f3322ee1fcc9a34a85c863e49f60edc019424dbd,14576,None
1edd86d05f13819103a2b6535be65451210c0cb3,14565,None
8c0f92a2af63e5d42b78deaeb1784c7a7d23f8b5,14564,None
7050564d08de8cc0fac82118a7669c411cc0114c,14379,1077
2fae2fa539e861fcf7b27c3b01e3403c6ab7bc34,14432,None
4570144c9e88bfcebc5130ac32799394a5b8b920,14379,1077
1523882146ed7341695a714407e877852adfb4d7,14338,None
927964ad361439cfc42255799722d6b97360ac7c,14513,None
7c6c6e480d9d43dfa4248d2347f13dd7f6d967a8,14510,None
5a0baed567338b53fe29cf52db759cc876c1347f,14512,None
e06f00acfab778ace1e78e28ed833ea9946e0a49,14379,1077
c88fd62ba39060b4b0fe13426d5ceaf2a9506586,14498,None
9a08acf1ad0af8402a89aaf1f5f6ad49be70f515,14507,None
7da9a8f1a4c1e51b52a83937663ca5341cd2370f,14505,None
b6c4868a9b0244feac1739ab2dac6a35c698c82a,14506,None
24611fd0b4c6d130da738ff77455fcc2463d9c63,14504,None
27dc08c39d3ae0936d1de9e14bed34ece26fbacd,14478,None
80c3f45a05e94b61b07055d6583fefeb6f305ec0,14477,None
4e5554055664bf69927fc76f308b9d013b66157c,14476,None
0df75980d0f945883ed8609cf266c339f24b2370,14474,None
11036f4f85678b836c0f5e9972f52bbc3424867e,14469,None
3afffbc1add2ce9ce36f2d1e859c138e71a5ad6e,14460,None
45248d6a0e6c343e9209ac94c4ee102bdf47d9f0,14379,1077
8871a1cda45fccea79367ece03dc7dc57cc89e16,14458,None
6373a9f05f09dd3fc948f7640d5afab190039f26,14455,None
02561cf276556ebbb457ec7f8b74fcab790ff8a5,14457,None
5aa8efa8e28ba6685e6a38bf941b21605ed6b827,14454,None
75486ac2ad812286c3a71232348750439a22f2e8,14453,None
baa699cb7d5e8f7850e9034bee12c29db0e1d7d9,14452,None
0d5e710b7f37804feed713519521050e69a79d73,14451,None
32558d5ede063e343bd54c83e12a38e7efd08e0b,14450,None
3b67d46be18d4a9dc8c742040056485a905e6aff,14447,None
1bd4dea3e512c0a64ac77f2790900fe867f18664,14448,None
2a1cdfc20f289a134173cb2ad5ab679ec3466980,14446,None
6d67b5fde471245e0ed0a83e73517091d0728be2,14445,None
32ad8792934e59b8cc3064a1d7f9a103a15723f9,14444,None
6657d4871335e7b577217d0429c1de00f60326f6,14443,None
76b976e1bfa255f1f50b4a8e7b0d52abd02ac228,14441,None
eaca8231a5ed2345f27840b6295bdc8ec53f08c6,14379,1077
908a7fc30d7596d0fdb1b2a31c3dfbb839016840,14379,1077
938a4048e534fb5abad2ba0b901c1884c202b917,14379,1077
b935c8470ba8b702eecdf4a918d1f3ef46ad5e85,14437,None
fe4b1533327f46a2b9edcb23959e3843813f44b5,14436,None
525f350772d4d824bcf82cc08e70dcdf34b3b402,14435,None
0f14952b1c37ef27234ad7c7600cbf6afdda1913,14431,None
c4d2c8c303b9a7eb09e032337b7649556b777a07,14395,None
955c0fc7b06e2fa34bacd076ed39f61e4fb61716,14020,None
ae1ca2dabd8c01a105c81d5f9744c63bad4a2b64,14430,None
7c3eaf8a6d266d1eb23b4da0032881058658b781,14429,None
9368c355484a10943428524ae23eb9d0697ee663,14379,1077
ac6bda43a2c47a31f38f49397df0fe763921386f,14376,None
adaa1a1ca6f707b9d1a0aa8fad43d6cefce8e7fd,14430,None
c95a06c70008c54aafabb2226d0583cb3c1f6327,14420,None
0841f39f4e714d6810a64dff6492b5cc6be1420c,14379,1077
138124541ed030a3f96ec4f988225d3793c93a70,14379,1077
