pull_no,found_id,is_issue,is_pull_request
14717,14662,False,True
14459,12825,True,False
14449,14021,True,False
14449,14021,True,False
14379,1077,True,False
14194,12994,True,False
14194,13279,True,False
14185,14133,False,True
13893,2570,True,True
13837,669,True,True
13782,13849,True,False
13753,13730,False,True
13730,12560,True,False
13654,13590,True,False
13579,13491,True,False
13573,13279,True,False
13225,3977,False,True
13225,4092,False,True
12876,10473,True,False
12862,12790,True,False
12785,12784,True,False
12733,12717,False,True
12720,2521,True,False
12673,12668,False,True
12655,12632,False,True
12652,12632,False,True
12632,11231,True,False
12632,11232,True,False
12632,12456,True,False
12613,12612,False,True
12613,12547,False,True
12547,12202,False,True
12547,12202,False,True
12532,12529,True,False
12457,12217,True,False
12418,12084,False,True
12386,12418,False,True
12386,12492,True,False
12346,3177,False,True
12289,12104,False,True
12288,12104,False,True
12288,12104,False,True
12264,12116,False,True
12202,11232,True,False
12198,14395,False,True
12152,11398,True,False
12126,863,True,False
12092,11358,False,True
12092,12069,False,True
12084,5391,True,False
11883,11787,True,False
11873,4078,True,False
11794,11655,True,False
11785,3629,True,False
11606,2976,True,False
11596,11422,False,True
11491,11407,True,False
11422,10973,True,False
11304,11217,True,False
11154,11023,True,False
11100,10908,True,False
11059,10748,True,False
10998,2976,True,False
10998,11606,False,True
10810,10771,True,False
10765,10751,True,False
10762,10728,False,True
10733,10730,True,False
10652,4104,True,False
3972,3499,True,False
3859,3857,True,False
3859,3697,False,True
3820,2283,True,False
3810,3299,True,False
3787,3499,True,False
3676,3654,False,True
3676,3655,True,False
3456,3450,True,False
3448,3168,True,False
3439,3440,False,True
3412,7173,True,False
3412,3411,False,True
3411,7173,True,False
3398,3399,False,True
3390,2697,True,False
3375,3364,True,False
3353,3317,True,False
3340,2953,True,False
3333,3332,False,True
3326,3109,True,False
3283,3277,True,False
3252,3243,False,True
3250,3243,False,True
3125,3152,False,True
3108,3027,True,False
3107,3072,False,True
3093,3091,True,False
3092,3091,True,False
3086,3098,True,False
2986,2976,True,False
2919,2962,True,False
2913,2887,False,True
2800,2122,True,False
2786,2712,True,False
2739,2698,True,False
2701,2695,True,False
2665,2654,True,False
2643,10276,True,False
2625,2615,True,True
2625,2619,False,True
2625,2622,False,True
2622,2615,True,True
2594,10129,True,False
2581,2533,True,True
2548,2430,True,False
2504,2503,True,False
2498,2494,True,False
2498,2494,True,False
2470,2471,False,True
2394,2364,True,False
2379,2380,True,False
2290,2288,True,False
2286,4704,True,False
2271,2267,True,True
2250,1499,True,False
2239,888,True,False
2195,2194,True,True
2178,2157,False,True
2174,2173,True,False
2145,1730,True,False
2141,1884,True,False
2135,1328,True,False
2118,2090,True,True
2101,2098,True,False
2090,2121,True,False
2073,2072,True,False
2025,2008,True,True
2020,2048,True,False
2020,2049,True,False
1983,699,True,True
1983,699,True,True
1943,1758,True,True
1848,1598,True,False
1749,1748,True,False
1710,1708,True,False
1663,1454,True,True
1651,1644,True,True
1651,1499,True,False
1610,1582,True,True
1594,1565,True,True
1571,1565,True,True
1559,1519,False,True
1511,1512,True,False
1505,1504,False,True
1461,1387,True,True
1456,1453,True,False
1442,1435,True,False
1442,479,True,False
1442,1435,True,False
1436,1435,True,False
1436,1435,True,False
1432,7092,True,False
1407,1393,True,False
1387,1386,True,False
1363,1036,True,False
1333,1332,True,True
1317,1239,True,False
1317,20187,False,False
1317,1251,True,True
1307,404,True,False
1281,1278,True,True
1279,1287,True,False
1273,1041,True,False
1273,1246,True,True
1272,1267,True,False
1257,1234,True,False
1226,293,True,False
1224,1132,True,False
1224,1132,True,False
1217,595,True,False
1214,395,True,False
1202,96,True,False
1197,874,True,False
1178,1183,True,False
1176,196,True,True
1171,1620,True,False
1114,888,True,False
1061,252,True,False
1052,1091,True,False
1052,1093,True,False
1052,1109,True,False
1050,1025,True,False
1050,1041,True,False
873,847,True,True
855,320,True,True
855,281,True,False
855,420,True,False
855,430,True,False
855,300,True,False
855,433,True,False
832,56138,False,False
815,488,True,False
815,488,True,False
806,631,True,False
781,627,True,False
759,750,True,False
743,737,True,True
734,271,True,False
728,699,True,True
724,704,True,False
671,514,True,False
671,662,True,True
646,644,True,False
642,480,True,False
625,450,True,True
622,450,True,True
621,616,True,True
610,537,True,False
609,572,True,False
591,450,True,True
590,564,True,False
589,495,True,False
589,372,True,False
582,594,True,False
582,595,True,False
580,577,True,False
565,521,True,False
558,465,True,True
539,448,True,False
539,373,True,False
539,448,True,False
494,471,True,False
489,450,True,True
489,367,True,False
478,489,True,True
457,453,True,False
450,572,True,False
379,1333,True,True
368,361,True,False
366,363,True,True
360,314,True,False
327,322,True,False
327,323,True,False
321,323,True,False
320,302,True,False
319,315,True,False
319,267,True,False
309,195,True,False
309,295,True,True
307,299,False,True
298,230,True,False
291,224,True,False
291,285,True,False
273,265,True,False
260,255,True,False
249,248,True,False
219,217,True,False
204,203,True,False
192,194,True,False
192,195,True,False
184,178,True,False
184,1104,True,False
184,185,True,False
179,178,True,False
169,168,True,False
163,164,True,True
163,3645,False,True
163,164,True,True
163,165,True,True
159,154,True,True
158,143,True,False
153,1,True,False
135,98,True,False
134,467,False,True
88,81,True,True
82,60,True,False
81,2,True,False
79,64,True,False
77,76,True,False
74,68,True,True
68,67,True,False
44,292,True,True
43,19,True,False
22,14,True,False
10,31,True,False
10,24,True,False
10,24,True,False
