pull_id,pull_no,title,body
751196722,14728,b'[release/5.0.2xx] Update dependencies from dotnet/roslyn-analyzers',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:d2f3920f-6934-4b23-7807-08d891a26d6d)\r\n## From https://github.com/dotnet/roslyn-analyzers\r\n- **Subscription**: d2f3920f-6934-4b23-7807-08d891a26d6d\r\n- **Build**: 20201125.1\r\n- **Date Produced**: 11/25/2020 11:54 PM\r\n- **Commit**: ec2d44d8810c11edfcc2119ba56bc43050ee7fdc\r\n- **Branch**: refs/heads/release/5.0.2xx\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.CodeAnalysis.NetAnalyzers**: [from 5.0.0 to 5.0.0][1]\r\n\r\n[1]: https://github.com/dotnet/roslyn-analyzers/compare/5c77216...ec2d44d\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:d2f3920f-6934-4b23-7807-08d891a26d6d)\r\n\r\n'
751185306,14727,b'[master] Update dependencies from dotnet/aspnetcore',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:c0c2be01-34a3-46d9-31fe-08d7a4f3bc87)\r\n## From https://github.com/dotnet/aspnetcore\r\n- **Subscription**: c0c2be01-34a3-46d9-31fe-08d7a4f3bc87\r\n- **Build**: 20201125.5\r\n- **Date Produced**: 11/25/2020 11:51 PM\r\n- **Commit**: 54e9c7634a9358cc7e29ee3c3c6323d30fdd9894\r\n- **Branch**: refs/heads/master\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.AspNetCore.App.Runtime.win-x64**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.App.Ref.Internal**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.App.Ref**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.Analyzers**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **dotnet-watch**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **dotnet-user-secrets**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **dotnet-dev-certs**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **VS.Redist.Common.AspNetCore.SharedFramework.x64.6.0**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.NET.Sdk.Razor**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.NET.Sdk.BlazorWebAssembly**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.Components.Analyzers**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.Mvc.Api.Analyzers**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.Mvc.Analyzers**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n  - **Microsoft.AspNetCore.DeveloperCertificates.XPlat**: [from 6.0.0-alpha.1.20575.4 to 6.0.0-alpha.1.20575.5][1]\r\n\r\n[1]: https://github.com/dotnet/aspnetcore/compare/3a942ff...54e9c76\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:c0c2be01-34a3-46d9-31fe-08d7a4f3bc87)\r\n\r\n'
751180303,14726,b'Allow inferring ARM64 PlatformTarget from RID',"b'Inference of `PlatformTarget` from RID would not work for ARM64, falling back to `AnyCPU`.  In addition, both issues mentioned in the long comment seem resolved so I removed those paragraphs and fixed indentation.'"
751137777,14725,b'[release/5.0.2xx] Update dependencies from dotnet/runtime',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:70c8f8ea-bf33-4680-3a5e-08d8706e7635)\r\n## From https://github.com/dotnet/runtime\r\n- **Subscription**: 70c8f8ea-bf33-4680-3a5e-08d8706e7635\r\n- **Build**: 20201125.9\r\n- **Date Produced**: 11/25/2020 8:58 PM\r\n- **Commit**: 4cfc831bf802bee7daca3b01e0ce5ed1b09b4574\r\n- **Branch**: refs/heads/release/5.0\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.NETCore.App.Internal**: [from 5.0.1-servicing.20575.2 to 5.0.1-servicing.20575.9][1]\r\n  - **Microsoft.NETCore.App.Host.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NET.HostModel**: [from 5.0.1-servicing.20575.2 to 5.0.1-servicing.20575.9][1]\r\n  - **Microsoft.NETCore.DotNetHostResolver**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.App.Runtime.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n\r\n[1]: https://github.com/dotnet/runtime/compare/5660c4a...4cfc831\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:70c8f8ea-bf33-4680-3a5e-08d8706e7635)\r\n\r\n'
751137747,14724,b'[release/5.0.1xx] Update dependencies from dotnet/runtime',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:6d246c53-0b7a-45da-ebd3-08d85e711a64)\r\n## From https://github.com/dotnet/runtime\r\n- **Subscription**: 6d246c53-0b7a-45da-ebd3-08d85e711a64\r\n- **Build**: 20201125.9\r\n- **Date Produced**: 11/25/2020 8:58 PM\r\n- **Commit**: 4cfc831bf802bee7daca3b01e0ce5ed1b09b4574\r\n- **Branch**: refs/heads/release/5.0\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.NETCore.App.Internal**: [from 5.0.1-servicing.20575.2 to 5.0.1-servicing.20575.9][1]\r\n  - **Microsoft.NETCore.App.Host.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NET.HostModel**: [from 5.0.1-servicing.20575.2 to 5.0.1-servicing.20575.9][1]\r\n  - **Microsoft.NETCore.DotNetHostResolver**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.App.Runtime.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n\r\n[1]: https://github.com/dotnet/runtime/compare/5660c4a...4cfc831\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:6d246c53-0b7a-45da-ebd3-08d85e711a64)\r\n\r\n'
751106084,14723,b'[master] Update dependencies from dotnet/aspnetcore',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:c0c2be01-34a3-46d9-31fe-08d7a4f3bc87)\r\n## From https://github.com/dotnet/aspnetcore\r\n- **Subscription**: c0c2be01-34a3-46d9-31fe-08d7a4f3bc87\r\n- **Build**: 20201125.4\r\n- **Date Produced**: 11/25/2020 10:11 PM\r\n- **Commit**: 3a942ff5c5892fed126ab3c69406546f8e2287a0\r\n- **Branch**: refs/heads/master\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.AspNetCore.App.Runtime.win-x64**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.App.Ref.Internal**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.App.Ref**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.Analyzers**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **dotnet-watch**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **dotnet-user-secrets**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **dotnet-dev-certs**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **VS.Redist.Common.AspNetCore.SharedFramework.x64.6.0**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.NET.Sdk.Razor**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.NET.Sdk.BlazorWebAssembly**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.Components.Analyzers**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.Mvc.Api.Analyzers**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.Mvc.Analyzers**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n  - **Microsoft.AspNetCore.DeveloperCertificates.XPlat**: [from 6.0.0-alpha.1.20575.2 to 6.0.0-alpha.1.20575.4][1]\r\n\r\n[1]: https://github.com/dotnet/aspnetcore/compare/5c2cb8b...3a942ff\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:c0c2be01-34a3-46d9-31fe-08d7a4f3bc87)\r\n\r\n\r\n\r\n'
751068504,14722,b'Use IsOSPlatform property function over $(OS)',"b""Global search/replace in repo for some common patterns\r\n\r\n    '$(OS)' == 'Windows_NT'\r\n    '$(OS)' != 'Windows_NT'\r\n\r\nAnd one manual replacement to\r\n\r\n    $([MSBuild]::IsOSUnixLike())\r\n\r\nThis is more resilient to having the environment variable `OS` set."""
751022680,14720,b'[release/5.0.1xx] Update dependencies from dotnet/runtime',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:6d246c53-0b7a-45da-ebd3-08d85e711a64)\r\n## From https://github.com/dotnet/runtime\r\n- **Subscription**: 6d246c53-0b7a-45da-ebd3-08d85e711a64\r\n- **Build**: 20201125.2\r\n- **Date Produced**: 11/25/2020 4:31 PM\r\n- **Commit**: 5660c4a8b121680f6965416fb5f37a6fd49e0976\r\n- **Branch**: refs/heads/release/5.0\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.NETCore.App.Internal**: [from 5.0.1-servicing.20574.14 to 5.0.1-servicing.20575.2][1]\r\n  - **Microsoft.NET.HostModel**: [from 5.0.1-servicing.20574.14 to 5.0.1-servicing.20575.2][1]\r\n  - **Microsoft.NETCore.App.Host.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.DotNetHostResolver**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.App.Runtime.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n\r\n[1]: https://github.com/dotnet/runtime/compare/65a4f71...5660c4a\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:6d246c53-0b7a-45da-ebd3-08d85e711a64)\r\n\r\n'
751019773,14719,b'[release/5.0.2xx] Update dependencies from dotnet/runtime',b'This pull request updates the following dependencies\r\n\r\n[marker]: <> (Begin:70c8f8ea-bf33-4680-3a5e-08d8706e7635)\r\n## From https://github.com/dotnet/runtime\r\n- **Subscription**: 70c8f8ea-bf33-4680-3a5e-08d8706e7635\r\n- **Build**: 20201125.2\r\n- **Date Produced**: 11/25/2020 4:31 PM\r\n- **Commit**: 5660c4a8b121680f6965416fb5f37a6fd49e0976\r\n- **Branch**: refs/heads/release/5.0\r\n\r\n[DependencyUpdate]: <> (Begin)\r\n\r\n- **Updates**:\r\n  - **Microsoft.NETCore.App.Internal**: [from 5.0.1-servicing.20574.14 to 5.0.1-servicing.20575.2][1]\r\n  - **Microsoft.NET.HostModel**: [from 5.0.1-servicing.20574.14 to 5.0.1-servicing.20575.2][1]\r\n  - **Microsoft.NETCore.App.Host.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.DotNetHostResolver**: [from 5.0.1 to 5.0.1][1]\r\n  - **Microsoft.NETCore.App.Runtime.win-x64**: [from 5.0.1 to 5.0.1][1]\r\n\r\n[1]: https://github.com/dotnet/runtime/compare/65a4f71...5660c4a\r\n\r\n[DependencyUpdate]: <> (End)\r\n\r\n\r\n[marker]: <> (End:70c8f8ea-bf33-4680-3a5e-08d8706e7635)\r\n\r\n'
751009288,14718,b'Adding test coverage for prefixed options',b'Fixes https://github.com/dotnet/sdk/issues/14712'
