pull_no,comment_no,comment_body
528,92950778,"b""Ok, I wasn't sure which would be better. I don't remember my reasoning for going this way so I'll switch to what you agree on."""
1224,117336345,"b'In #1132, which was closed as a dupe of #1006 which this PR purports to fix, the repro occurs only when `TargetFrameworks` is defined in the project and `TargetFramework` is now. Are we sure it fixes #1132? Should we add another test to covers that scenario?'"
1224,117340596,"b""Good question. I don't remember whether I noticed and checked the one case without conflating the other."""
2028,173051337,"b'Almost. NB.GV uses this syntax: `1.2.3+gabc123`. Yes, g stands for git.'"
2028,173051406,"b""Where does `$(SourceRevisionId)` get set? And if it's empty, shouldn't you avoid appending to `$(InformationalVersion)` to avoid leaving an obvious hole in the added string?"""
2028,173051801,"b""If we haven't any precedent for `$(SourceRevisionId)` values yet, perhaps we can indicate they should assume that they are appending some `+` value to the version, semver 2 style. Just because technically there can be multiple build metadata identifiers specified, they should probably not specify `+` themselves (we should do that, or add `.` if there is already a `+` in the `$(InformationalVersion)` property)."""
2028,173249189,"b""It wasn't my idea, but I can't remember exactly where I'd seen the precedent for it. At the time I figured I'd follow the pattern others had established. It is a little inconvenient, I agree. """
2028,173250618,"b""I thought about nb.gv interop as well (thanks, @nguerrera). It won't be a problem because nb.gv already turns generation of this attribute off completely to avoid conflicts with the one it generates itself. """
2028,173584325,"b""One way to have a 'soft dependency' is change DependsOnTargets to AfterTargets. That doesn't fail if the target is missing. But it also doesn't guarantee that the antecedent runs first -- it just will in the common case."""
331,85586039,"b'If this is for .NET Core, why is it targeting desktop CLR?\n'"
13924,497665638,b'(this looks good to me?)'
44,75505585,b'They get deployed to $(MSBuildDir)\\Microsoft\\Managed. Yes the CSharp.targets includes the DesingTime targets if it exists which then brings in all the XAML files\n'
44,75766206,b'@mavasani  is adding integration tests and will presumably exercise the templates as part of that.\n'
44,75766397,"b'@nguerrera, once your assemblyinfo generation task is complete, we should remove this file from the template.\n'"
44,75766582,"b""Can't we use a version string here to line up with the version that's going to be built?\n"""
86,76093837,"b""@abpiskunov note that I've changed the name of the target to be consistent with the rest of the targets in this file. The XAML file needs to be updated on the project system side when you consume this.\n"""
86,76095257,b'Thanks. Fixed.\n'
92,76348108,b'The IsAnalyzer method feels odd. @natidea and I were just chatting - maybe the task can set the Type metdadata on the analyzer files as AnalyzerAssembly instead of Assembly and then this would flow more naturally?\n'
129,77890724,b'Call this ProjectSelector.pkgdef?\n'
129,77890808,b'The asset type should MS.VS.Package I think.\n'
129,77906532,"b'When my current open PR for VB templates gets merged in, we should probably move this key to the VB VSIX.\n'"
130,77917460,b'Fixed.\n'
130,78037623,"b""I thought netstandard20 is forking off netstandard13? In that case would we want to encourage netstandard16 as the default? Adding @terrajobst for guidance as he's working on a deck for the class library template.\n\nI will also rename the class library template to Class Library (.NET Standard) and make it have the regular C#\\VB class library icons \n"""
130,78042301,b'Made it 21 so that it comes after the desktop class library template.\n'
130,78050614,"b""Ok I'll make it netstandard16 for now to keep it consistent with the CLI and we can change it closer to RTM.\n"""
130,78073518,b'Alright. Changed it to 1.4\n'
132,78114923,b'We should probably move these files to a separate project. The web targets are different enough from core stuff that they should be in a different project. \n'
138,78618994,"b""If bin or debug was changed - it was almost certainly changed to be outside the project cone - in that case we don't need to add the Removes. Do we care about the case where it is changed to something inside the cone?\n"""
138,78619451,"b""What's a reasonable scenario for changing bin or debug to some other location within the same project? The scenario for moving it out is to either consolidate all outputs in one place or to not have output binaries interspersed with source.\n"""
138,79124544,b'@brthor - Added a DefaultExcludes property\n'
138,79124710,"b""Adding a BaseOutputPath is a change to common.props in MSBuild. I'm going to skip that change since I don't see any value in it. Feel free to log an issue if you think it's worth it.\n"""
152,79641086,"b""The web template still has project.json because it has a tools reference for which we don't have a PackageReference design yet.\n"""
152,79641846,"b""Yes these projects won't build without @nguerrera 's changes. They also won't build without updating the downstream tasks\\targets to respond to restore3 changes. This is, however, needed for restore3 and since we are using this branch to stage the work to switch over to restore3, I'm making this change so that we can in parallel work on fixing up tasks\\targets.\n"""
152,79642569,b'Fixed. Is the NuGet name for this is still netcoreapp1.0? Or is it netcoreapp1.0.1?\n'
152,79644817,"b'Added TF, TFI and TFV temporarily to simulate an inner build so that the sdk targets actually work and @natidea can fix them up in this branch.\n'"
152,79674527,b'Oops. Copy\\paste error. Fixed.\n'
152,79679519,"b""Yes that'll be nice. I can then remove the temporary proeprties I've added to the project.\n"""
154,79684801,b'Agree. We should probably call it something like CallInnerBuild or something like that to distinguish it from the actual Build target. #Resolved\n'
154,79685038,"b""Users may have items called TargetFramework. Can we name this item _TargetFramework or something like that so it's less likely to conflict? #Resolved\n"""
154,79685240,b'Also should it move into the Build target to scope the item to that target? #Resolved\n'
162,80157124,b'Oops. Yes. Fixed this in the merge to master PR.\n'
