group,oldest_pull,pulls_total,commits_total
0,238,1,2
1,239,1,2
2,241,1,3
3,240,1,2
4,242,1,2
5,244,1,2
6,247,1,3
7,249,1,2
8,250,1,2
9,258,1,8
10,253,1,2
11,259,1,2
12,260,1,2
13,262,1,2
14,263,1,2
15,273,1,2
16,276,1,3
17,282,1,3
18,283,1,5
19,286,1,3
20,287,1,3
21,289,1,2
22,290,1,1
23,291,1,4
24,292,1,3
25,298,1,2
26,296,1,3
27,299,1,2
28,309,1,8
29,308,1,2
30,311,1,2
31,313,1,4
32,319,1,4
33,312,1,1
34,320,1,2
35,321,1,3
36,327,1,4
37,326,1,1
38,330,1,2
39,331,1,3
40,332,1,3
41,337,1,3
42,339,1,2
43,340,1,2
44,341,1,4
45,343,1,2
46,348,1,2
47,344,1,2
48,310,1,6
49,351,1,3
50,349,1,6
51,359,1,1
52,360,1,2
53,362,1,2
54,363,1,4
55,366,1,3
56,368,1,2
57,370,1,2
58,371,1,4
59,379,1,4
60,378,1,2
61,381,1,2
62,394,1,2
63,398,1,4
64,421,1,2
65,418,1,2
66,426,1,2
67,444,1,9
68,424,1,2
69,445,1,2
70,425,1,9
71,449,1,4
72,440,1,1
73,457,1,3
74,461,1,3
75,465,1,7
76,460,1,3
77,466,1,3
78,467,1,2
79,437,1,3
80,478,1,12
81,473,1,2
82,489,1,10
83,494,1,2
84,506,1,11
85,507,1,4
86,510,1,6
87,511,1,2
88,513,1,2
89,515,1,2
90,519,1,2
91,523,1,2
92,525,1,3
93,528,1,2
94,538,1,2
95,539,1,6
96,544,1,1
97,548,1,2
98,552,1,2
99,468,1,10
100,558,1,2
101,450,1,8
102,561,1,3
103,565,1,2
104,575,1,2
105,576,1,3
106,578,1,2
107,580,1,2
108,581,1,3
109,582,1,12
110,584,1,2
111,587,1,2
112,586,1,1
113,589,1,4
114,590,1,2
115,597,1,2
116,599,1,2
117,601,1,9
118,602,1,2
119,609,1,2
120,610,1,2
121,917,1,2
122,613,1,1
123,616,1,5
124,615,1,2
125,617,1,2
126,621,1,3
127,767,1,14
128,608,1,4
129,624,1,5
130,626,1,11
131,629,1,2
132,630,1,5
133,632,1,5
134,637,1,2
135,633,1,12
136,641,1,3
137,642,1,2
138,646,1,2
139,649,1,2
140,652,1,4
141,660,1,2
142,662,1,3
143,669,1,2
144,671,1,4
145,675,1,2
146,680,1,2
147,681,1,1
148,699,1,3
149,693,1,2
150,591,1,3
151,709,1,2
152,711,1,3
153,685,1,3
154,720,1,2
155,721,1,2
156,719,1,1
157,722,1,3
158,724,1,2
159,725,1,2
160,726,1,2
161,728,1,1
162,727,1,1
163,731,1,5
164,733,1,3
165,734,1,2
166,737,1,6
167,741,1,4
168,743,1,2
169,744,1,2
170,746,1,3
171,748,1,2
172,751,1,7
173,753,1,2
174,645,1,3
175,763,1,2
176,762,1,5
177,768,1,5
178,770,1,2
179,761,1,3
180,772,1,5
181,775,1,2
182,779,1,2
183,782,1,13
184,781,1,2
185,792,1,2
186,793,1,3
187,800,1,2
188,804,1,2
189,806,1,2
190,805,1,2
191,808,1,2
192,809,1,3
193,797,1,2
194,812,1,5
195,813,1,2
196,811,1,4
197,815,1,4
198,818,1,2
199,819,1,4
200,820,1,5
201,822,1,2
202,831,1,2
203,827,1,2
204,835,1,2
205,836,1,4
206,837,1,2
207,846,1,2
208,847,1,14
209,848,1,2
210,849,1,2
211,855,1,18
212,857,1,2
213,862,1,2
214,865,1,2
215,870,1,6
216,828,1,21
217,878,1,4
218,880,1,2
219,873,1,2
220,883,1,2
221,884,1,2
222,886,1,2
223,882,1,1
224,893,1,6
225,896,1,4
226,899,1,2
227,906,1,2
228,908,1,4
229,911,1,2
230,916,1,2
231,913,1,4
232,852,1,4
233,894,1,9
234,921,1,2
235,876,1,5
236,603,1,1
237,925,1,3
238,923,1,2
239,890,1,3
240,934,1,4
241,937,1,2
242,935,1,7
243,942,1,2
244,943,1,2
245,949,1,5
246,950,1,6
247,956,1,2
248,959,1,2
249,962,1,6
250,970,1,2
251,971,1,2
252,979,1,2
253,964,1,2
254,981,1,6
255,985,1,3
256,995,1,2
257,996,1,2
258,999,1,2
259,1003,1,2
260,1005,1,2
261,978,1,3
262,1012,1,2
263,1024,1,7
264,1032,1,1
265,1035,1,3
266,1037,1,1
267,1050,1,32
268,1053,1,6
269,1061,1,3
270,1060,1,4
271,1067,1,2
272,1069,1,2
273,1052,1,111
274,1062,1,3
275,1075,1,3
276,1076,1,2
277,1079,1,3
278,1090,1,3
279,1102,1,2
280,1095,1,2
281,1114,1,2
282,1119,1,3
283,1121,1,5
284,1133,1,6
285,1134,1,2
286,1137,1,2
287,1140,1,8
288,1141,1,2
289,1145,1,2
290,1147,1,3
291,1169,1,7
292,1153,1,4
293,1128,1,12
294,1156,1,5
295,1167,1,2
296,1171,1,11
297,1173,1,2
298,1180,1,2
299,1182,1,2
300,1191,1,2
301,1185,1,1
302,1192,1,3
303,1178,1,2
304,1195,1,2
305,1208,1,8
306,1172,1,1
307,1209,1,2
308,1214,1,2
309,1217,1,2
310,1218,1,15
311,1223,1,2
312,1225,1,3
313,1226,1,3
314,1230,1,2
315,1224,1,6
316,1231,1,2
317,1237,1,2
318,1242,1,2
319,1245,1,6
320,1243,1,2
321,1246,1,5
322,1248,1,3
323,1247,1,1
324,1222,1,3
325,1253,1,2
326,1254,1,2
327,1255,1,4
328,1256,1,2
329,1257,1,3
330,1260,1,2
331,1262,1,7
332,1264,1,2
333,1268,1,3
334,1269,1,2
335,1270,1,2
336,1272,1,4
337,1279,1,28
338,1274,1,8
339,1277,1,2
340,1278,1,2
341,1281,1,5
342,1283,1,3
343,1285,1,2
344,1290,1,3
345,1291,1,2
346,1186,1,4
347,1284,1,19
348,1297,1,5
349,1305,1,5
350,1306,1,5
351,1307,1,3
352,1308,1,2
353,1312,1,2
354,1315,1,3
355,1317,1,4
356,1318,1,2
357,1322,1,7
358,1323,1,4
359,1326,1,4
360,1332,1,2
361,1333,1,2
362,1329,1,4
363,1338,1,2
364,1342,1,2
365,1330,1,6
366,1344,1,3
367,1345,1,4
368,1349,1,2
369,1347,1,2
370,1352,1,5
371,1363,1,3
372,1350,1,2
373,1368,1,2
374,1378,1,2
375,1379,1,1
376,1387,1,2
377,1388,1,2
378,1400,1,2
379,1407,1,5
380,1412,1,2
381,1419,1,4
382,1423,1,3
383,1430,1,2
384,1432,1,3
385,1439,1,1
386,1440,1,3
387,1442,1,9
388,1444,1,2
389,1451,1,2
390,1409,1,4
391,1456,1,2
392,1457,1,2
393,1459,1,1
394,1461,1,2
395,1466,1,2
396,1472,1,3
397,1475,1,1
398,1487,1,3
399,1494,1,2
400,1504,1,2
401,1506,1,2
402,1511,1,2
403,1519,1,3
404,1526,1,2
405,1528,1,4
406,1530,1,3
407,1548,1,2
408,1572,1,3
409,1574,1,2
410,1577,1,2
411,1578,1,1
412,1581,1,2
413,1582,1,2
414,1584,1,1
415,1585,1,4
416,1565,1,12
417,1589,1,1
418,1594,1,1
419,1600,1,2
420,1602,1,3
421,1603,1,3
422,1606,1,1
423,1610,1,2
424,1613,1,3
425,1612,1,7
426,1618,1,12
427,1454,1,8
428,1629,1,2
429,1691,1,2
430,1638,1,1
431,1643,1,3
432,1636,1,2
433,1642,1,1
434,1644,1,2
435,1648,1,3
436,1650,1,1
437,1651,1,8
438,1652,1,3
439,1653,1,1
440,1661,1,3
441,1663,1,2
442,1674,1,18
443,1670,1,1
444,1681,1,3
445,1680,1,3
446,1687,1,1
447,1693,1,1
448,1700,1,3
449,1705,1,2
450,1706,1,3
451,1702,1,30
452,1710,1,2
453,1712,1,5
454,1713,1,1
455,1719,1,1
456,1721,1,2
457,1723,1,2
458,1731,1,3
459,1732,1,2
460,1726,1,1
461,1734,1,1
462,1736,1,1
463,1741,1,1
464,1743,1,1
465,1749,1,2
466,1751,1,3
467,1756,1,2
468,1745,1,1
469,1762,1,2
470,1763,1,2
471,1761,1,1
472,1765,1,1
473,1725,1,3
474,1776,1,5
475,1772,1,1
476,1778,1,1
477,1785,1,2
478,1786,1,1
479,1795,1,2
480,1800,1,3
481,1805,1,7
482,1809,1,3
483,1804,1,4
484,1815,1,1
485,1816,1,2
486,1817,1,2
487,1818,1,2
488,1820,1,1
489,1827,1,2
490,1831,1,1
491,1838,1,2
492,1839,1,2
493,1840,1,2
494,1841,1,1
495,1837,1,1
496,1844,1,2
497,1845,1,1
498,1852,1,1
499,1848,1,1
500,1843,1,1
501,1858,1,2
502,1859,1,2
503,1860,1,2
504,1861,1,2
505,1862,1,2
506,1871,1,2
507,1873,1,2
508,1872,1,1
509,1875,1,2
510,1877,1,2
511,1879,1,3
512,1876,1,3
513,1885,1,2
514,1887,1,2
515,1888,1,1
516,1889,1,1
517,1868,1,1
518,1890,1,1
519,1891,1,1
520,1796,1,1
521,1892,1,2
522,1857,1,8
523,1902,1,3
524,1904,1,1
525,1915,1,1
526,1914,1,1
527,1925,1,2
528,1928,1,1
529,1821,1,3
530,1935,1,1
531,1937,1,1
532,1939,1,2
533,1943,1,2
534,1947,1,4
535,1944,1,7
536,1952,1,3
537,1954,1,1
538,1958,1,2
539,1962,1,1
540,1964,1,2
541,1965,1,2
542,1886,1,1
543,1963,1,2
544,1968,1,1
545,2006,1,3
546,1972,1,2
547,1974,1,1
548,1973,1,1
549,1970,1,1
550,1969,1,1
