pull_id,pull_no,total_commits
528066834,14742,1
528005750,14740,1
528005744,14739,1
527975731,14738,2
527809338,14736,1
527809332,14735,1
527801110,14734,1
527791787,14733,1
527791750,14732,1
527772529,14731,1
527769318,14730,1
527769315,14729,1
527756297,14728,1
527746955,14727,1
527743125,14726,2
527708718,14725,1
527708701,14724,1
527682977,14723,2
527652344,14722,1
527615048,14720,1
527612759,14719,1
527604217,14718,1
527602845,14717,1
527532958,14715,1
527532879,14714,1
527433985,14713,1
527296208,14710,1
527146738,14708,1
527146643,14707,1
527144417,14706,2
527093820,14705,1
527093782,14704,1
526951570,14703,1
526951564,14702,1
526951549,14701,1
526949547,14700,1
526949497,14699,1
526816453,14697,1
526816434,14696,1
526778105,14695,5
526771551,14694,2
526579710,14690,1
526475714,14687,1
526472183,14686,1
526462550,14685,1
526439528,14684,1
526308495,14682,2
526117440,14680,4
526091768,14678,2
526072171,14677,2
526058862,14676,1
526056960,14675,1
526020510,14674,1
525976087,14672,1
525931694,14671,1
525911175,14670,16
525911012,14669,14
525909419,14668,9
525889736,14666,1
525889735,14665,1
525885407,14664,1
525880536,14663,1
525867655,14662,1
525802580,14659,1
525769114,14658,4
525553382,14655,1
525409812,14654,1
525123717,14652,1
525104674,14651,1
525054286,14650,1
525052850,14649,1
525052847,14648,1
525020721,14647,1
525000209,14646,1
524962509,14644,1
524946062,14643,6
524897457,14640,3
524855474,14639,2
524828211,14638,1
524809617,14637,2
524774076,14636,6
524712332,14634,1
524696897,14633,2
524694404,14632,2
524595286,14630,1
524586507,14629,1
524531453,14628,1
524380323,14627,1
524287534,14625,1
524090925,14617,2
524041762,14616,2
523946658,14614,1
523943576,14613,1
523935059,14612,1
523657779,14611,7
523584925,14608,2
523584913,14607,2
523471770,14605,19
523438492,14604,2
523438387,14603,3
523339085,14599,2
523339081,14598,2
523176229,14596,1
523157456,14595,1
523069484,14594,1
523052218,14593,1
523020358,14592,1
522985909,14590,1
522840966,14589,3
522831971,14588,1
522824688,14587,1
522738616,14586,1
522696160,14585,1
522685991,14584,1
522668806,14583,1
522649380,14582,7
522523134,14580,1
522405487,14577,1
522405310,14576,1
522402100,14575,1
522401376,14574,7
522393324,14573,1
522317159,14572,1
522171708,14569,2
522124904,14568,1
522107763,14567,1
522051394,14566,3
521975987,14565,6
521972042,14564,1
521891640,14563,1
521569684,14559,1
521569674,14558,1
521375782,14555,11
521177578,14550,6
521052566,14545,1
521038037,14544,6
521038036,14543,1
520893188,14541,2
520801690,14539,1
520801687,14538,1
520766325,14537,9
520745697,14536,11
520540930,14533,2
520166385,14532,16
520143545,14531,1
520107148,14529,9
519877738,14524,1
519759238,14521,1
519553355,14518,1
519532936,14517,2
519488995,14514,6
519466437,14513,1
519394079,14512,1
519371686,14510,1
519332069,14508,1
519278645,14507,1
519187782,14506,1
519185940,14505,1
519185541,14504,1
518930402,14501,2
518913253,14500,2
518886125,14498,1
518829081,14495,2
518829035,14494,2
518825040,14493,1
518789537,14492,1
518730577,14488,3
518724278,14487,1
518720804,14486,1
518720664,14485,1
518719784,14484,2
518719726,14483,2
518719542,14482,1
518719541,14481,2
518680179,14480,1
518675555,14479,1
518625657,14478,1
518476247,14477,1
518474740,14476,1
518328005,14474,1
518262273,14472,1
518250935,14471,1
518195484,14470,1
518175026,14469,1
518157773,14468,2
518157772,14467,1
518142014,14466,1
518130546,14464,1
518130375,14463,1
518130180,14462,3
518041904,14460,1
518001214,14459,1
517913333,14458,1
517751374,14457,1
517494259,14455,3
517302054,14454,1
517207204,14453,1
517135209,14452,1
517135114,14451,1
517092184,14450,1
517041355,14449,1
517007747,14448,1
516974996,14447,2
516799443,14446,2
516731542,14445,1
516418907,14444,2
516375721,14443,1
516353172,14442,28
516288635,14441,1
516273743,14440,1
516250015,14439,1
516048438,14437,1
516047876,14436,1
515870532,14435,2
515765169,14434,2
515729907,14433,3
515684803,14432,7
515629960,14431,1
515598090,14430,83
515542568,14429,2
515396431,14428,1
515376943,14427,1
515376214,14426,1
515370003,14425,1
515203505,14424,1
515121799,14423,1
515056049,14421,64
515055503,14420,5
515006733,14419,1
514967977,14418,2
514729524,14416,1
514725130,14415,1
514717469,14413,1
514480730,14412,1
514480597,14411,1
514480375,14410,1
514413614,14409,2
514366535,14407,1
514242062,14406,1
514025863,14405,2
513946960,14402,1
513596311,14400,1
513481979,14399,2
513420926,14398,1
513419236,14397,1
513370973,14395,1
513360672,14394,1
513312051,14393,2
513280702,14391,11
513207584,14390,3
513028485,14388,2
512954039,14387,2
512951432,14386,2
512737421,14384,4
512609005,14383,1
512608998,14382,1
512604086,14381,1
512604075,14380,1
512542330,14379,21
512531885,14378,2
512513383,14377,1
512504306,14376,3
512490625,14375,2
512401254,14374,1
512322551,14373,2
512322473,14372,1
512235691,14370,1
512232342,14369,1
512224126,14368,1
512196244,14367,2
511988929,14364,2
511988832,14363,2
511818208,14360,3
511763251,14358,2
511618739,14357,1
511597896,14356,1
511593950,14355,1
511573208,14354,1
511555401,14353,3
511274278,14352,1
511182592,14349,5
511055008,14348,1
511013914,14346,1
510967777,14345,1
510940196,14344,1
510906187,14343,1
510901785,14342,1
510884293,14341,1
510664382,14340,1
510605521,14339,1
510591955,14338,60
510515065,14337,1
510483067,14336,1
510425999,14334,1
510393632,14333,1
510386900,14332,1
510241413,14330,3
510193162,14329,1
510192975,14328,1
510097088,14326,2
510073636,14325,1
510069911,14324,1
510052772,14323,1
510012062,14322,2
509683227,14319,2
509519494,14317,2
509476244,14316,1
509397856,14315,1
509249421,14313,1
509242336,14312,1
509197724,14311,1
509169108,14310,1
509139907,14308,1
509066449,14307,2
509057521,14306,2
509030182,14305,1
509026847,14304,1
509025268,14303,10
509023901,14302,1
509011003,14301,1
508869439,14300,1
508586644,14295,1
508539118,14291,1
508421776,14289,1
508406533,14288,1
508402230,14287,3
508373651,14284,1
508350431,14283,1
508350350,14282,1
508163518,14280,1
507984472,14278,1
507909924,14277,1
507867139,14276,11
507795266,14273,1
507768395,14271,1
507765410,14270,1
507762570,14269,1
507716911,14268,13
507590738,14265,1
507485288,14262,1
507307437,14259,1
507222929,14258,1
507204051,14257,1
507195463,14256,1
507163960,14255,1
507023082,14253,1
506983452,14252,1
506972320,14251,2
506928602,14250,1
506885488,14249,1
506877812,14248,1
506843970,14247,1
506786613,14246,1
506718285,14245,1
506601452,14243,1
506341904,14241,1
506316409,14240,1
506301511,14239,1
506193104,14237,1
506092301,14234,1
506045830,14233,1
506043999,14232,1
506019897,14231,1
505966741,14230,1
505955304,14229,1
505790984,14228,1
505701224,14227,1
505567948,14226,1
505565016,14225,1
505429346,14224,1
505374268,14222,1
505366278,14221,1
505355906,14220,1
505349788,14219,1
505338443,14218,1
505329001,14217,1
505325783,14216,1
505265710,14215,1
505233162,14214,1
505232170,14213,1
505183538,14212,1
505180815,14211,1
505176587,14210,1
505169929,14209,1
505156966,14208,1
505156679,14207,1
505093701,14206,1
505055460,14205,1
505009618,14200,4
504999139,14199,1
504996621,14198,1
504995230,14197,1
504980723,14196,1
504844586,14195,1
504603741,14194,1
504544445,14193,1
504528027,14192,1
504476390,14187,1
504460292,14186,1
504446799,14185,1
504436983,14184,1
504432920,14183,1
504400630,14182,1
504320608,14181,1
504297759,14180,1
504147520,14179,1
504145806,14178,3
503988900,14177,1
503981721,14176,3
503953934,14175,1
503936477,14173,1
503935723,14172,1
503929435,14171,1
